@relation affective
@attribute meanBPM {low,normal,high}
@attribute BPMtrend {descending,small_descend,steady,small_ascend,ascending}
@attribute skinTemp {low,normal,high,v_high}
@attribute skinConductPeaks {0,1,2,more}
@attribute meanSkinCond {below_normal,normal,above_normal}
@attribute respirDepth {shallow, deep}
@attribute respirFreq {slow,typical,fast}
@attribute bloodPressure {steady,lightly_higher,big_jump}
@attribute emotion {anxiety,calm,confusion,stress}
@data
low,descending,low,0,below_normal,shallow,slow,lightly_higher,confusion[0.4975840973708247];calm[0.2954135965740866];anxiety[0.1670768870473146];stress[0.039875419007774124]
low,descending,low,0,below_normal,shallow,slow,big_jump,anxiety[0.40432529807875733];calm[0.3794658655358208];stress[0.11892928406359517];confusion[0.09722955232182663]
low,descending,low,0,below_normal,shallow,typical,lightly_higher,confusion[0.3740182096038176];stress[0.3594001216077103];calm[0.20482749703207023];anxiety[0.06170417175640197]
low,descending,low,0,below_normal,shallow,typical,big_jump,anxiety[0.46490831447507014];calm[0.2774826444626892];confusion[0.21882707655481465];stress[0.03873196450742599]
low,descending,low,0,below_normal,shallow,fast,steady,calm[0.3825334090654793];stress[0.36020417954196376];confusion[0.1909698272343838];anxiety[0.06624258415817323]
low,descending,low,0,below_normal,shallow,fast,lightly_higher,confusion[0.6458719102294388];calm[0.12102434352174157];stress[0.1192925974250967];anxiety[0.11376114882372297]
low,descending,low,0,below_normal,shallow,fast,big_jump,anxiety[0.3813887891897679];stress[0.2732787262578838];calm[0.18910841878324902];confusion[0.1561740657690994]
low,descending,low,0,below_normal,deep,slow,lightly_higher,confusion[0.37321645962522954];stress[0.3214911660941332];anxiety[0.18286123766456444];calm[0.1223811366160729]
low,descending,low,0,below_normal,deep,slow,big_jump,anxiety[0.35300281260095656];stress[0.24677120847134432];confusion[0.20636999391444572];calm[0.1938059850132535]
low,descending,low,0,below_normal,deep,typical,lightly_higher,confusion[0.5746571641836716];anxiety[0.2803213063406516];stress[0.1132089895518206];calm[0.03176253992385616]
low,descending,low,0,below_normal,deep,typical,big_jump,confusion[0.4125666685238068];stress[0.3844122629532935];anxiety[0.10299775200637874];calm[0.09997331651652086]
low,descending,low,0,below_normal,deep,fast,steady,confusion[0.5437158214875095];anxiety[0.22371403086868372];stress[0.2037764427893159];calm[0.028743704854490706]
low,descending,low,0,below_normal,deep,fast,lightly_higher,confusion[0.25713528379098455];stress[0.2565715654675418];calm[0.24869767399429016];anxiety[0.2375454767471835]
low,descending,low,0,below_normal,deep,fast,big_jump,stress[0.3765401873688874];anxiety[0.25212511507910235];confusion[0.24117005080192228];calm[0.13011464675008788]
low,descending,low,0,normal,shallow,slow,lightly_higher,confusion[0.3047938067676859];stress[0.2683617667514251];anxiety[0.23904596790122076];calm[0.18774845857966824]
low,descending,low,0,normal,shallow,slow,big_jump,anxiety[0.3436300182754386];confusion[0.331110633852322];stress[0.21333597757707481];calm[0.11187337029516457]
low,descending,low,0,normal,shallow,typical,lightly_higher,confusion[0.3544534441761006];calm[0.3477162945818484];anxiety[0.25085020833916444];stress[0.04693005290288647]
low,descending,low,0,normal,shallow,typical,big_jump,anxiety[0.322623058924544];calm[0.3089424835293999];stress[0.27890276490685967];confusion[0.08948169263919656]
low,descending,low,0,normal,shallow,fast,steady,anxiety[0.3979407898576344];stress[0.39261388532717506];confusion[0.1870460578795249];calm[0.02234926693566564]
low,descending,low,0,normal,shallow,fast,lightly_higher,stress[0.4087959122823628];anxiety[0.3062022111933725];confusion[0.2193663535386385];calm[0.06558552298562613]
low,descending,low,0,normal,shallow,fast,big_jump,anxiety[0.39049533391304064];confusion[0.3622443451120697];stress[0.22557172867130207];calm[0.02163859230358763]
low,descending,low,0,normal,deep,slow,lightly_higher,confusion[0.43972928283418433];stress[0.36358194666786164];anxiety[0.10267401609397774];calm[0.09396475440397621]
low,descending,low,0,normal,deep,slow,big_jump,confusion[0.4305179185341873];calm[0.3243028126762041];anxiety[0.22791487854115425];stress[0.017214390248454406]
low,descending,low,0,normal,deep,typical,lightly_higher,confusion[0.3023339512687107];anxiety[0.29418097703175455];calm[0.23332239526383838];stress[0.1701126764356964]
low,descending,low,0,normal,deep,typical,big_jump,anxiety[0.4024801141415823];confusion[0.3178067761831893];calm[0.24605974919125273];stress[0.03360336048397568]
low,descending,low,0,normal,deep,fast,steady,confusion[0.2754112929737834];anxiety[0.25437926070069417];calm[0.249339170472398];stress[0.22082027585312441]
low,descending,low,0,normal,deep,fast,lightly_higher,confusion[0.37432691365624504];anxiety[0.31705016685221105];calm[0.1573294652583001];stress[0.1512434542332438]
low,descending,low,0,normal,deep,fast,big_jump,anxiety[0.4067760305361266];stress[0.26310425121458475];confusion[0.2335172581927868];calm[0.09655246005650199]
low,descending,low,0,above_normal,shallow,slow,lightly_higher,confusion[0.5569351046300766];stress[0.1725223755516211];calm[0.1721888662767822];anxiety[0.09830365354152015]
low,descending,low,0,above_normal,shallow,slow,big_jump,anxiety[0.3705394877806336];stress[0.36975469340916833];confusion[0.2089949674249197];calm[0.0506608513852785]
low,descending,low,0,above_normal,shallow,typical,lightly_higher,confusion[0.33853415028110556];calm[0.3375439229716665];anxiety[0.21670457607252633];stress[0.10716735067470164]
low,descending,low,0,above_normal,shallow,typical,big_jump,stress[0.4221577940206835];calm[0.2745707361960798];anxiety[0.17133183243393946];confusion[0.13188963734929732]
low,descending,low,0,above_normal,shallow,fast,steady,stress[0.42096277772225527];confusion[0.31696420568595607];calm[0.18409802944603798];anxiety[0.07792498714575057]
low,descending,low,0,above_normal,shallow,fast,lightly_higher,calm[0.39175918050679653];anxiety[0.241808236841516];confusion[0.2213078289226485];stress[0.1450747537290389]
low,descending,low,0,above_normal,shallow,fast,big_jump,anxiety[0.4934197624938636];calm[0.3368185025163886];stress[0.10334805220640739];confusion[0.06636368278334032]
low,descending,low,0,above_normal,deep,slow,lightly_higher,confusion[0.37330057833115204];stress[0.31636571161783333];calm[0.29878686268877513];anxiety[0.011496847362239495]
low,descending,low,0,above_normal,deep,slow,big_jump,stress[0.2686972755557718];calm[0.26857369552236215];anxiety[0.24556013877091565];confusion[0.2171188901509504]
low,descending,low,0,above_normal,deep,typical,lightly_higher,confusion[0.3221031276028303];calm[0.25087180170062906];anxiety[0.21714088784794294];stress[0.20983418284859778]
low,descending,low,0,above_normal,deep,typical,big_jump,anxiety[0.3038428060234459];calm[0.24850289664434125];confusion[0.2427916346627631];stress[0.20481266266944978]
low,descending,low,0,above_normal,deep,fast,steady,confusion[0.32488793114531644];calm[0.2758817495029159];stress[0.23162858488316093];anxiety[0.1675517344686066]
low,descending,low,0,above_normal,deep,fast,lightly_higher,confusion[0.3381598333239077];stress[0.29977463391680503];calm[0.2642241330025412];anxiety[0.09779139975674606]
low,descending,low,0,above_normal,deep,fast,big_jump,calm[0.35335830426296194];stress[0.3484785614938948];confusion[0.24568242722390055];anxiety[0.052430707019242725]
low,descending,low,1,below_normal,shallow,slow,lightly_higher,calm[0.3470088894465923];stress[0.2696567652188937];anxiety[0.22899079104608752];confusion[0.15429355428842645]
low,descending,low,1,below_normal,shallow,slow,big_jump,calm[0.46474153403910456];anxiety[0.20912081967108184];confusion[0.173328351898175];stress[0.15275929439163854]
