gender,height,weight,index
male,medium,normal,4
male,tall,light,2
female,tall,heavy,4
female,tall,normal,3
male,short,light,3
male,tall,normal,3
male,short,light,5
male,short,heavy,5
male,medium,light,3
female,medium,normal,4
male,tall,light,2
female,short,light,4
female,tall,normal,3
male,short,light,2
male,tall,light,2
female,short,normal,5
female,short,heavy,5
male,short,heavy,5
male,short,heavy,5
male,medium,heavy,5
male,short,heavy,5
female,short,heavy,5
female,medium,normal,4
male,tall,heavy,5
female,medium,light,2
female,short,light,3
male,tall,normal,3
male,tall,light,1
female,medium,heavy,5
male,medium,heavy,5
male,short,heavy,5
male,medium,light,1
female,tall,light,1
female,short,heavy,5
female,short,heavy,5
female,tall,heavy,4
female,tall,heavy,3
male,short,light,4
female,medium,heavy,5
female,tall,light,2
female,medium,heavy,4
female,short,normal,5
male,short,light,2
male,short,heavy,5
female,tall,heavy,4
male,tall,light,2
female,tall,heavy,4
male,tall,heavy,4
male,short,light,3
male,short,heavy,5
female,medium,heavy,5
female,medium,light,1
male,medium,heavy,5
male,medium,normal,4
male,tall,heavy,4
female,tall,light,3
male,medium,light,4
male,medium,heavy,5
female,medium,light,3
male,short,light,5
female,tall,light,0
female,short,heavy,5
male,tall,light,0
male,tall,light,2
male,medium,heavy,5
female,medium,heavy,5
female,medium,normal,4
female,medium,light,2
female,medium,light,4
female,tall,heavy,4
female,short,light,2
male,medium,heavy,4
male,short,light,5
male,medium,light,2
female,tall,normal,3
female,tall,heavy,4
male,medium,normal,4
female,medium,light,4
female,medium,heavy,4
male,tall,light,0
male,medium,light,3
female,medium,heavy,5
female,tall,normal,3
male,tall,heavy,4
male,medium,heavy,5
male,tall,light,0
female,medium,heavy,5
male,short,heavy,5
female,short,normal,5
female,tall,heavy,5
female,medium,heavy,5
female,tall,normal,3
female,tall,heavy,3
male,medium,light,2
male,tall,heavy,4
female,medium,heavy,5
male,short,light,4
male,short,heavy,5
male,tall,light,1
female,tall,light,0
male,tall,heavy,4
male,short,normal,5
male,short,heavy,5
female,tall,heavy,4
female,tall,heavy,4
male,tall,heavy,4
male,medium,heavy,5
male,short,heavy,5
female,tall,normal,4
male,short,light,3
female,short,light,4
female,short,heavy,5
male,tall,heavy,4
female,tall,light,2
female,medium,normal,4
male,short,light,3
female,medium,light,2
female,short,normal,5
male,short,normal,5
female,medium,heavy,5
female,medium,light,4
male,tall,heavy,4
male,tall,heavy,4
female,tall,heavy,5
female,short,heavy,5
male,short,normal,4
male,tall,heavy,4
female,short,light,4
male,tall,heavy,5
male,short,light,2
female,medium,heavy,5
female,tall,light,2
female,short,heavy,5
female,medium,heavy,4
female,medium,heavy,5
female,tall,heavy,5
female,tall,heavy,5
male,tall,normal,3
male,medium,heavy,5
male,short,heavy,5
female,medium,light,2
female,medium,light,4
male,medium,heavy,5
male,medium,heavy,5
male,short,light,5
male,tall,heavy,4
male,tall,normal,3
female,short,heavy,5
male,tall,normal,3
female,medium,heavy,3
female,tall,light,0
male,short,light,3
female,short,light,3
female,medium,heavy,5
female,short,heavy,5
female,medium,normal,4
female,tall,light,3
male,medium,heavy,5
female,tall,normal,3
male,tall,normal,4
male,tall,normal,2
female,tall,light,2
male,tall,normal,3
female,tall,heavy,5
female,medium,heavy,4
male,tall,light,2
male,medium,normal,4
female,short,normal,5
female,short,light,3
female,tall,light,2
male,tall,heavy,4
male,medium,heavy,5
male,medium,heavy,5
female,tall,heavy,4
male,tall,heavy,4
female,tall,heavy,4
female,medium,normal,4
female,tall,normal,3
female,medium,heavy,5
male,tall,normal,3
female,short,light,3
male,medium,heavy,4
male,short,normal,4
male,medium,light,2
female,tall,normal,3
male,medium,light,3
female,medium,heavy,5
female,tall,light,3
female,short,heavy,5
male,short,normal,4
male,short,light,5
male,short,normal,5
male,medium,normal,4
female,short,heavy,5
male,short,normal,5
male,short,normal,5
male,short,light,4
female,medium,heavy,4
female,medium,heavy,5
male,tall,heavy,5
male,tall,light,1
male,medium,light,3
female,short,light,4
male,tall,normal,4
male,short,heavy,5
female,short,light,4
male,short,normal,5
female,tall,heavy,4
male,tall,normal,3
female,short,light,4
female,short,light,4
male,short,heavy,5
female,short,heavy,5
female,tall,heavy,5
female,tall,light,0
female,medium,heavy,5
female,short,heavy,5
female,short,light,5
female,short,heavy,5
male,short,normal,5
female,medium,light,2
male,tall,heavy,5
female,short,light,4
male,medium,heavy,5
male,tall,light,0
female,short,heavy,5
male,medium,light,3
male,tall,heavy,4
female,medium,heavy,5
male,medium,heavy,5
female,tall,heavy,4
female,short,light,2
female,tall,light,3
female,medium,light,3
male,short,light,4
male,medium,light,3
