@relation gps-activity.arff
@attribute hour {0:30,1:0,1:30,2:0,2:30,3:0,3:30,4:0,4:30,5:0,5:30,6:0,6:30,7:0,7:30,8:0,8:30,9:0,9:30,10:0,10:30,11:0,11:30,12:0,12:30,13:0,13:30,14:0,14:30,15:0,15:30,16:0,16:30,17:0,17:30,18:0,18:30,19:0,19:30,20:0,20:30,21:0,21:30,22:0,22:30,23:0,23:30,0:0,}
@attribute activity {None,Low,Medium,High}
@data
0:30,None
1:0,Low
1:30,None
2:0,Low
2:30,Low
3:0,Medium
3:30,Medium
4:0,Low
4:30,None
5:0,Low
5:30,Medium
6:0,Low
6:30,Medium
7:0,Medium
7:30,Low
8:0,Medium
8:30,High
9:0,Medium
9:30,Low
10:0,None
10:30,High
11:0,Medium
11:30,Low
12:0,Low
12:30,None
13:0,Low
13:30,Medium
14:0,Low
14:30,Low
15:0,Low
15:30,Medium
16:0,None
16:30,High
17:0,High
17:30,Low
18:0,High
18:30,Medium
19:0,None
19:30,None
20:0,None
20:30,None
21:0,None
21:30,Low
22:0,None
22:30,None
23:0,None
23:30,None
0:0,None
0:30,None
1:0,Medium
1:30,None
2:0,None
2:30,None
3:0,None
3:30,None
4:0,None
4:30,None
5:0,High
5:30,Medium
6:0,Medium
6:30,Medium
7:0,Medium
7:30,Medium
8:0,High
8:30,High
9:0,Medium
9:30,Medium
10:0,Low
10:30,High
11:0,Low
11:30,None
12:0,High
12:30,Medium
13:0,Medium
13:30,Medium
14:0,Medium
14:30,Low
15:0,Low
15:30,Medium
16:0,High
16:30,Low
17:0,Low
17:30,High
18:0,Medium
18:30,Low
19:0,None
19:30,None
20:0,None
20:30,None
21:0,None
21:30,None
22:0,None
22:30,None
23:0,None
23:30,None
0:0,Low
0:30,Low
1:0,None
1:30,Low
2:0,Medium
2:30,Low
3:0,High
3:30,Medium
4:0,High
4:30,Low
5:0,Medium
5:30,Medium
6:0,Low
6:30,High
7:0,Medium
7:30,Low
8:0,Medium
8:30,High
9:0,Medium
9:30,None
10:0,Low
10:30,Medium
11:0,Low
11:30,Low
12:0,None
12:30,Medium
13:0,None
13:30,None
14:0,Low
14:30,Low
15:0,None
15:30,Medium
16:0,None
16:30,Low
17:0,Medium
17:30,High
18:0,Medium
18:30,None
19:0,None
19:30,None
20:0,None
20:30,None
21:0,None
21:30,None
22:0,None
22:30,None
23:0,None
23:30,High
0:0,Medium
0:30,None
1:0,Medium
1:30,Low
2:0,None
2:30,None
3:0,None
3:30,None
4:0,None
4:30,None
5:0,None
5:30,None
6:0,Low
6:30,Medium
7:0,Medium
7:30,Low
8:0,None
8:30,High
9:0,Medium
9:30,Low
10:0,Low
10:30,None
11:0,Low
11:30,None
12:0,Low
12:30,None
13:0,Medium
13:30,High
14:0,Medium
14:30,Medium
15:0,Medium
15:30,High
16:0,Medium
16:30,Medium
17:0,High
17:30,Medium
18:0,High
18:30,High
19:0,None
19:30,None
20:0,None
20:30,None
21:0,None
21:30,None
22:0,None
22:30,None
23:0,None
23:30,None
