@relation lux

@attribute x1 @REAL
@attribute x2 @REAL
@attribute class {1,0}

@data
0.92,-0.25,1[0.89]
1.02,-0.39,1[0.98]
0.94,-0.39,1[0.99]
1.05,-0.41,1[0.99]
0.96,-0.42,1[0.99]
1.13,-0.37,1[0.98]
0.94,-0.42,1[0.99]
0.92,-0.42,1[0.99]
0.87,-0.40,1[0.99]
0.83,-0.35,1[0.98]
1.17,-0.36,1[0.98]
0.86,-0.40,1[0.99]
0.89,-0.43,1[0.99]
0.98,-0.46,1[0.99]
1.07,-0.46,1[1.00]
0.88,-0.45,1[0.99]
1.22,-0.32,1[0.98]
1.07,-0.48,1[1.00]
0.76,-0.29,1[0.97]
0.86,-0.46,1[1.00]
1.03,-0.51,1[1.00]
0.94,-0.50,1[1.00]
1.06,-0.50,1[1.00]
1.17,-0.45,1[1.00]
0.83,-0.46,1[1.00]
0.90,-0.50,1[1.00]
1.25,-0.37,1[0.99]
1.10,-0.51,1[1.00]
0.85,-0.49,1[1.00]
0.97,-0.53,1[1.00]
0.89,-0.52,1[1.00]
1.21,-0.45,1[1.00]
1.18,-0.48,1[1.00]
1.06,-0.54,1[1.00]
0.87,-0.52,1[1.00]
0.93,-0.54,1[1.00]
1.30,-0.32,1[0.98]
1.23,-0.45,1[1.00]
0.75,-0.43,1[1.00]
0.76,-0.45,1[1.00]
0.90,-0.54,1[1.00]
0.85,-0.52,1[1.00]
0.81,-0.50,1[1.00]
1.20,-0.49,1[1.00]
1.23,-0.46,1[1.00]
0.93,-0.57,1[1.00]
0.70,-0.38,1[0.99]
1.06,-0.57,1[1.00]
0.67,-0.30,1[0.99]
1.32,-0.34,1[0.99]
0.92,-0.58,1[1.00]
0.86,-0.56,1[1.00]
1.33,-0.37,1[0.99]
0.73,-0.49,1[1.00]
1.13,-0.59,1[1.00]
1.24,-0.52,1[1.00]
0.68,-0.42,1[1.00]
0.87,-0.59,1[1.00]
1.24,-0.53,1[1.00]
0.62,-0.33,1[1.00]
1.35,-0.42,1[1.00]
0.80,-0.58,1[1.00]
1.18,-0.59,1[1.00]
0.66,-0.43,1[1.00]
0.64,-0.40,1[1.00]
0.62,-0.33,1[1.00]
1.38,-0.37,1[1.00]
1.36,-0.43,1[1.00]
0.69,-0.50,1[1.00]
1.33,-0.47,1[1.00]
1.20,-0.60,1[1.00]
1.34,-0.47,1[1.00]
