dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783113407992702,0.1955108703572817,0.23511881007881005,0.2503798386365542,0.06500755411818607,0.19511375093114536,0.25876974123915303,0.19844974506269927,0.05987351419289179,0.19530463372696133,0.16175333823039706,0.17387441010761637,0.050913357292032294,0.16032935465473766,0.2757082306925212,0.18701963068551045
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783113407992702,0.1955108703572817,0.23511881007881005,0.2503798386365542,0.06500755411818607,0.19511375093114536,0.25876974123915303,0.19844974506269927,0.05987351419289179,0.19530463372696133,0.16175333823039706,0.17387441010761637,0.050913357292032294,0.16032935465473766,0.2757082306925212,0.18701963068551045
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42835059585180996,0.1300431394769097,0.5135333333333333,0.24902066848623897,0.41153904291883836,0.13160366776499863,0.5713333333333332,0.24267124537804913,0.45717825472981394,0.1285718989358249,0.6302666666666666,0.22422096244553053,0.42767439686127445,0.1381951875156379,0.4128,0.297800350719889
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783113407992702,0.1955108703572817,0.23511881007881005,0.2503798386365542,0.06500755411818607,0.19511375093114536,0.25876974123915303,0.19844974506269927,0.05987351419289179,0.19530463372696133,0.16175333823039706,0.17387441010761637,0.050913357292032294,0.16032935465473766,0.2757082306925212,0.18701963068551045
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42835059585180996,0.1300431394769097,0.5135333333333333,0.24902066848623897,0.41153904291883836,0.13160366776499863,0.5713333333333332,0.24267124537804913,0.45717825472981394,0.1285718989358249,0.6302666666666666,0.22422096244553053,0.42767439686127445,0.1381951875156379,0.4128,0.297800350719889
breast-w,./data/num_and_cat/balanced,0.015723585057816993,0.09398969426366163,0.017333333333333333,0.11288932633336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196460980205986,0.23613651519492984,0.5879504761904761,0.3404000273068088,0.10745800836000186,0.2009370131934996,0.30982666666666664,0.23007313512571598,0.12150438723700342,0.19753684812825448,0.3539857142857143,0.21199375533927187,0.14458038119822814,0.1998160743097807,0.4908533333333333,0.3064069636574498
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783113407992702,0.1955108703572817,0.23511881007881005,0.2503798386365542,0.06500755411818607,0.19511375093114536,0.25876974123915303,0.19844974506269927,0.05987351419289179,0.19530463372696133,0.16175333823039706,0.17387441010761637,0.050913357292032294,0.16032935465473766,0.2757082306925212,0.18701963068551045
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42835059585180996,0.1300431394769097,0.5135333333333333,0.24902066848623897,0.41153904291883836,0.13160366776499863,0.5713333333333332,0.24267124537804913,0.45717825472981394,0.1285718989358249,0.6302666666666666,0.22422096244553053,0.42767439686127445,0.1381951875156379,0.4128,0.297800350719889
breast-w,./data/num_and_cat/balanced,0.015723585057816993,0.09398969426366163,0.017333333333333333,0.11288932633336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196460980205986,0.23613651519492984,0.5879504761904761,0.3404000273068088,0.10745800836000186,0.2009370131934996,0.30982666666666664,0.23007313512571598,0.12150438723700342,0.19753684812825448,0.3539857142857143,0.21199375533927187,0.14458038119822814,0.1998160743097807,0.4908533333333333,0.3064069636574498
mfeat-morphological,./data/num_and_cat/balanced,0.348585305366537,0.3604450737141772,0.3925466666666666,0.35338962293762954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41058281556834897,0.3546533712070362,0.4876533333333334,0.2365558516150749,0.4750059714680724,0.314761310442672,0.69252,0.16813435315577574,0.4548503148883972,0.3327237286027249,0.6318666666666666,0.19708222762198638,0.446588203129654,0.2764547261372034,0.5835066666666666,0.2075919420401476
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783113407992702,0.1955108703572817,0.23511881007881005,0.2503798386365542,0.06500755411818607,0.19511375093114536,0.25876974123915303,0.19844974506269927,0.05987351419289179,0.19530463372696133,0.16175333823039706,0.17387441010761637,0.050913357292032294,0.16032935465473766,0.2757082306925212,0.18701963068551045
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42835059585180996,0.1300431394769097,0.5135333333333333,0.24902066848623897,0.41153904291883836,0.13160366776499863,0.5713333333333332,0.24267124537804913,0.45717825472981394,0.1285718989358249,0.6302666666666666,0.22422096244553053,0.42767439686127445,0.1381951875156379,0.4128,0.297800350719889
breast-w,./data/num_and_cat/balanced,0.015723585057816993,0.09398969426366163,0.017333333333333333,0.11288932633336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196460980205986,0.23613651519492984,0.5879504761904761,0.3404000273068088,0.10745800836000186,0.2009370131934996,0.30982666666666664,0.23007313512571598,0.12150438723700342,0.19753684812825448,0.3539857142857143,0.21199375533927187,0.14458038119822814,0.1998160743097807,0.4908533333333333,0.3064069636574498
mfeat-morphological,./data/num_and_cat/balanced,0.348585305366537,0.3604450737141772,0.3925466666666666,0.35338962293762954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41058281556834897,0.3546533712070362,0.4876533333333334,0.2365558516150749,0.4750059714680724,0.314761310442672,0.69252,0.16813435315577574,0.4548503148883972,0.3327237286027249,0.6318666666666666,0.19708222762198638,0.446588203129654,0.2764547261372034,0.5835066666666666,0.2075919420401476
