dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462180231952793,0.194867461322512,0.2572781307581307,0.25538596155525506,0.06345527798524335,0.19503808961759983,0.2657666241945189,0.1833366119008598,0.060378757721113244,0.1950821020077778,0.1622500026770615,0.17653663977296985,0.05151057519736221,0.16078816595668355,0.2733377608585582,0.20905000657214343
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462180231952793,0.194867461322512,0.2572781307581307,0.25538596155525506,0.06345527798524335,0.19503808961759983,0.2657666241945189,0.1833366119008598,0.060378757721113244,0.1950821020077778,0.1622500026770615,0.17653663977296985,0.05151057519736221,0.16078816595668355,0.2733377608585582,0.20905000657214343
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4340151672574306,0.1321110671379311,0.5156,0.25504024954678994,0.42472567383634136,0.13050358431424758,0.6261333333333334,0.217412419148493,0.4571724747859976,0.12780268820390764,0.6518666666666666,0.21543976729780723,0.4267552912821459,0.1391666338661483,0.3967333333333333,0.29421722134051453
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462180231952793,0.194867461322512,0.2572781307581307,0.25538596155525506,0.06345527798524335,0.19503808961759983,0.2657666241945189,0.1833366119008598,0.060378757721113244,0.1950821020077778,0.1622500026770615,0.17653663977296985,0.05151057519736221,0.16078816595668355,0.2733377608585582,0.20905000657214343
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4340151672574306,0.1321110671379311,0.5156,0.25504024954678994,0.42472567383634136,0.13050358431424758,0.6261333333333334,0.217412419148493,0.4571724747859976,0.12780268820390764,0.6518666666666666,0.21543976729780723,0.4267552912821459,0.1391666338661483,0.3967333333333333,0.29421722134051453
breast-w,./data/num_and_cat/balanced,0.015723585057816993,0.09398969426366163,0.017333333333333333,0.11288932633336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22660410765525804,0.23248626760211805,0.573547619047619,0.3411748816759835,0.1250449863610296,0.19795822067519436,0.4185666666666667,0.21300121623576196,0.12180607930467716,0.19569560219628318,0.35435492063492063,0.19835937416167923,0.152779454282438,0.19473765735948662,0.4671028571428571,0.30571421930870074
kr-vs-kp,./data/num_and_cat/balanced,0.07818890703411907,0.1958740221635333,0.29631751803751805,0.27222601130101287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07462180231952793,0.194867461322512,0.2572781307581307,0.25538596155525506,0.06345527798524335,0.19503808961759983,0.2657666241945189,0.1833366119008598,0.060378757721113244,0.1950821020077778,0.1622500026770615,0.17653663977296985,0.05151057519736221,0.16078816595668355,0.2733377608585582,0.20905000657214343
balance-scale,./data/num_and_cat/balanced,0.38865689562544087,0.12726912617225347,0.3402,0.30390525570388616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4340151672574306,0.1321110671379311,0.5156,0.25504024954678994,0.42472567383634136,0.13050358431424758,0.6261333333333334,0.217412419148493,0.4571724747859976,0.12780268820390764,0.6518666666666666,0.21543976729780723,0.4267552912821459,0.1391666338661483,0.3967333333333333,0.29421722134051453
breast-w,./data/num_and_cat/balanced,0.015723585057816993,0.09398969426366163,0.017333333333333333,0.11288932633336068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22660410765525804,0.23248626760211805,0.573547619047619,0.3411748816759835,0.1250449863610296,0.19795822067519436,0.4185666666666667,0.21300121623576196,0.12180607930467716,0.19569560219628318,0.35435492063492063,0.19835937416167923,0.152779454282438,0.19473765735948662,0.4671028571428571,0.30571421930870074
mfeat-morphological,./data/num_and_cat/balanced,0.348585305366537,0.3604450737141772,0.3925466666666666,0.35338962293762954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41624310809132326,0.3516281597769161,0.5032933333333334,0.23693890107883184,0.4689178425692975,0.3217870999410718,0.712,0.16153155866407173,0.4566792870178061,0.3407354569145377,0.6282266666666666,0.18786380929930183,0.4244771121860468,0.26746591423153393,0.5818133333333333,0.20001311245904743
