dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101928355692146,0.23752330221214066,0.6012960869478986,0.2055920323095983,0.002965856481481481,0.03807746083501784,0.0026774558219789376,0.04593285915205016,0.4061093038847497,0.23580550750407767,0.6350389718569643,0.21203674314591167,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101928355692146,0.23752330221214066,0.6012960869478986,0.2055920323095983,0.002965856481481481,0.03807746083501784,0.0026774558219789376,0.04593285915205016,0.4061093038847497,0.23580550750407767,0.6350389718569643,0.21203674314591167,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284874738510271,0.31266157398587807,0.67,0.3112876483254676,0.2400298624285061,0.32521211553921137,0.7548,0.2829787271156615,0.2216770382073432,0.30769217784370856,0.694,0.3075126013678139,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101928355692146,0.23752330221214066,0.6012960869478986,0.2055920323095983,0.002965856481481481,0.03807746083501784,0.0026774558219789376,0.04593285915205016,0.4061093038847497,0.23580550750407767,0.6350389718569643,0.21203674314591167,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284874738510271,0.31266157398587807,0.67,0.3112876483254676,0.2400298624285061,0.32521211553921137,0.7548,0.2829787271156615,0.2216770382073432,0.30769217784370856,0.694,0.3075126013678139,0.0,0.0,0.0,0.0
banknote-authentication,knn-nosuite,0.05372305639235742,0.15654666233040743,0.08813333333333333,0.2515491204516525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15403482662858364,0.22206026074837157,0.4566,0.3382960504909535,0.14038413859486984,0.20571219030958374,0.5550666666666666,0.28666840309551617,0.2017427774140999,0.22300125125873982,0.6123333333333333,0.2759792665320269,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101928355692146,0.23752330221214066,0.6012960869478986,0.2055920323095983,0.002965856481481481,0.03807746083501784,0.0026774558219789376,0.04593285915205016,0.4061093038847497,0.23580550750407767,0.6350389718569643,0.21203674314591167,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284874738510271,0.31266157398587807,0.67,0.3112876483254676,0.2400298624285061,0.32521211553921137,0.7548,0.2829787271156615,0.2216770382073432,0.30769217784370856,0.694,0.3075126013678139,0.0,0.0,0.0,0.0
banknote-authentication,knn-nosuite,0.05372305639235742,0.15654666233040743,0.08813333333333333,0.2515491204516525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15403482662858364,0.22206026074837157,0.4566,0.3382960504909535,0.14038413859486984,0.20571219030958374,0.5550666666666666,0.28666840309551617,0.2017427774140999,0.22300125125873982,0.6123333333333333,0.2759792665320269,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632187603912274,0.21675736739406873,0.4464,0.4828323104349998,0.279363839486285,0.18579358734480578,0.8165333333333332,0.2567012617377986,0.10553191288764228,0.18982388226135966,0.2856,0.4453081030777081,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101928355692146,0.23752330221214066,0.6012960869478986,0.2055920323095983,0.002965856481481481,0.03807746083501784,0.0026774558219789376,0.04593285915205016,0.4061093038847497,0.23580550750407767,0.6350389718569643,0.21203674314591167,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284874738510271,0.31266157398587807,0.67,0.3112876483254676,0.2400298624285061,0.32521211553921137,0.7548,0.2829787271156615,0.2216770382073432,0.30769217784370856,0.694,0.3075126013678139,0.0,0.0,0.0,0.0
banknote-authentication,knn-nosuite,0.05372305639235742,0.15654666233040743,0.08813333333333333,0.2515491204516525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15403482662858364,0.22206026074837157,0.4566,0.3382960504909535,0.14038413859486984,0.20571219030958374,0.5550666666666666,0.28666840309551617,0.2017427774140999,0.22300125125873982,0.6123333333333333,0.2759792665320269,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632187603912274,0.21675736739406873,0.4464,0.4828323104349998,0.279363839486285,0.18579358734480578,0.8165333333333332,0.2567012617377986,0.10553191288764228,0.18982388226135966,0.2856,0.4453081030777081,0.0,0.0,0.0,0.0
volcanoes-a3,knn-nosuite,0.5059287531246287,0.04233159147528468,0.0344,0.16396129624599418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5848582681582892,0.10252672099746533,0.478,0.4926621560461083,0.6368333169318418,0.09039743927175972,0.774,0.30712212554617424,0.5867208614903338,0.10292727183992237,0.4789333333333333,0.4784007803784047,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101928355692146,0.23752330221214066,0.6012960869478986,0.2055920323095983,0.002965856481481481,0.03807746083501784,0.0026774558219789376,0.04593285915205016,0.4061093038847497,0.23580550750407767,0.6350389718569643,0.21203674314591167,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284874738510271,0.31266157398587807,0.67,0.3112876483254676,0.2400298624285061,0.32521211553921137,0.7548,0.2829787271156615,0.2216770382073432,0.30769217784370856,0.694,0.3075126013678139,0.0,0.0,0.0,0.0
