dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42088756003726785,0.2279075413640761,0.6157940143987624,0.20812767528354612,0.001375182197142356,0.01469036158954208,0.0011453561016243233,0.030802810055883385,0.40982620384728247,0.23431687841895235,0.6023085619087285,0.2193276178465324,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42088756003726785,0.2279075413640761,0.6157940143987624,0.20812767528354612,0.001375182197142356,0.01469036158954208,0.0011453561016243233,0.030802810055883385,0.40982620384728247,0.23431687841895235,0.6023085619087285,0.2193276178465324,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23123795346956214,0.31412390338187923,0.7,0.30000000000000004,0.22583392899217555,0.3193297629811296,0.7228,0.2969177663933231,0.22554958572590192,0.30916196618207337,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42088756003726785,0.2279075413640761,0.6157940143987624,0.20812767528354612,0.001375182197142356,0.01469036158954208,0.0011453561016243233,0.030802810055883385,0.40982620384728247,0.23431687841895235,0.6023085619087285,0.2193276178465324,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23123795346956214,0.31412390338187923,0.7,0.30000000000000004,0.22583392899217555,0.3193297629811296,0.7228,0.2969177663933231,0.22554958572590192,0.30916196618207337,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0
banknote-authentication,knn-nosuite,0.05372305639235742,0.15654666233040743,0.08813333333333333,0.2515491204516525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852308108970498,0.2377312596001861,0.5142666666666666,0.3111034411752964,0.12256280384103395,0.20591368472060123,0.4799333333333333,0.28942969977372934,0.20456388276030912,0.2211795269915729,0.6444666666666667,0.2567347182512633,0.0,0.0,0.0,0.0
yeast,knn-nosuite,0.39702348015306993,0.23750297410896912,0.33561016243231984,0.25519979805010645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42088756003726785,0.2279075413640761,0.6157940143987624,0.20812767528354612,0.001375182197142356,0.01469036158954208,0.0011453561016243233,0.030802810055883385,0.40982620384728247,0.23431687841895235,0.6023085619087285,0.2193276178465324,0.0,0.0,0.0,0.0
rmftsa,knn-nosuite,0.22957802199170013,0.33265983959833295,0.596,0.3543783289085268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23123795346956214,0.31412390338187923,0.7,0.30000000000000004,0.22583392899217555,0.3193297629811296,0.7228,0.2969177663933231,0.22554958572590192,0.30916196618207337,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0
banknote-authentication,knn-nosuite,0.05372305639235742,0.15654666233040743,0.08813333333333333,0.2515491204516525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1852308108970498,0.2377312596001861,0.5142666666666666,0.3111034411752964,0.12256280384103395,0.20591368472060123,0.4799333333333333,0.28942969977372934,0.20456388276030912,0.2211795269915729,0.6444666666666667,0.2567347182512633,0.0,0.0,0.0,0.0
volcanoes-a2,knn-nosuite,0.0022458766886081947,0.04178442372613581,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1654051795617332,0.21616805778280024,0.4464,0.4828323104349998,0.2663042740840331,0.18462729461185007,0.772,0.26959723045066075,0.16776019143060517,0.2089583441357871,0.4548,0.4771690406274629,0.0,0.0,0.0,0.0
