dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9893617021276595,0.0,0.0,0.9930795847750865
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9965870307167235
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.996415770609319
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9977628635346756
banknote-authentication,knn-nosuite,1.0,1.0,0.9901960784313726,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9875,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9972222222222221
banknote-authentication,knn-nosuite,1.0,1.0,0.9901960784313726,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9978632478632479
banknote-authentication,knn-nosuite,1.0,1.0,0.9795918367346939,0.0,0.0,0.9953917050691243
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9901960784313726,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9966329966329968
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.980392156862745,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9901960784313726,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9829059829059827
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0
