dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9629629629629629,0.0,0.0,1.0,1.0,0.96875,0.9117647058823529,0.9629629629629629,0.0,0.0,1.0,1.0,0.96875,0.9117647058823529,0.9629629629629629,0.0,0.0,1.0,1.0,0.96875,0.9117647058823529,0.9629629629629629,0.0,0.0,1.0,1.0,0.96875,0.9117647058823528
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,0.84,0.6764705882352942,0.6764705882352942,1.0,0.0,0.0,1.0,0.84,0.6764705882352942,0.6764705882352942,1.0,0.0,0.0,1.0,0.84,0.6764705882352942,0.6764705882352942,1.0,0.0,0.0,1.0,0.8399999999999999,0.6764705882352942,0.6764705882352942
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,0.8181818181818182,0.8787878787878788,0.8529411764705882,1.0,0.0,0.0,1.0,0.8181818181818182,0.8787878787878788,0.8529411764705882,1.0,0.0,0.0,1.0,0.8181818181818182,0.8787878787878788,0.8529411764705882,1.0,0.0,0.0,1.0,0.8181818181818182,0.8787878787878788,0.8529411764705882
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.8888888888888888,0.47058823529411764,1.0,0.0,0.0,1.0,0.6666666666666666,0.8888888888888888,0.47058823529411764,1.0,0.0,0.0,1.0,0.6666666666666666,0.8888888888888888,0.47058823529411764,1.0,0.0,0.0,1.0,0.6666666666666666,0.8888888888888888,0.47058823529411764
banknote-authentication,knn-nosuite,1.0,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.0,0.0,1.0,1.0,1.0,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9705882352941176,0.0,0.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.0,0.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.0,0.0,1.0,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.0,0.0,1.0,1.0,0.9705882352941176,0.9705882352941176
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823528
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.9117647058823528
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8928571428571429,0.7352941176470589,1.0,0.0,0.0,1.0,1.0,0.8928571428571429,0.7352941176470589,1.0,0.0,0.0,1.0,1.0,0.8928571428571429,0.7352941176470589,1.0,0.0,0.0,1.0,1.0,0.8928571428571429,0.735294117647059
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6470588235294118,1.0,0.0,0.0,1.0,1.0,1.0,0.6470588235294118,1.0,0.0,0.0,1.0,1.0,1.0,0.6470588235294118,1.0,0.0,0.0,1.0,1.0,1.0,0.6470588235294118
banknote-authentication,knn-nosuite,1.0,1.0,0.9696969696969697,0.0,0.0,1.0,1.0,1.0,0.9411764705882353,0.9696969696969697,0.0,0.0,1.0,1.0,1.0,0.9411764705882353,0.9696969696969697,0.0,0.0,1.0,1.0,1.0,0.9411764705882353,0.9696969696969697,0.0,0.0,1.0,1.0,1.0,0.9411764705882353
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.4117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.4117647058823529,1.0,0.0,0.0,1.0,1.0,1.0,0.4117647058823529
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4411764705882353,1.0,0.0,0.0,1.0,1.0,1.0,0.4411764705882353,1.0,0.0,0.0,1.0,1.0,1.0,0.4411764705882353,1.0,0.0,0.0,1.0,1.0,1.0,0.4411764705882353
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
