dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.8235294117647058,0.8823529411764706,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9411764705882353,0.8529411764705882,0.8529411764705882,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.9705882352941176,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.8529411764705882,0.9411764705882353,0.8529411764705882,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.7941176470588235,0.0,0.0,0.7647058823529411,0.6764705882352942,0.9411764705882353,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.6764705882352942,0.0,0.0,0.6764705882352942,0.7352941176470589,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9705882352941176,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.9411764705882353,0.7941176470588235,0.8235294117647058,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.8529411764705882,0.0,0.0,0.8529411764705882,0.6470588235294118,0.9705882352941176,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.8823529411764706,0.8823529411764706,0.8529411764705882,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.47058823529411764,0.0,0.0,0.47058823529411764,0.7941176470588235,0.5294117647058824,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.8823529411764706,0.7058823529411765,0.9705882352941176,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.7647058823529411,0.7058823529411765,0.7058823529411765,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,1.0,0.9411764705882353,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.0,0.0,0.6764705882352942,0.9705882352941176,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.8823529411764706,0.0,0.0,0.8529411764705882,0.6764705882352942,0.9117647058823529,1.0
