dataset,num_and_cat,model_score,instance_certainty_clf,dectree_score,ac_score_ablation,ac_score_pure,ac_score_proba,ac_score_shap,ac_score_explan,ac_score_lore,dectree_score_prec,prec_score_ablation,prec_score_pure,prec_score_proba,prec_score_shap,prec_score_explan,prec_score_lore,dectree_score_rec,rec_score_ablation,rec_score_pure,rec_score_proba,rec_score_shap,rec_score_explan,rec_score_lore,dectree_score_f1,f1_score_ablation,f1_score_pure,f1_score_proba,f1_score_shap,f1_score_explan,f1_score_lore
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,0.9411764705882353,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.9411764705882353,1.0,1.0,1.0,0,0,1.0,0.9696969696969697,1.0
banknote-authentication,knn-nosuite,1.0,1.0,0.9705882352941176,1.0,0,0,0.9705882352941176,1.0,0.9705882352941176,1.0,1.0,0,0,1.0,1.0,1.0,0.9705882352941176,1.0,0,0,0.9705882352941176,1.0,0.9705882352941176,0.9850746268656716,1.0,0,0,0.9850746268656716,1.0,0.9850746268656716
banknote-authentication,knn-nosuite,1.0,1.0,0.8235294117647058,1.0,0,0,1.0,1.0,0.9117647058823529,1.0,1.0,0,0,1.0,1.0,1.0,0.8235294117647058,1.0,0,0,1.0,1.0,0.9117647058823529,0.9032258064516129,1.0,0,0,1.0,1.0,0.9538461538461539
banknote-authentication,knn-nosuite,1.0,1.0,1.0,0.9705882352941176,0,0,1.0,0.9411764705882353,0.9411764705882353,1.0,0.96875,0,0,1.0,1.0,0.9393939393939394,1.0,1.0,0,0,1.0,0.9354838709677419,1.0,1.0,0.9841269841269841,0,0,1.0,0.9666666666666666,0.96875
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,0.8823529411764706,0.6764705882352942,1.0,1.0,0,0,1.0,0.8518518518518519,0.6764705882352942,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.92,0.8070175438596492
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,0.9117647058823529,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.9117647058823529,1.0,1.0,1.0,0,0,1.0,0.9538461538461539,1.0
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,0.7647058823529411,0.8823529411764706,1.0,1.0,0,0,1.0,0.8620689655172413,0.8787878787878788,1.0,1.0,0,0,1.0,0.8620689655172413,1.0,1.0,1.0,0,0,1.0,0.8620689655172413,0.9354838709677419
banknote-authentication,knn-nosuite,1.0,1.0,1.0,1.0,0,0,1.0,0.9705882352941176,0.9705882352941176,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,0.9705882352941176,0.9705882352941176,1.0,1.0,0,0,1.0,0.9850746268656716,0.9850746268656716
