dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,1.0,0.0,0.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.909090909090909,0.0,0.0,0.95625
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,0.9952380952380953
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,1.0,0.0,0.0,0.997828447339848
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.967741935483871,0.0,0.0,0.9727463312368971
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.9512195121951219,0.0,0.0,0.996951219512195
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.9259259259259259,0.0,0.0,0.9959568733153639
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,0.6,0.0,0.0,0.9916666666666668
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,0.8974358974358975,0.0,0.0,0.9957446808510639
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.6,1.0,0.0,0.0,1.0
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.8,1.0,0.0,0.0,0.9913793103448276
credit-g,./data/num_and_cat/balanced,0.764,0.6,0.96,0.0,0.0,1.0
credit-g,./data/num_and_cat/balanced,0.764,1.0,0.9767441860465116,0.0,0.0,0.997159090909091
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.8,0.888888888888889,0.0,0.0,0.9869281045751634
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.6,0.9459459459459459,0.0,0.0,0.831858407079646
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,0.8,0.0,0.0,0.9939024390243902
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,1.0,0.0,0.0,0.9971098265895953
vehicle,./data/num_and_cat/balanced,0.7688679245283019,1.0,1.0,0.0,0.0,1.0
vehicle,./data/num_and_cat/balanced,0.7688679245283019,0.6,1.0,0.0,0.0,0.9964912280701753
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.7837837837837838,0.0,0.0,1.0
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,1.0,0.0,0.0,0.9692307692307691
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,1.0,0.0,0.0,1.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,1.0,0.0,0.0,1.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,0.7083333333333334,0.0,0.0,0.7974683544303798
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,0.9,0.0,0.0,0.9732142857142858
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,0.0,0.0,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,0.0,0.0,0.9989130434782607
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,0.0,0.0,1.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,0.0,0.0,0.9990627928772259
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,1.0,0.0,0.0,0.9971264367816092
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,1.0,0.0,0.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,1.0,0.0,0.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.909090909090909,0.0,0.0,0.95625
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,0.9952380952380953
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,1.0,0.0,0.0,0.997828447339848
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.967741935483871,0.0,0.0,0.9727463312368971
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.9512195121951219,0.0,0.0,0.996951219512195
