dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
credit-g,./data/num_and_cat/balanced,0.764,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
credit-g,./data/num_and_cat/balanced,0.764,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
vehicle,./data/num_and_cat/balanced,0.7688679245283019,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
vehicle,./data/num_and_cat/balanced,0.7688679245283019,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
vowel,./data/num_and_cat/balanced,0.8911290322580645,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
analcatdata_dmft,./data/num_and_cat/balanced,0.165,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0
pc4,./data/num_and_cat/balanced,0.873972602739726,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,1.0
pc3,./data/num_and_cat/balanced,0.8849104859335039,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
kc2,./data/num_and_cat/balanced,0.7938931297709924,0.8,1.0,1.0,0.0,0.0,0.0,,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
