dataset,num_and_cat,importance_gain_dtree,importance_gain_ablation,importance_gain_noproba,importance_gain_with_proba,importance_gain_shap,importance_gain_explan,importance_gain_lore,importance_gain_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.07450124688279298,0.14744389027431418,0,0,0.3050187032418953,0.03496467165419782,0.29488778054862835,0.03609725685785535
kr-vs-kp,./data/num_and_cat/balanced,0.02996876220226466,0.05771183131589223,0,0,0.0,0.04514837953924251,0.06197355943548845,0.026112846544318585
balance-scale,./data/num_and_cat/balanced,0.25,0.22669220945083013,0,0,0.25,0.25,0.22669220945083013,0.2298850574712645
balance-scale,./data/num_and_cat/balanced,0.25000000000000006,0.17383177570093455,0,0,0.17383177570093455,0.3345794392523368,0.24984423676012477,0.3345794392523368
breast-w,./data/num_and_cat/balanced,0.12528735632184287,,0,0,0.13749999999999907,0.07478448275861933,0.11321839080459661,0.14022988505747203
breast-w,./data/num_and_cat/balanced,0.27739682132786386,,0,0,0.1113176108690077,0.09527471588481586,0.09523199179697484,0.27739682132786386
mfeat-morphological,./data/num_and_cat/balanced,0.19387269482450925,0.6807455879436842,0,0,0.23083977790997423,0.16666666666666666,0.19387269482450925,0.23849890937933765
mfeat-morphological,./data/num_and_cat/balanced,0.19999999999999998,0.3329983249581239,0,0,0.19999999999999998,0.19999999999999998,0.12,0.09999999999999999
mfeat-zernike,./data/num_and_cat/balanced,0.023391242903438025,0.06728637216442093,0,0,0.06549548012962648,0.07069759508783902,0.05011655011655011,0.0121933074709411
mfeat-zernike,./data/num_and_cat/balanced,0.013421292083712455,0.03430201698513801,0,0,0.02297720939490446,0.01541173794358506,0.017132051865332114,0.04425424628450105
cmc,./data/num_and_cat/balanced,0.12091271884654997,0.21914692756608312,0,0,0.1947219361483007,0.1947219361483007,0.12091271884654997,0.21914692756608312
cmc,./data/num_and_cat/balanced,0.0863612203678111,0.17699585415116373,0,0,0.16717338152439667,0.1278227459794378,0.13960728333004296,0.0801648890306273
credit-approval,./data/num_and_cat/balanced,0.07638628699887598,0.062663919070813,0,0,0.10017796927688272,0.13350818034220055,0.11046584238791059,0.19470463344573496
credit-approval,./data/num_and_cat/balanced,0.2243252716438836,0.6309148264984227,0,0,0.32728706624605675,0.155993690851735,0.22975814931650893,0.2243252716438836
credit-g,./data/num_and_cat/balanced,0.020468689225982075,0.01672500972384291,0,0,0.040224296642032836,0.05813468911485239,0.056884480746791165,0.03929404900816802
credit-g,./data/num_and_cat/balanced,0.0683553088133241,0.20506592643997232,0,0,0.20506592643997232,0.09673837612768907,0.1218598195697432,0.1238723108952117
diabetes,./data/num_and_cat/balanced,0.059310246442455423,0.068909970636138,0,0,0.19323085702057888,0.1154760631025837,0.12932581998882514,0.04217340133385602
diabetes,./data/num_and_cat/balanced,0.10911464018045577,0.18072837080695642,0,0,0.2508974265686772,0.14535763661500395,0.15585752746852943,0.2694644546314483
tic-tac-toe,./data/num_and_cat/balanced,0.12375086745315753,0.1546287300485774,0,0,0.1884108258154059,0.1273560027758501,0.15262549155678923,0.10894440589097074
tic-tac-toe,./data/num_and_cat/balanced,0.14213508612873982,0.13708824418253243,0,0,0.12754986400725307,0.10930417044424293,0.1324512692656391,0.009179510426111051
vehicle,./data/num_and_cat/balanced,0.02273619287917016,0.08386879730866273,0,0,0.07939444911690494,0.0546677880571909,0.05343425848051583,0.04026913372581999
vehicle,./data/num_and_cat/balanced,0.10182370820668701,0.11072514112027794,0,0,0.12679114198871053,0.03597791700266724,0.08386576515104528,0.01858445505861908
eucalyptus,./data/num_and_cat/balanced,0.046565445617203834,0.0,0,0,0.09857763729751094,0.0686685104701699,0.06886041654907721,0.04807059133412359
eucalyptus,./data/num_and_cat/balanced,0.0652165689426896,0.10138074522413466,0,0,0.07164323392808357,0.09583254523674423,0.06828068848118025,0.11949120484206545
vowel,./data/num_and_cat/balanced,0.09592797305466796,0.11348130235771661,0,0,0.10477588738233008,0.08948311598583644,0.08642493183472542,0.09530800834022182
vowel,./data/num_and_cat/balanced,0.10760833123795153,0.17414019501019748,0,0,0.11204704830553457,0.09968429581203025,0.08679536967190976,0.04899002598273405
analcatdata_dmft,./data/num_and_cat/balanced,0.25131348511383556,0.4973730297723288,0,0,0.3333333333333333,0.24999999999999997,0.24999999999999997,0.24999999999999997
analcatdata_dmft,./data/num_and_cat/balanced,0.3228471560216079,0.31220209723546233,0,0,0.3228471560216079,0.22529393072767714,0.22529393072767714,0.22529393072767714
pc4,./data/num_and_cat/balanced,0.10030549898166985,0.0,0,0,0.2128309572301425,,,0.035641547861506986
pc4,./data/num_and_cat/balanced,0.33695652173913027,,0,0,0.0,,,0.33695652173913027
pc3,./data/num_and_cat/balanced,0.0,,0,0,0.0,,,0.0
pc3,./data/num_and_cat/balanced,0.10217560217560225,,0,0,0.0,,,0.03962703962703969
kc2,./data/num_and_cat/balanced,0.0,,0,0,0.0,0.0,,0.0
kc2,./data/num_and_cat/balanced,0.0,,0,0,0.0,,,
kr-vs-kp,./data/num_and_cat/balanced,0.07450124688279298,0.14744389027431418,0,0,0.3050187032418953,0.03496467165419782,0.29488778054862835,0.03609725685785535
kr-vs-kp,./data/num_and_cat/balanced,0.02996876220226466,0.05771183131589223,0,0,0.0,0.04514837953924251,0.06197355943548845,0.026112846544318585
balance-scale,./data/num_and_cat/balanced,0.25,0.22669220945083013,0,0,0.25,0.25,0.22669220945083013,0.2298850574712645
balance-scale,./data/num_and_cat/balanced,0.25000000000000006,0.17383177570093455,0,0,0.17383177570093455,0.3345794392523368,0.24984423676012477,0.3345794392523368
breast-w,./data/num_and_cat/balanced,0.12528735632184287,,0,0,0.13749999999999907,0.07478448275861933,0.11321839080459661,0.14022988505747203
breast-w,./data/num_and_cat/balanced,0.27739682132786386,,0,0,0.1113176108690077,0.09527471588481586,0.09523199179697484,0.27739682132786386
mfeat-morphological,./data/num_and_cat/balanced,0.19387269482450925,0.6807455879436842,0,0,0.23083977790997423,0.16666666666666666,0.19387269482450925,0.23849890937933765
mfeat-morphological,./data/num_and_cat/balanced,0.19999999999999998,0.3329983249581239,0,0,0.19999999999999998,0.19999999999999998,0.12,0.09999999999999999
mfeat-zernike,./data/num_and_cat/balanced,0.023391242903438025,0.06728637216442093,0,0,0.06549548012962648,0.07069759508783902,0.05011655011655011,0.0121933074709411
mfeat-zernike,./data/num_and_cat/balanced,0.013421292083712455,0.03430201698513801,0,0,0.02297720939490446,0.01541173794358506,0.017132051865332114,0.04425424628450105
cmc,./data/num_and_cat/balanced,0.12091271884654997,0.21914692756608312,0,0,0.1947219361483007,0.1947219361483007,0.12091271884654997,0.21914692756608312
cmc,./data/num_and_cat/balanced,0.0863612203678111,0.17699585415116373,0,0,0.16717338152439667,0.1278227459794378,0.13960728333004296,0.0801648890306273
credit-approval,./data/num_and_cat/balanced,0.07638628699887598,0.062663919070813,0,0,0.10017796927688272,0.13350818034220055,0.11046584238791059,0.19470463344573496
credit-approval,./data/num_and_cat/balanced,0.2243252716438836,0.6309148264984227,0,0,0.32728706624605675,0.155993690851735,0.22975814931650893,0.2243252716438836
credit-g,./data/num_and_cat/balanced,0.020468689225982075,0.01672500972384291,0,0,0.040224296642032836,0.05813468911485239,0.056884480746791165,0.03929404900816802
credit-g,./data/num_and_cat/balanced,0.0683553088133241,0.20506592643997232,0,0,0.20506592643997232,0.09673837612768907,0.1218598195697432,0.1238723108952117
diabetes,./data/num_and_cat/balanced,0.059310246442455423,0.068909970636138,0,0,0.19323085702057888,0.1154760631025837,0.12932581998882514,0.04217340133385602
diabetes,./data/num_and_cat/balanced,0.10911464018045577,0.18072837080695642,0,0,0.2508974265686772,0.14535763661500395,0.15585752746852943,0.2694644546314483
tic-tac-toe,./data/num_and_cat/balanced,0.12375086745315753,0.1546287300485774,0,0,0.1884108258154059,0.1273560027758501,0.15262549155678923,0.10894440589097074
tic-tac-toe,./data/num_and_cat/balanced,0.14213508612873982,0.13708824418253243,0,0,0.12754986400725307,0.10930417044424293,0.1324512692656391,0.009179510426111051
vehicle,./data/num_and_cat/balanced,0.02273619287917016,0.08386879730866273,0,0,0.07939444911690494,0.0546677880571909,0.05343425848051583,0.04026913372581999
vehicle,./data/num_and_cat/balanced,0.10182370820668701,0.11072514112027794,0,0,0.12679114198871053,0.03597791700266724,0.08386576515104528,0.01858445505861908
eucalyptus,./data/num_and_cat/balanced,0.046565445617203834,0.0,0,0,0.09857763729751094,0.0686685104701699,0.06886041654907721,0.04807059133412359
eucalyptus,./data/num_and_cat/balanced,0.0652165689426896,0.10138074522413466,0,0,0.07164323392808357,0.09583254523674423,0.06828068848118025,0.11949120484206545
vowel,./data/num_and_cat/balanced,0.09592797305466796,0.11348130235771661,0,0,0.10477588738233008,0.08948311598583644,0.08642493183472542,0.09530800834022182
vowel,./data/num_and_cat/balanced,0.10760833123795153,0.17414019501019748,0,0,0.11204704830553457,0.09968429581203025,0.08679536967190976,0.04899002598273405
analcatdata_dmft,./data/num_and_cat/balanced,0.25131348511383556,0.4973730297723288,0,0,0.3333333333333333,0.24999999999999997,0.24999999999999997,0.24999999999999997
analcatdata_dmft,./data/num_and_cat/balanced,0.3228471560216079,0.31220209723546233,0,0,0.3228471560216079,0.22529393072767714,0.22529393072767714,0.22529393072767714
pc4,./data/num_and_cat/balanced,0.10030549898166985,0.0,0,0,0.2128309572301425,,,0.035641547861506986
pc4,./data/num_and_cat/balanced,0.33695652173913027,,0,0,0.0,,,0.33695652173913027
pc3,./data/num_and_cat/balanced,0.0,,0,0,0.0,,,0.0
