dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.8333333333333334,0.8529411764705882,0.7464788732394366,0.9666666666666667,0.0,0.0,0.9666666666666667,0.8333333333333334,0.8529411764705882,0.7464788732394366,0.9666666666666667,0.0,0.0,0.9666666666666667,0.8333333333333334,0.8529411764705882,0.7464788732394366,0.9666666666666667,0.0,0.0,0.9666666666666667,0.8333333333333334,0.8529411764705882,0.7464788732394367
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.8421052631578947,0.0,0.0,0.8421052631578947,0.0,0.8421052631578947,0.5666666666666667,0.8421052631578947,0.0,0.0,0.8421052631578947,0.0,0.8421052631578947,0.5666666666666667,0.8421052631578947,0.0,0.0,0.8421052631578947,0.0,0.8421052631578947,0.5666666666666667,0.8421052631578947,0.0,0.0,0.8421052631578947,0.0,0.8421052631578947,0.5666666666666667
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.72,0.0,0.0,0.72,0.7096774193548387,0.9047619047619048,0.8,0.72,0.0,0.0,0.72,0.7096774193548387,0.9047619047619048,0.8,0.72,0.0,0.0,0.72,0.7096774193548387,0.9047619047619048,0.8,0.72,0.0,0.0,0.72,0.7096774193548389,0.9047619047619048,0.8000000000000002
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,0.6023391812865497,0.0,0.0,0.8416666666666667,0.9259259259259259,0.8818181818181818,1.0,0.6023391812865497,0.0,0.0,0.8416666666666667,0.9259259259259259,0.8818181818181818,1.0,0.6023391812865497,0.0,0.0,0.8416666666666667,0.9259259259259259,0.8818181818181818,1.0,0.6023391812865497,0.0,0.0,0.8416666666666667,0.9259259259259259,0.8818181818181818,1.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,0.39766081871345027,0.0,0.0,0.9782608695652174,1.0,0.9795918367346939,1.0,0.39766081871345027,0.0,0.0,0.9782608695652174,1.0,0.9795918367346939,1.0,0.39766081871345027,0.0,0.0,0.9782608695652174,1.0,0.9795918367346939,1.0,0.39766081871345027,0.0,0.0,0.9782608695652174,1.0,0.9795918367346939,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.25,0.0,0.0,0.9473684210526315,0.7948717948717948,0.8939393939393939,,0.25,0.0,0.0,0.9473684210526315,0.7948717948717948,0.8939393939393939,0.0,0.25,0.0,0.0,0.9473684210526315,0.7948717948717948,0.8939393939393939,0.0,0.25,0.0,0.0,0.9473684210526315,0.7948717948717948,0.8939393939393939,0.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.23404255319148937,0.0,0.0,0.5263157894736842,0.5357142857142857,0.38,0.21311475409836064,0.23404255319148937,0.0,0.0,0.5263157894736842,0.5357142857142857,0.38,0.21311475409836064,0.23404255319148937,0.0,0.0,0.5263157894736842,0.5357142857142857,0.38,0.21311475409836064,0.23404255319148937,0.0,0.0,0.5263157894736842,0.5357142857142857,0.38,0.21311475409836064
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.7547169811320755,0.0,0.0,1.0,1.0,0.9615384615384616,1.0,0.7547169811320755,0.0,0.0,1.0,1.0,0.9615384615384616,1.0,0.7547169811320755,0.0,0.0,1.0,1.0,0.9615384615384616,1.0,0.7547169811320754,0.0,0.0,1.0,1.0,0.9615384615384616,1.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.8846153846153846,0.0,0.0,0.7391304347826086,1.0,0.6666666666666666,0.9473684210526315,0.8846153846153846,0.0,0.0,0.7391304347826086,1.0,0.6666666666666666,0.9473684210526315,0.8846153846153846,0.0,0.0,0.7391304347826086,1.0,0.6666666666666666,0.9473684210526315,0.8846153846153846,0.0,0.0,0.7391304347826085,1.0,0.6666666666666666,0.9473684210526315
