dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.25,0.0,0.0,0.25,0.0,0.25,0.1,0.25,0.0,0.0,0.25,0.0,0.25,0.1,0.25,0.0,0.0,0.25,0.0,0.25,0.1,0.25,0.0,0.0,0.25,0.0,0.25,0.10000000000000002
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8,0.625,0.0,0.0,0.625,0.5,0.7142857142857143,0.8000000000000002
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,0.0,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,0.0,0.9393939393939394,0.0,0.0,0.96875,0.7948717948717948,0.8888888888888888,0.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.47058823529411764,0.0,0.0,0.47058823529411764,0.48,0.3684210526315789,0.37209302325581395,0.47058823529411764,0.0,0.0,0.47058823529411764,0.48,0.3684210526315789,0.37209302325581395,0.47058823529411764,0.0,0.0,0.47058823529411764,0.48,0.3684210526315789,0.37209302325581395,0.47058823529411764,0.0,0.0,0.47058823529411764,0.48,0.3684210526315789,0.3720930232558139
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,1.0,0.0,0.0,1.0,1.0,0.9375,1.0,1.0,0.0,0.0,1.0,1.0,0.9375,1.0,1.0,0.0,0.0,1.0,1.0,0.9375,1.0,1.0,0.0,0.0,1.0,1.0,0.9375,1.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.9090909090909091,0.0,0.0,0.875,1.0,0.8333333333333334,0.875,0.9090909090909091,0.0,0.0,0.875,1.0,0.8333333333333334,0.875,0.9090909090909091,0.0,0.0,0.875,1.0,0.8333333333333334,0.875,0.9090909090909091,0.0,0.0,0.875,1.0,0.8333333333333334,0.875
