dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.03754693366708386,0.0,0.0,0.03754693366708386,0.060075093867334166,0.0425531914893617,0.08886107634543179
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.0037546933667083854,0.0,0.0,0.0,0.0012515644555694619,0.0025031289111389237,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.12101910828025478,0.0,0.0,0.12101910828025478,0.03184713375796178,0.12101910828025478,0.3821656050955414
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.3184713375796178,0.0,0.0,0.3184713375796178,0.19745222929936307,0.1337579617834395,0.09554140127388536
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,0.7017543859649122,0.631578947368421,0.6432748538011696,0.26900584795321636
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,0.26900584795321636,0.19298245614035087,0.28654970760233917,0.1871345029239766
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.448,0.0,0.0,0.114,0.078,0.132,0.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.094,0.0,0.0,0.038,0.056,0.1,0.244
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.106,0.0,0.0,0.032,0.004,0.052,0.002
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.052,0.0,0.0,0.046,0.002,0.024,0.038
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,0.01084010840108401,0.0,0.0,0.008130081300813009,0.008130081300813009,0.06233062330623306,0.032520325203252036
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,0.24932249322493225,0.0,0.0,0.024390243902439025,0.07046070460704607,0.005420054200542005,0.34146341463414637
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.6,0.43902439024390244,0.0,0.0,0.006097560975609756,0.012195121951219513,0.012195121951219513,0.0975609756097561
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.8,0.49390243902439024,0.0,0.0,0.4878048780487805,0.024390243902439025,0.40853658536585363,0.3170731707317073
credit-g,./data/num_and_cat/balanced,0.764,0.6,0.22,0.0,0.0,0.004,0.008,0.004,0.0
credit-g,./data/num_and_cat/balanced,0.764,1.0,0.46,0.0,0.0,0.46,0.004,0.428,0.192
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.8,0.09375,0.0,0.0,0.0625,0.03125,0.109375,1.0
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.6,0.59375,0.0,0.0,0.020833333333333332,0.005208333333333333,0.005208333333333333,0.15104166666666666
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,0.05416666666666667,0.0,0.0,0.06666666666666667,0.008333333333333333,0.025,0.0
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,0.225,0.0,0.0,0.3125,0.0625,0.0375,0.7458333333333333
vehicle,./data/num_and_cat/balanced,0.7688679245283019,1.0,0.009433962264150943,0.0,0.0,0.16037735849056603,0.02358490566037736,0.19339622641509435,0.009433962264150943
vehicle,./data/num_and_cat/balanced,0.7688679245283019,0.6,0.07075471698113207,0.0,0.0,0.014150943396226415,0.13679245283018868,0.10377358490566038,0.05188679245283019
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,0.8260869565217391,0.0,0.0,0.024844720496894408,0.031055900621118012,0.031055900621118012,0.031055900621118012
