dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.27848101265822783,0.0,0.0,0.27848101265822783,0.20253164556962025,0.27848101265822783,0.21518987341772153
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.0379746835443038,0.0,0.0,0.0,0.012658227848101266,0.02531645569620253,0.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.26666666666666666,0.0,0.0,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.6666666666666666
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.5333333333333333,0.0,0.0,0.5333333333333333,0.8,0.4666666666666667,0.3333333333333333
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.29411764705882354
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,0.0,0.0,0.7647058823529411,0.7058823529411765,1.0,0.7058823529411765
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.66,0.0,0.0,0.64,0.78,0.72,0.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.34,0.0,0.0,0.34,0.5,0.76,0.86
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.4,0.0,0.0,0.3,0.04,0.32,0.02
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.22,0.0,0.0,0.16,0.02,0.12,0.16
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,0.05555555555555555,0.0,0.0,0.08333333333333333,0.08333333333333333,0.4444444444444444,0.2222222222222222
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,0.2777777777777778,0.0,0.0,0.1111111111111111,0.16666666666666666,0.05555555555555555,0.75
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.6,0.8125,0.0,0.0,0.0625,0.125,0.0625,0.375
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.8,0.8125,0.0,0.0,0.8125,0.125,0.8125,0.6875
credit-g,./data/num_and_cat/balanced,0.764,0.6,0.6,0.0,0.0,0.04,0.08,0.04,0.0
