dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,5.0,2.0,0.0,0.0,2.0,6.0,1.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,10.0,5.0,0.0,0.0,0.0,12.0,7.0,4.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,4.0,3.0,0.0,0.0,4.0,4.0,3.0,1.0
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,4.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,5.0,1.0,0.0,0.0,4.0,6.0,5.0,4.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,5.0,3.0,0.0,0.0,5.0,5.0,5.0,6.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,7.0,2.0,0.0,0.0,4.0,2.0,6.0,47.0
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,7.0,3.0,0.0,0.0,16.0,7.0,14.0,3.0
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,6.0,3.0,0.0,0.0,5.0,5.0,6.0,3.0
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,5.0,2.0,0.0,0.0,5.0,7.0,7.0,9.0
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.6,4.0,2.0,0.0,0.0,8.0,6.0,6.0,3.0
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.8,3.0,1.0,0.0,0.0,2.0,5.0,3.0,3.0
credit-g,./data/num_and_cat/balanced,0.764,0.6,6.0,3.0,0.0,0.0,9.0,7.0,9.0,10.0
credit-g,./data/num_and_cat/balanced,0.764,1.0,3.0,1.0,0.0,0.0,1.0,5.0,5.0,2.0
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.8,4.0,3.0,0.0,0.0,4.0,3.0,6.0,1.0
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.6,4.0,1.0,0.0,0.0,3.0,5.0,5.0,2.0
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,8.0,5.0,0.0,0.0,4.0,5.0,6.0,9.0
tic-tac-toe,./data/num_and_cat/balanced,0.875,1.0,5.0,3.0,0.0,0.0,2.0,2.0,4.0,1.0
vehicle,./data/num_and_cat/balanced,0.7688679245283019,1.0,6.0,5.0,0.0,0.0,4.0,7.0,9.0,15.0
vehicle,./data/num_and_cat/balanced,0.7688679245283019,0.6,6.0,5.0,0.0,0.0,3.0,7.0,7.0,5.0
eucalyptus,./data/num_and_cat/balanced,0.5031055900621118,0.6,7.0,1.0,0.0,0.0,4.0,5.0,7.0,3.0
