dataset,num_and_cat,model_score,instance_certainty_clf,dectree_score,ac_score_ablation,ac_score_pure,ac_score_proba,ac_score_shap,ac_score_explan,ac_score_lore,dectree_score_prec,prec_score_ablation,prec_score_pure,prec_score_proba,prec_score_shap,prec_score_explan,prec_score_lore,dectree_score_rec,rec_score_ablation,rec_score_pure,rec_score_proba,rec_score_shap,rec_score_explan,rec_score_lore,dectree_score_f1,f1_score_ablation,f1_score_pure,f1_score_proba,f1_score_shap,f1_score_explan,f1_score_lore
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,1.0,0.9620253164556962,0.9240506329113924,0,0,0.9113924050632911,0.6582278481012658,0.6708860759493671,0.9811320754716981,0.98,0,0,0.9795918367346939,0.684931506849315,1.0,0.9629629629629629,0.9074074074074074,0,0,0.8888888888888888,0.9259259259259259,0.5185185185185185,0.9719626168224299,0.9423076923076924,0,0,0.9320388349514563,0.7874015748031495,0.6829268292682926
kr-vs-kp,./data/num_and_cat/balanced,0.9286608260325406,0.6,0.9113924050632911,0.7468354430379747,0,0,0.0,0.3670886075949367,0.6962025316455697,0.8709677419354839,0.6666666666666666,0,0,0.0,0.36486486486486486,0.8,0.9,0.6666666666666666,0,0,0.0,0.9,0.26666666666666666,0.8852459016393444,0.6666666666666666,0,0,0.0,0.5192307692307692,0.4
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.4,0.4666666666666667,0.7333333333333333,0,0,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.7333333333333333,0,0,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.7333333333333333,0,0,0.6666666666666666,0.5333333333333333,0.7333333333333333,0.4666666666666667,0.7333333333333333,0,0,0.6666666666666666,0.5333333333333333,0.7333333333333333
balance-scale,./data/num_and_cat/balanced,0.821656050955414,0.6,0.8,0.7333333333333333,0,0,0.8,0.8666666666666667,0.8,0.8,0.7333333333333333,0,0,0.8,0.8666666666666667,0.8,0.8,0.7333333333333333,0,0,0.8,0.8666666666666667,0.8,0.8000000000000002,0.7333333333333333,0,0,0.8000000000000002,0.8666666666666667,0.8000000000000002
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0
breast-w,./data/num_and_cat/balanced,0.9532163742690059,1.0,0.9411764705882353,1.0,0,0,1.0,0.9411764705882353,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.9411764705882353,1.0,0,0,1.0,0.9411764705882353,1.0,0.9696969696969697,1.0,0,0,1.0,0.9696969696969697,1.0
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.96,1.0,0,0,1.0,0.84,0.94,0.96,1.0,0,0,1.0,0.84,0.94,0.96,1.0,0,0,1.0,0.84,0.94,0.96,1.0,0,0,1.0,0.8399999999999999,0.94
mfeat-morphological,./data/num_and_cat/balanced,0.724,1.0,0.8,0.78,0,0,0.64,0.7,0.5,0.8,0.78,0,0,0.64,0.7,0.5,0.8,0.78,0,0,0.64,0.7,0.5,0.8000000000000002,0.78,0,0,0.64,0.7,0.5
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.8,0.76,0.74,0,0,0.86,0.32,0.7,0.76,0.74,0,0,0.86,0.32,0.7,0.76,0.74,0,0,0.86,0.32,0.7,0.76,0.74,0,0,0.8599999999999999,0.32,0.7
mfeat-zernike,./data/num_and_cat/balanced,0.804,0.4,0.7,0.76,0,0,0.82,0.46,0.42,0.7,0.76,0,0,0.82,0.46,0.42,0.7,0.76,0,0,0.82,0.46,0.42,0.7,0.76,0,0,0.82,0.46,0.41999999999999993
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.8,0.6388888888888888,0.6944444444444444,0,0,0.5277777777777778,0.5555555555555556,0.5555555555555556,0.6388888888888888,0.6944444444444444,0,0,0.5277777777777778,0.5555555555555556,0.5555555555555556,0.6388888888888888,0.6944444444444444,0,0,0.5277777777777778,0.5555555555555556,0.5555555555555556,0.6388888888888888,0.6944444444444444,0,0,0.5277777777777778,0.5555555555555556,0.5555555555555556
cmc,./data/num_and_cat/balanced,0.5040650406504065,0.4,0.6111111111111112,0.75,0,0,0.5555555555555556,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.75,0,0,0.5555555555555556,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.75,0,0,0.5555555555555556,0.6111111111111112,0.6388888888888888,0.6111111111111112,0.75,0,0,0.5555555555555556,0.6111111111111112,0.6388888888888888
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.6,1.0,0.9375,0,0,0.9375,0.9375,1.0,1.0,1.0,0,0,1.0,0.8,1.0,1.0,0.75,0,0,0.75,1.0,1.0,1.0,0.8571428571428571,0,0,0.8571428571428571,0.888888888888889,1.0
credit-approval,./data/num_and_cat/balanced,0.8170731707317073,0.8,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0
credit-g,./data/num_and_cat/balanced,0.764,0.6,0.72,0.48,0,0,0.6,0.44,0.68,0.6,0.16666666666666666,0,0,0.4,0.3684210526315789,0.6666666666666666,0.6666666666666666,0.1111111111111111,0,0,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.631578947368421,0.13333333333333333,0,0,0.2857142857142857,0.5,0.3333333333333333
credit-g,./data/num_and_cat/balanced,0.764,1.0,0.88,0.8,0,0,0.84,0.88,0.76,0.9090909090909091,0.8636363636363636,0,0,0.8695652173913043,0.95,0.8571428571428571,0.9523809523809523,0.9047619047619048,0,0,0.9523809523809523,0.9047619047619048,0.8571428571428571,0.9302325581395349,0.8837209302325582,0,0,0.909090909090909,0.9268292682926829,0.8571428571428571
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.8,0.5789473684210527,0.6842105263157895,0,0,0.631578947368421,0.5789473684210527,0.6842105263157895,0.5384615384615384,0.6363636363636364,0,0,0.5833333333333334,0.5454545454545454,0.7142857142857143,0.7777777777777778,0.7777777777777778,0,0,0.7777777777777778,0.6666666666666666,0.5555555555555556,0.6363636363636364,0.7000000000000001,0,0,0.6666666666666666,0.6,0.6250000000000001
diabetes,./data/num_and_cat/balanced,0.6822916666666666,0.6,0.631578947368421,0.8947368421052632,0,0,0.7894736842105263,0.6842105263157895,0.6842105263157895,0.25,0.8,0,0,0.6,0.3333333333333333,0.3333333333333333,0.2,0.8,0,0,0.6,0.2,0.2,0.22222222222222224,0.8000000000000002,0,0,0.6,0.25,0.25
