dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
kr-vs-kp,./data/num_and_cat/balanced,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.25,0.4330127018922193,0.5025374420264214,0.4974625579735786,0.5625,0.4375,0.5,0.5,0.5,0.5,0.4490997349779263,0.4349753277438532,0.6428571428571428,0.3571428571428572
balance-scale,./data/num_and_cat/balanced,0.5533962068361735,0.44660379316382653,0.8333333333333333,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5400471551271301,0.4599528448728699,0.75,0.25,0.5400471551271301,0.4599528448728699,0.75,0.25,0.6067924136723469,0.39320758632765307,1.0,0.0,0.5,0.5,0.5,0.5
breast-w,./data/num_and_cat/balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.625,0.375,1.0,0.0,0.8333333333333333,0.16666666666666669,1.0,0.0,0.625,0.375
mfeat-morphological,./data/num_and_cat/balanced,1.0,0.0,0.6666666666666666,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.25,1.0,0.0,0.9166666666666667,0.08333333333333331,1.0,0.0,0.8333333333333333,0.16666666666666669,0.875,0.0,0.75,0.25
mfeat-zernike,./data/num_and_cat/balanced,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5555555555555556,0.4444444444444444,1.0,0.0,0.5,0.5,1.0,0.0,0.5263157894736842,0.4736842105263158,1.0,0.0,0.5416666666666666,0.4583333333333333
cmc,./data/num_and_cat/balanced,1.0,0.0,0.8333333333333333,0.16666666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333333,0.16666666666666669,1.0,0.0,0.8571428571428572,0.14285714285714285,1.0,0.0,0.7222222222222222,0.2777777777777778,1.0,0.0,0.7142857142857143,0.28571428571428575
credit-approval,./data/num_and_cat/balanced,0.5,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5058680257137218,0.4941319742862782,0.625,0.375,0.5088020385705827,0.49119796142941724,0.6875,0.3125,0.506964250297604,0.49303574970239605,0.6428571428571428,0.3571428571428572,0.5,0.5,0.5,0.5
credit-g,./data/num_and_cat/balanced,1.0,0.0,0.6666666666666666,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5555555555555556,0.4444444444444444,1.0,0.0,0.6,0.4,1.0,0.0,0.6363636363636364,0.36363636363636365,0.95,0.0,0.5454545454545454,0.45454545454545453
diabetes,./data/num_and_cat/balanced,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5833333333333334,0.4166666666666667,1.0,0.0,0.6666666666666666,0.33333333333333337,1.0,0.0,0.6875,0.3125,1.0,0.0,0.5,0.5
tic-tac-toe,./data/num_and_cat/balanced,1.0,0.0,0.6666666666666666,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.7,0.3,1.0,0.0,0.5555555555555556,0.4444444444444444,1.0,0.0,0.5625,0.4375
