dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.999999999804261,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9523769326878209,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997594451938582,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,0.0,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,0.0,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999996812152,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9994353849967786,1.0,0.0,0.0,1.0,0.9259259259259259,1.0,,1.0,0.0,0.0,1.0,0.9259259259259259,1.0,0.0,1.0,0.0,0.0,1.0,0.9259259259259259,1.0,0.0,1.0,0.0,0.0,1.0,0.9259259259259259,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999344065695503,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999996729545,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9993871565204593,0.9375,0.0,0.0,1.0,1.0,0.9375,0.625,0.9375,0.0,0.0,1.0,1.0,0.9375,0.625,0.9375,0.0,0.0,1.0,1.0,0.9375,0.625,0.9375,0.0,0.0,1.0,1.0,0.9375,0.625
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999999654522,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9768730321685449,1.0,0.0,0.0,1.0,0.72,1.0,,1.0,0.0,0.0,1.0,0.72,1.0,0.0,1.0,0.0,0.0,1.0,0.72,1.0,0.0,1.0,0.0,0.0,1.0,0.72,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999705161957297,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999952975430906,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9416352791547002,0.0,0.0,0.0,0.9473684210526315,1.0,0.9473684210526315,,0.0,0.0,0.0,0.9473684210526315,1.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.9473684210526315,1.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.9473684210526315,1.0,0.9473684210526315,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9998777880086173,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999993002445019,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999129249089973,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9833163171863234,0.9285714285714286,0.0,0.0,0.9736842105263158,0.9090909090909091,0.9642857142857143,,0.9285714285714286,0.0,0.0,0.9736842105263158,0.9090909090909091,0.9642857142857143,0.0,0.9285714285714286,0.0,0.0,0.9736842105263158,0.9090909090909091,0.9642857142857143,0.0,0.9285714285714286,0.0,0.0,0.9736842105263158,0.9090909090909091,0.9642857142857143,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999286280168,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9992269382930323,1.0,0.0,0.0,1.0,0.8620689655172413,1.0,,1.0,0.0,0.0,1.0,0.8620689655172413,1.0,0.0,1.0,0.0,0.0,1.0,0.8620689655172413,1.0,0.0,1.0,0.0,0.0,1.0,0.8620689655172413,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997237288477719,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999980741498432,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0,1.0,1.0,1.0,0.8571428571428571
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.989010136673903,1.0,0.0,0.0,1.0,0.8333333333333334,0.8095238095238095,,1.0,0.0,0.0,1.0,0.8333333333333334,0.8095238095238095,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,0.8095238095238095,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,0.8095238095238095,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999811483937756,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999998941017408,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999987424246141,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9868456564741569,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999898267286605,0.9772727272727273,0.0,0.0,1.0,1.0,0.9772727272727273,,0.9772727272727273,0.0,0.0,1.0,1.0,0.9772727272727273,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,0.9772727272727273,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,0.9772727272727273,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9987369349352619,1.0,0.0,0.0,1.0,1.0,0.9148936170212766,,1.0,0.0,0.0,1.0,1.0,0.9148936170212766,0.0,1.0,0.0,0.0,1.0,1.0,0.9148936170212766,0.0,1.0,0.0,0.0,1.0,1.0,0.9148936170212766,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999168561034776,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9983377398603007,1.0,0.0,0.0,1.0,1.0,1.0,0.65625,1.0,0.0,0.0,1.0,1.0,1.0,0.65625,1.0,0.0,0.0,1.0,1.0,1.0,0.65625,1.0,0.0,0.0,1.0,1.0,1.0,0.65625
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999948609659209,1.0,0.0,0.0,1.0,0.8181818181818182,1.0,0.8148148148148148,1.0,0.0,0.0,1.0,0.8181818181818182,1.0,0.8148148148148148,1.0,0.0,0.0,1.0,0.8181818181818182,1.0,0.8148148148148148,1.0,0.0,0.0,1.0,0.8181818181818182,1.0,0.8148148148148148
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999937264415542,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999850428691537,1.0,0.0,0.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,0.9333333333333333
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999702486923383,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.999119990728505,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.0,0.0,1.0,1.0,1.0,0.25
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997754671314615,1.0,0.0,0.0,1.0,1.0,1.0,0.967741935483871,1.0,0.0,0.0,1.0,1.0,1.0,0.967741935483871,1.0,0.0,0.0,1.0,1.0,1.0,0.967741935483871,1.0,0.0,0.0,1.0,1.0,1.0,0.967741935483871
