dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.999999999804261,5.0,3.0,0.0,0.0,3.0,5.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9523769326878209,5.0,3.0,0.0,0.0,6.0,5.0,7.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9997594451938582,2.0,2.0,0.0,0.0,3.0,1.0,3.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999996812152,2.0,2.0,0.0,0.0,2.0,2.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9994353849967786,6.0,3.0,0.0,0.0,4.0,5.0,4.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999344065695503,2.0,2.0,0.0,0.0,3.0,2.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999996729545,2.0,1.0,0.0,0.0,2.0,5.0,2.0,33.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9993871565204593,9.0,3.0,0.0,0.0,3.0,4.0,5.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999999654522,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9768730321685449,6.0,3.0,0.0,0.0,4.0,5.0,7.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999705161957297,5.0,3.0,0.0,0.0,2.0,5.0,5.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999952975430906,2.0,2.0,0.0,0.0,2.0,5.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9416352791547002,11.0,6.0,0.0,0.0,7.0,9.0,9.0,32.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9998777880086173,5.0,3.0,0.0,0.0,3.0,4.0,5.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999993002445019,1.0,1.0,0.0,0.0,1.0,1.0,1.0,9.0
