dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999806421583,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9787985753141186,1.0,0.0,0.0,1.0,1.0,1.0,0.9629629629629629,1.0,0.0,0.0,1.0,1.0,1.0,0.9629629629629629,1.0,0.0,0.0,1.0,1.0,1.0,0.9629629629629629,1.0,0.0,0.0,1.0,1.0,1.0,0.9629629629629629
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999266455623175,1.0,0.0,0.0,1.0,0.775,1.0,,1.0,0.0,0.0,1.0,0.775,1.0,0.0,1.0,0.0,0.0,1.0,0.775,1.0,0.0,1.0,0.0,0.0,1.0,0.775,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999999820979,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9991988094497736,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999832963025093,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999999867382,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9985980028806143,0.9375,0.0,0.0,1.0,1.0,0.9375,,0.9375,0.0,0.0,1.0,1.0,0.9375,0.0,0.9375,0.0,0.0,1.0,1.0,0.9375,0.0,0.9375,0.0,0.0,1.0,1.0,0.9375,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9999999999159707,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.9806691195671019,1.0,0.0,0.0,1.0,0.7222222222222222,1.0,,1.0,0.0,0.0,1.0,0.7222222222222222,1.0,0.0,1.0,0.0,0.0,1.0,0.7222222222222222,1.0,0.0,1.0,0.0,0.0,1.0,0.7222222222222222,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.9912390488110138,0.999975627443578,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0,1.0,0.0,0.0,1.0,1.0,0.9487179487179487,0.0
