dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
yeast,mlp-nosuite,0.6145552560646901,0.6780052425850239,4.0,4.0,0.0,0.0,6.0,,7.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.8531615381686967,5.0,2.0,0.0,0.0,5.0,,3.0,3.0
yeast,mlp-nosuite,0.6145552560646901,0.8126741606934684,5.0,2.0,0.0,0.0,4.0,6.0,4.0,4.0
yeast,mlp-nosuite,0.6145552560646901,0.7591371208071217,3.0,1.0,0.0,0.0,5.0,,6.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.8422697820980388,6.0,1.0,0.0,0.0,3.0,,3.0,5.0
yeast,mlp-nosuite,0.6145552560646901,0.5711574748886487,4.0,2.0,0.0,0.0,4.0,,6.0,2.0
yeast,mlp-nosuite,0.6145552560646901,0.7050179764938338,6.0,3.0,0.0,0.0,4.0,,7.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.6334028371688032,5.0,3.0,0.0,0.0,5.0,,6.0,4.0
yeast,mlp-nosuite,0.6145552560646901,0.6318918687370366,5.0,2.0,0.0,0.0,5.0,,7.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.5997247662892797,7.0,3.0,0.0,0.0,6.0,,7.0,5.0
yeast,mlp-nosuite,0.6145552560646901,0.967692652263809,3.0,1.0,0.0,0.0,5.0,,2.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.6883692377997135,6.0,2.0,0.0,0.0,5.0,,5.0,6.0
yeast,mlp-nosuite,0.6145552560646901,0.6317443243900134,5.0,4.0,0.0,0.0,5.0,,6.0,3.0
yeast,mlp-nosuite,0.6145552560646901,0.658642626745885,7.0,2.0,0.0,0.0,5.0,,6.0,4.0
yeast,mlp-nosuite,0.6145552560646901,0.7807822288059009,3.0,1.0,0.0,0.0,5.0,,6.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.5055049635190281,5.0,4.0,0.0,0.0,5.0,,5.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.6614997681358712,4.0,3.0,0.0,0.0,4.0,,5.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.6121005214777924,6.0,4.0,0.0,0.0,4.0,,6.0,8.0
yeast,mlp-nosuite,0.6145552560646901,0.530153052101201,4.0,4.0,0.0,0.0,6.0,,6.0,8.0
