dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
yeast,mlp-nosuite,0.6172506738544474,0.7059430427120151,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.854184224069063,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7687061589797701,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.8153871353725672,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8517713481033629,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.4910007150414382,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.6965870220668589,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6082230414329826,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.5307691251774221,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5898136535651094,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.9769920903358666,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6550089218997267,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.652156417544897,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.590686225478177,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8068372530401193,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.48720428480289174,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7066654959328711,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6383887042040087,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5399032225517664,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6402846894575331,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8270420607641638,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.9559665576072347,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7985630197835285,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.6227046815327231,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5224487399404436,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.3891855150835529,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5911790368740227,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.629670593848274,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.5658438576331523,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7187024376961156,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5913711080016002,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5682644820982953,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.5213467113424698,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5031306686464653,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5884111482706388,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7866950662633221,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.5447268803985967,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8144204226766092,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8891864317831109,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.28133881938989935,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6859127235089117,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.6731378428486091,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.35038552062983414,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6058491647689342,0.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.9422417409954973,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7328804053498051,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.3486443412971777,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6434217995854417,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.7272889805060853,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8009345249963874,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7059430427120151,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.854184224069063,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7687061589797701,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.8153871353725672,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8517713481033629,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.4910007150414382,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.6965870220668589,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6082230414329826,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.5307691251774221,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5898136535651094,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.9769920903358666,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6550089218997267,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.652156417544897,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.590686225478177,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8068372530401193,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.48720428480289174,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7066654959328711,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6383887042040087,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5399032225517664,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.6402846894575331,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.8270420607641638,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.9559665576072347,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7985630197835285,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.6227046815327231,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5224487399404436,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.3891855150835529,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,mlp-nosuite,0.6172506738544474,0.5911790368740227,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.629670593848274,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.5658438576331523,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,mlp-nosuite,0.6172506738544474,0.7187024376961156,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
