dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,mlp-nosuite,0.4256463389155163,0.2358851519445148,0.33024,0.2600721869020215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742924839825278,0.20217265641321813,0.5420838095238095,0.20537281106494246,0.0071810699588477364,0.04190482247353467,0.001257142857142857,0.032552174760415824,0.450387669482146,0.2173339907484467,0.5333247619047619,0.19645312093401965,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.4256463389155163,0.2358851519445148,0.33024,0.2600721869020215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742924839825278,0.20217265641321813,0.5420838095238095,0.20537281106494246,0.0071810699588477364,0.04190482247353467,0.001257142857142857,0.032552174760415824,0.450387669482146,0.2173339907484467,0.5333247619047619,0.19645312093401965,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.2114201651553517,0.3011272528462219,0.3272,0.398171018533494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25254825895156724,0.31481916752001243,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0,0.28949418479740524,0.311905723111462,0.6348,0.32684699784455723,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.4256463389155163,0.2358851519445148,0.33024,0.2600721869020215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742924839825278,0.20217265641321813,0.5420838095238095,0.20537281106494246,0.0071810699588477364,0.04190482247353467,0.001257142857142857,0.032552174760415824,0.450387669482146,0.2173339907484467,0.5333247619047619,0.19645312093401965,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.2114201651553517,0.3011272528462219,0.3272,0.398171018533494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25254825895156724,0.31481916752001243,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0,0.28949418479740524,0.311905723111462,0.6348,0.32684699784455723,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1795580577424185,0.2297510822343793,0.5645333333333334,0.3200380255184964,0.1501739606278498,0.2064010362785314,0.6418666666666666,0.26856917999734153,0.23310368080498545,0.21402550942253482,0.8054666666666666,0.203936547866133,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.4256463389155163,0.2358851519445148,0.33024,0.2600721869020215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742924839825278,0.20217265641321813,0.5420838095238095,0.20537281106494246,0.0071810699588477364,0.04190482247353467,0.001257142857142857,0.032552174760415824,0.450387669482146,0.2173339907484467,0.5333247619047619,0.19645312093401965,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.2114201651553517,0.3011272528462219,0.3272,0.398171018533494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25254825895156724,0.31481916752001243,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0,0.28949418479740524,0.311905723111462,0.6348,0.32684699784455723,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1795580577424185,0.2297510822343793,0.5645333333333334,0.3200380255184964,0.1501739606278498,0.2064010362785314,0.6418666666666666,0.26856917999734153,0.23310368080498545,0.21402550942253482,0.8054666666666666,0.203936547866133,0.0,0.0,0.0,0.0
volcanoes-a2,mlp-nosuite,0.4199807667854664,0.09562614022123822,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226826121655983,0.22502851786323735,0.7712,0.3774851049305713,0.5248402880241327,0.19239436780271862,0.6976,0.26233739090466435,0.47163786641012256,0.1895245255709877,0.3076,0.4509792012942504,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.4256463389155163,0.2358851519445148,0.33024,0.2600721869020215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742924839825278,0.20217265641321813,0.5420838095238095,0.20537281106494246,0.0071810699588477364,0.04190482247353467,0.001257142857142857,0.032552174760415824,0.450387669482146,0.2173339907484467,0.5333247619047619,0.19645312093401965,0.0,0.0,0.0,0.0
rmftsa,mlp-nosuite,0.2114201651553517,0.3011272528462219,0.3272,0.398171018533494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25254825895156724,0.31481916752001243,0.6872,0.3081495740707749,0.0,0.0,0.0,0.0,0.28949418479740524,0.311905723111462,0.6348,0.32684699784455723,0.0,0.0,0.0,0.0
banknote-authentication,mlp-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1795580577424185,0.2297510822343793,0.5645333333333334,0.3200380255184964,0.1501739606278498,0.2064010362785314,0.6418666666666666,0.26856917999734153,0.23310368080498545,0.21402550942253482,0.8054666666666666,0.203936547866133,0.0,0.0,0.0,0.0
volcanoes-a2,mlp-nosuite,0.4199807667854664,0.09562614022123822,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226826121655983,0.22502851786323735,0.7712,0.3774851049305713,0.5248402880241327,0.19239436780271862,0.6976,0.26233739090466435,0.47163786641012256,0.1895245255709877,0.3076,0.4509792012942504,0.0,0.0,0.0,0.0
volcanoes-a3,mlp-nosuite,0.5036963653365945,0.03375905049886492,0.0164,0.12273700881695518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6692856812000889,0.07703199713778482,0.9354666666666666,0.22728323983767723,0.6009685608277687,0.08261783268556014,0.6370666666666666,0.29479080341451935,0.5685348342903989,0.10009342587570633,0.3684,0.4768103466438901,0.0,0.0,0.0,0.0
yeast,mlp-nosuite,0.4256463389155163,0.2358851519445148,0.33024,0.2600721869020215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4742924839825278,0.20217265641321813,0.5420838095238095,0.20537281106494246,0.0071810699588477364,0.04190482247353467,0.001257142857142857,0.032552174760415824,0.450387669482146,0.2173339907484467,0.5333247619047619,0.19645312093401965,0.0,0.0,0.0,0.0
