dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
yeast,./data/numerical_only/balanced,0.6199460916442049,0.6159443977723928,0.0,0.0,0.0,0.7777777777777778,,1.0,0.4594594594594595,0.0,0.0,0.0,0.7777777777777778,,1.0,0.4594594594594595,0.0,0.0,0.0,0.7777777777777778,,1.0,0.4594594594594595,0.0,0.0,0.0,0.7777777777777778,,1.0,0.4594594594594595
yeast,./data/numerical_only/balanced,0.6199460916442049,0.8250250539742421,0.6666666666666666,0.0,0.0,0.6086956521739131,,0.6388888888888888,0.6486486486486487,0.6666666666666666,0.0,0.0,0.6086956521739131,,0.6388888888888888,0.6486486486486487,0.6666666666666666,0.0,0.0,0.6086956521739131,,0.6388888888888888,0.6486486486486487,0.6666666666666666,0.0,0.0,0.6086956521739131,,0.6388888888888888,0.6486486486486487
yeast,./data/numerical_only/balanced,0.6199460916442049,0.7973071640762602,0.7058823529411765,0.0,0.0,0.6666666666666666,,0.5294117647058824,0.5675675675675675,0.7058823529411765,0.0,0.0,0.6666666666666666,,0.5294117647058824,0.5675675675675675,0.7058823529411765,0.0,0.0,0.6666666666666666,,0.5294117647058824,0.5675675675675675,0.7058823529411765,0.0,0.0,0.6666666666666666,,0.5294117647058824,0.5675675675675675
yeast,./data/numerical_only/balanced,0.6199460916442049,0.8152199772725199,0.8333333333333334,0.0,0.0,0.0,,0.8333333333333334,0.40540540540540543,0.8333333333333334,0.0,0.0,0.0,,0.8333333333333334,0.40540540540540543,0.8333333333333334,0.0,0.0,0.0,,0.8333333333333334,0.40540540540540543,0.8333333333333334,0.0,0.0,0.0,,0.8333333333333334,0.40540540540540543
yeast,./data/numerical_only/balanced,0.6199460916442049,0.8682135999399115,0.6875,0.0,0.0,0.8888888888888888,,0.7857142857142857,0.5945945945945946,0.6875,0.0,0.0,0.8888888888888888,,0.7857142857142857,0.5945945945945946,0.6875,0.0,0.0,0.8888888888888888,,0.7857142857142857,0.5945945945945946,0.6875,0.0,0.0,0.8888888888888888,,0.7857142857142857,0.5945945945945946
yeast,./data/numerical_only/balanced,0.6199460916442049,0.5445753778092669,0.75,0.0,0.0,0.2857142857142857,,0.8333333333333334,0.4864864864864865,0.75,0.0,0.0,0.2857142857142857,,0.8333333333333334,0.4864864864864865,0.75,0.0,0.0,0.2857142857142857,,0.8333333333333334,0.4864864864864865,0.75,0.0,0.0,0.2857142857142857,,0.8333333333333334,0.4864864864864865
yeast,./data/numerical_only/balanced,0.6199460916442049,0.7244654908135044,0.6071428571428571,0.0,0.0,0.75,,0.6538461538461539,0.4594594594594595,0.6071428571428571,0.0,0.0,0.75,,0.6538461538461539,0.4594594594594595,0.6071428571428571,0.0,0.0,0.75,,0.6538461538461539,0.4594594594594595,0.6071428571428571,0.0,0.0,0.75,,0.6538461538461539,0.4594594594594595
yeast,./data/numerical_only/balanced,0.6199460916442049,0.5921854212424509,0.3,0.0,0.0,0.0,,0.3,0.2972972972972973,0.3,0.0,0.0,0.0,,0.3,0.2972972972972973,0.3,0.0,0.0,0.0,,0.3,0.2972972972972973,0.3,0.0,0.0,0.0,,0.3,0.2972972972972973
yeast,./data/numerical_only/balanced,0.6199460916442049,0.583264425971437,0.5,0.0,0.0,0.6,,0.6666666666666666,0.43243243243243246,0.5,0.0,0.0,0.6,,0.6666666666666666,0.43243243243243246,0.5,0.0,0.0,0.6,,0.6666666666666666,0.43243243243243246,0.5,0.0,0.0,0.6,,0.6666666666666666,0.43243243243243246
yeast,./data/numerical_only/balanced,0.6199460916442049,0.6678515535326774,0.8064516129032258,0.0,0.0,0.8275862068965517,,0.7307692307692307,0.7837837837837838,0.8064516129032258,0.0,0.0,0.8275862068965517,,0.7307692307692307,0.7837837837837838,0.8064516129032258,0.0,0.0,0.8275862068965517,,0.7307692307692307,0.7837837837837838,0.8064516129032258,0.0,0.0,0.8275862068965517,,0.7307692307692306,0.7837837837837838
