dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,./data/numerical_only/balanced,0.4243588221537169,0.24488936894592664,0.35083912037037035,0.26096750994592105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41069694597843504,0.22331819250810736,0.4692098627645503,0.22983650517257082,0.0,0.0,0.0,0.0,0.4501750382586174,0.2319794947124214,0.5345548115079365,0.19342016551926028,0.0,0.0,0.0,0.0
rmftsa,./data/numerical_only/balanced,0.225364342476429,0.29748975490246315,0.2756,0.3800587323033112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33136709787398266,0.32327021334816736,0.6732,0.31337160050010915,0.0,0.0,0.0,0.0,0.3099278237075031,0.3414738790956348,0.6544,0.3183718580528122,0.0,0.0,0.0,0.0
banknote-authentication,./data/numerical_only/balanced,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16299701459013113,0.22438275475949243,0.5018666666666666,0.2983042145938345,0.12604908579755417,0.20359361459235714,0.5961333333333333,0.2797271368872014,0.23112871335032115,0.21492345093411996,0.7932,0.20723144334562532,0.0,0.0,0.0,0.0
volcanoes-a2,./data/numerical_only/balanced,0.4199808526460064,0.09562676628673512,0.0048,0.06306314296005235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42084486021920237,0.26973546216420646,0.4282666666666667,0.4831941132827583,0.41338122263311006,0.296467310175474,0.6264,0.3509364234919672,0.4174710528623662,0.18061173100978928,0.12626666666666667,0.32292251564595353,0.0,0.0,0.0,0.0
volcanoes-a3,./data/numerical_only/balanced,0.5036987049761674,0.03377510209335065,0.0164,0.12273700881695518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6766782271543128,0.0698832432627511,0.9804,0.09703525132651536,0.6011108338134363,0.08181658558060449,0.6345333333333332,0.2882335164410968,0.5566967181242414,0.09676438995546707,0.2992,0.4526360127077827,0.0,0.0,0.0,0.0
volcanoes-a4,./data/numerical_only/balanced,0.654423373585629,0.07834470518839563,0.01813333333333333,0.12139954237512138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7101168436767649,0.1288308404529627,0.6645333333333334,0.421789710637896,0.6943254579998113,0.12209112611346798,0.6333333333333334,0.25595138427269953,0.671505817081425,0.12127775346785472,0.25533333333333336,0.4108587213250911,0.0,0.0,0.0,0.0
volcanoes-e1,./data/numerical_only/balanced,0.0004,0.019995999599919982,0.0004,0.019995999599919982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26181959066967886,0.20839658532745048,0.7056,0.45577257486601797,0.0,0.0,0.0,0.0,0.001975889601675813,0.038327513182415646,0.0036,0.05989190262464534,0.0,0.0,0.0,0.0
volcanoes-e2,./data/numerical_only/balanced,0.0010852581896162066,0.030008957131009494,0.0016,0.03996798718974975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11016142504815211,0.18883804559341724,0.3028,0.45355502422528626,0.0,0.0,0.0,0.0,0.0004,0.019995999599919982,0.0004,0.019995999599919982,0.0,0.0,0.0,0.0
volcanoes-e3,./data/numerical_only/balanced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31294936128342965,0.1980943891364341,0.8063306955435235,0.39517275332165946,0.0,0.0,0.0,0.0,0.00041649312786339027,0.020403912892821143,0.00041649312786339027,0.020403912892821143,0.0,0.0,0.0,0.0
volcanoes-e4,./data/numerical_only/balanced,0.0014647076816774476,0.0358464384043558,0.0028,0.04890971273683786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2554882868171615,0.20785381481196757,0.7056,0.45577257486601797,0.0,0.0,0.0,0.0,0.004188345685305696,0.05557528710353087,0.0072,0.08454679177828099,0.0,0.0,0.0,0.0
volcanoes-e5,./data/numerical_only/balanced,0.0023794874119231766,0.04623656496879496,0.003780718336483932,0.061371202573716165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06958223310822392,0.15983439321740253,0.19896030245746693,0.39325462817733664,0.0,0.0,0.0,0.0,0.005649947899377039,0.06692261981443244,0.008979206049149339,0.09433228454710646,0.0,0.0,0.0,0.0
wine-quality-red,./data/numerical_only/balanced,0.11947662053474657,0.2585182449899958,0.36417746031746034,0.2507937638072882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14364752320228005,0.24750742311236643,0.4364124675324675,0.194936604263271,0.11236732994312638,0.24307943975235358,0.40520187590187584,0.2401312372161026,0.15006909760881595,0.24732035133878913,0.4498943434343434,0.1746932482317108,0.0,0.0,0.0,0.0
maternal,./data/numerical_only/balanced,0.14489680208690361,0.2847604108218343,0.21204,0.29727005036573134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16095728758232009,0.2655245206512627,0.4529066666666667,0.2264420361446464,0.1611406033017292,0.24549117754774508,0.58292,0.22439163739616802,0.19670702687994546,0.2501147736430094,0.5661866666666667,0.2287244646099562,0.0,0.0,0.0,0.0
