dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999645724432,1.0,0.0,0.0,1.0,0.6164383561643836,1.0,,1.0,0.0,0.0,1.0,0.6164383561643836,1.0,0.0,1.0,0.0,0.0,1.0,0.6164383561643836,1.0,0.0,1.0,0.0,0.0,1.0,0.6164383561643836,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9701687176550575,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9997095350887656,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999997633506,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9989153939563388,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999479038406024,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999786016,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9995453460980233,0.9375,0.0,0.0,1.0,1.0,0.9375,,0.9375,0.0,0.0,1.0,1.0,0.9375,0.0,0.9375,0.0,0.0,1.0,1.0,0.9375,0.0,0.9375,0.0,0.0,1.0,1.0,0.9375,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999971246,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9808045470258815,1.0,0.0,0.0,1.0,0.7741935483870968,1.0,,1.0,0.0,0.0,1.0,0.7741935483870968,1.0,0.0,1.0,0.0,0.0,1.0,0.7741935483870968,1.0,0.0,1.0,0.0,0.0,1.0,0.7741935483870968,1.0,0.0
