dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999645724432,5.0,3.0,0.0,0.0,1.0,3.0,2.0,7.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9701687176550575,5.0,3.0,0.0,0.0,8.0,5.0,7.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9997095350887656,2.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999997633506,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9989153939563388,6.0,3.0,0.0,0.0,4.0,8.0,6.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999479038406024,2.0,2.0,0.0,0.0,2.0,1.0,2.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999786016,2.0,1.0,0.0,0.0,2.0,5.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9995453460980233,9.0,3.0,0.0,0.0,3.0,4.0,8.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999999971246,1.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9808045470258815,6.0,3.0,0.0,0.0,4.0,5.0,5.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999874130649893,5.0,3.0,0.0,0.0,3.0,3.0,7.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999996568587834,2.0,2.0,0.0,0.0,2.0,3.0,2.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9698166556055622,11.0,6.0,0.0,0.0,7.0,10.0,9.0,13.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9998535498127521,5.0,3.0,0.0,0.0,4.0,3.0,6.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999999938904612,1.0,1.0,0.0,0.0,1.0,1.0,2.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999889780060763,1.0,1.0,0.0,0.0,2.0,1.0,2.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9804378985579575,11.0,6.0,0.0,0.0,6.0,7.0,7.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999998985905595,2.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9997420491047312,6.0,3.0,0.0,0.0,4.0,5.0,4.0,12.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9984508495236932,1.0,1.0,0.0,0.0,3.0,4.0,4.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999998969630244,1.0,1.0,0.0,0.0,1.0,3.0,1.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9668005152358762,11.0,8.0,0.0,0.0,8.0,10.0,11.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999989513855434,9.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999999610640593,2.0,2.0,0.0,0.0,2.0,2.0,2.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999976817625071,9.0,3.0,0.0,0.0,2.0,3.0,5.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9896071286600304,9.0,4.0,0.0,0.0,5.0,5.0,8.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999939654766336,5.0,3.0,0.0,0.0,3.0,4.0,4.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9989989534442716,9.0,4.0,0.0,0.0,3.0,4.0,5.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9998245056041265,4.0,3.0,0.0,0.0,4.0,5.0,4.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9991438736684206,9.0,3.0,0.0,0.0,3.0,3.0,8.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999966641581067,5.0,2.0,0.0,0.0,3.0,4.0,4.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999782079037165,5.0,3.0,0.0,0.0,3.0,4.0,3.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999728677812669,1.0,1.0,0.0,0.0,1.0,3.0,3.0,9.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999620719088652,9.0,2.0,0.0,0.0,1.0,11.0,1.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9990060252841287,1.0,1.0,0.0,0.0,2.0,2.0,2.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9998171667411556,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9987327502507252,1.0,1.0,0.0,0.0,2.0,1.0,1.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999941392536267,4.0,3.0,0.0,0.0,3.0,5.0,3.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999997484938392,2.0,2.0,0.0,0.0,3.0,3.0,2.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9717345343972583,9.0,4.0,0.0,0.0,4.0,4.0,6.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.9999989109150867,5.0,3.0,0.0,0.0,3.0,3.0,4.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9899874843554443,0.999935143411337,6.0,3.0,0.0,0.0,3.0,8.0,3.0,4.0
