dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
  -1.31591183  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108 -4.05764474  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915  -8.18535277  0.21081851
   0.46340829 -4.15485946  0.78159267 -0.76969248  1.65999448 -0.57253291]]","{'f_31': ['<-1.9570887610316277'], 'f_20': ['>=-0.8210033923387527'], 'f_1': ['>=-1.6792986541986465']}",{},{},{'f_28': ['<-5.590197801589966']},"{'f_20': ['>=0.4725387990474701'], 'f_15': ['== 0.22652988649112907'], 'f_21': ['>=0.48687854409217834']}","{'f_20': ['>=-1.840881586074829'], 'f_28': ['<-2.1185742020606995']}","{'f_34': ['>-0.60'], 'f_5': ['>-1.08'], 'f_6': ['<=-1.32'], 'f_14': ['<=-0.15'], 'f_23': ['>-1.27'], 'f_9': ['>-1.51'], 'f_4': ['>-1.41']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
  -1.31591183  0.52763624  0.78367175  0.66060918 -1.14787694 -2.91751688
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643  -2.37291074  0.47284613  0.50039108 -4.05764474 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267  1.29922018  1.65999448 -0.57253291]]","{'f_9': ['>=-0.4265725910663605'], 'f_32': ['>=-0.24892309308052063'], 'f_5': ['<-0.07783165574073792']}",{},{},"{'f_14': ['>=-1.9381977915763855'], 'f_5': ['<-0.21316532790660858'], 'f_0': ['<2.4303148984909058'], 'f_16': ['<4.8851318359375'], 'f_22': ['>=-7.534027576446533'], 'f_31': ['>=-1.9570887088775635'], 'f_9': ['>=0.540315568447113'], 'f_32': ['>=-0.09038219600915909']}","{'f_14': ['>=-2.3260819911956787'], 'f_5': ['<0.8570151925086975'], 'f_20': ['>=0.4563833475112915'], 'f_9': ['>=-0.4265725910663605'], 'f_32': ['>=-1.118521124124527']}","{'f_9': ['>=-0.5967663954943419'], 'f_14': ['>=-1.9025714993476868'], 'f_5': ['<0.26198436319828033'], 'f_28': ['>=-1.7447382807731628'], 'f_20': ['<1.037969559431076'], 'f_11': ['<0.21506457403302193'], 'f_32': ['>=0.4813661128282547']}","{'f_32': ['>-1.28 ', ' <= 0.78'], 'f_9': ['>-1.51'], 'f_5': ['<=-1.08'], 'f_15': ['<=0.23'], 'f_24': ['<=0.06'], 'f_30': ['<=0.46'], 'f_25': ['<=1.50'], 'f_20': ['<=0.47'], 'f_7': ['<=0.53'], 'f_1': ['<=0.28'], 'f_34': ['<=1.66'], 'f_16': ['<=0.18'], 'f_0': ['<=0.35'], 'f_28': ['<=0.12'], 'f_12': ['<=0.67'], 'f_31': ['<=0.24'], 'f_4': ['<=0.71'], 'f_19': ['<=0.42'], 'f_21': ['<=0.50'], 'f_11': ['<=0.34'], 'f_8': ['<=0.78'], 'f_17': ['<=1.48'], 'f_33': ['<=1.30']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
  -1.31591183  0.52763624  0.78367175 -1.51375431  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_9': ['<-1.1890116930007935'], 'f_20': ['>= 0.6311679981752859 * f_32+-0.7679976069712902']}","{'f_9': ['== -1.5137543100601094'], 'f_20': ['== 0.4728461281954939']}","{'f_9': ['<-0.4677091985940933'], 'f_20': ['>=-0.16056795790791512']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_25': ['<=-0.67'], 'f_14': ['<=-0.15'], 'f_4': ['>-1.41']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248  1.65999448 -0.57253291]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_20': ['>=-0.8210033923387527'], 'f_32': ['<-0.08155392855405807']}","{'f_14': ['<1.9844632148742676'], 'f_20': ['== 0.4728461281954939'], 'f_6': ['<0.7575841546058655'], 'f_32': ['<0.3452707752585411']}","{'f_9': ['<-0.1343698725104332'], 'f_20': ['>=-0.5904877185821533']}","{'f_9': ['<=-1.51'], 'f_33': ['<=-0.77'], 'f_6': ['<=-1.32'], 'f_34': ['>-0.60']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108 -4.05764474  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248 -0.60241164 -0.57253291]]","{'f_20': ['>=-0.8210033923387527'], 'f_32': ['<-0.24892309308052063'], 'f_33': ['<0.26476386189460754']}",{},{},"{'f_20': ['>=-0.8210033923387527'], 'f_22': ['< -9.041788753248452 * f_9+12.819207631240987'], 'f_32': ['<-1.0144490599632263'], 'f_33': ['<1.1957745552062988']}","{'f_14': ['<0.9513358622789383'], 'f_17': ['<0.4035385251045227'], 'f_0': ['== 0.3546103537603051'], 'f_20': ['>=-0.4524626284837723'], 'f_6': ['>=-0.2779912054538727'], 'f_9': ['>=-1.4873184561729431'], 'f_32': ['<-1.241948664188385'], 'f_33': ['<-0.7548485100269318']}","{'f_11': ['>=-2.5471582412719727'], 'f_0': ['>=-2.2476688623428345'], 'f_20': ['>=-0.8630254566669464'], 'f_9': ['<2.4221741557121277'], 'f_32': ['<-0.5935954451560974'], 'f_33': ['<1.26138436794281']}","{'f_32': ['<=-1.28'], 'f_12': ['<=-1.49'], 'f_9': ['>-1.51 ', ' <= 0.66'], 'f_33': ['<=-0.77'], 'f_23': ['>-1.27 ', ' <= 0.79'], 'f_5': ['<=-1.08'], 'f_16': ['<=0.18'], 'f_18': ['<=0.09'], 'f_28': ['<=0.12'], 'f_14': ['<=-0.15'], 'f_22': ['<=0.25'], 'f_17': ['<=-0.67'], 'f_8': ['<=0.78'], 'f_31': ['<=0.24'], 'f_21': ['<=0.50'], 'f_2': ['<=0.20'], 'f_25': ['<=1.50'], 'f_26': ['<=0.24'], 'f_13': ['<=0.07']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267  1.29922018 -0.60241164  1.74662448]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_9': ['<-0.9950719177722931'], 'f_20': ['>= 0.48135141506009244 * f_32+-0.8304866870098809']}",{'f_9': ['== -1.5137543100601094']},"{'f_9': ['<-0.10847741365432739'], 'f_20': ['>=-0.562032163143158']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_12': ['<=-1.49'], 'f_1': ['<=0.28'], 'f_17': ['<=-0.67'], 'f_33': ['>-0.77 ', ' <= 1.30'], 'f_16': ['<=0.18'], 'f_8': ['<=-1.28'], 'f_14': ['<=-0.15'], 'f_4': ['<=-1.41'], 'f_28': ['<=0.12'], 'f_3': ['<=0.33'], 'f_31': ['<=0.24'], 'f_5': ['<=0.93'], 'f_26': ['<=0.24'], 'f_32': ['<=0.78'], 'f_22': ['<=0.25'], 'f_13': ['<=0.07'], 'f_2': ['<=0.20'], 'f_20': ['<=0.47'], 'f_10': ['<=0.87']}"
kr-vs-kp,./data/numerical_only/balanced,"[[-2.81999662  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949 -0.15348587 -4.41442856  0.17691925 -0.67481361
   0.0905643  -2.37291074  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882  1.29922018  1.65999448 -0.57253291]]",{'f_9': ['<-0.4265725910663605']},{},{},"{'f_20': ['>=0.24599216785281897'], 'f_32': ['<0.6908848881721497']}","{'f_15': ['<-2.0939494147896767'], 'f_14': ['<0.9513358622789383'], 'f_1': ['>=-1.6792986541986465'], 'f_20': ['>=0.424201563000679'], 'f_21': ['>=0.47432687878608704']}","{'f_20': ['>=-1.1278847455978394'], 'f_32': ['<-1.1350265741348267']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_34': ['>-0.60'], 'f_8': ['<=-1.28']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583  0.92519264
  -1.31591183 -1.89524511 -1.27604446  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839 -1.2718202
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]","{'f_9': ['>=-0.4265725910663605'], 'f_34': ['<0.5287914276123047'], 'f_32': ['>=-0.24892309308052063']}",{},{},"{'f_9': ['>=-0.4265725612640381', '>= 0.8121801021395789 * f_34+-0.1263423076191353'], 'f_32': ['>=0.5111736357212067'], 'f_14': ['>= 1.2461334269601996 * f_34+-1.4962839534658823']}","{'f_14': ['== -0.15348586907379907'], 'f_34': ['== -0.6024116423014999'], 'f_9': ['== 0.6606091843003894'], 'f_32': ['== 0.7815926667863563']}","{'f_15': ['>=-3.0699614882469177'], 'f_34': ['<0.37463928759098053'], 'f_20': ['<1.2981018424034119'], 'f_22': ['>=-3.1272515058517456'], 'f_24': ['<0.6963600516319275'], 'f_31': ['>=-1.6201634407043457'], 'f_9': ['>=-0.21093890070915222'], 'f_32': ['>=-0.5032446384429932']}","{'f_32': ['>-1.28'], 'f_9': ['>-1.51'], 'f_34': ['<=-0.60'], 'f_17': ['>-0.67'], 'f_33': ['<=-0.77']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
   0.75992934  0.52763624 -1.27604446  0.66060918 -1.14787694  0.34275723
   0.67039772  0.06866949  2.05615754  0.22652989  0.17691925 -0.67481361
   0.0905643  -2.37291074 -2.11485289 -1.99843689  0.24644839 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
  -2.15792427  0.24068203  0.78159267 -0.76969248  1.65999448 -0.57253291]]",{'f_14': ['>=0.9513358622789383']},{},{},{'f_20': ['<-1.2427024841308594']},"{'f_34': ['>=1.6477348804473877'], 'f_20': ['<0.41433997452259064'], 'f_32': ['>=-1.2214174270629883']}",{'f_20': ['<-0.4544476717710495']},"{'f_9': ['>-1.51'], 'f_14': ['>-0.15'], 'f_10': ['<=-1.15'], 'f_32': ['>-1.28']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248 -0.60241164 -0.57253291]]","{'f_20': ['>=-0.8210033923387527'], 'f_32': ['<-0.24892309308052063'], 'f_33': ['<0.26476386189460754']}",{},{},"{'f_6': ['<2.524394392967224'], 'f_9': ['<1.204200029373169', '< -4594.403396710558 * f_3+11741.428425118544'], 'f_32': ['<-1.1322222352027893'], 'f_33': ['< 1.037864771324622 * f_20+0.05897194964113243']}","{'f_14': ['== -0.15348586907379907'], 'f_17': ['== -0.6748136084824498'], 'f_25': ['== 1.5037368419360844'], 'f_32': ['== -1.279438820877996'], 'f_33': ['== -0.7696924757490383']}","{'f_14': ['<1.5085243582725525'], 'f_17': ['<1.0231164991855621'], 'f_20': ['>=-1.3287581205368042'], 'f_32': ['<-0.9925507307052612'], 'f_33': ['<0.517196848988533']}","{'f_32': ['<=-1.28'], 'f_12': ['<=-1.49'], 'f_9': ['>-1.51 ', ' <= 0.66'], 'f_33': ['<=-0.77'], 'f_6': ['<=0.76'], 'f_21': ['<=0.50'], 'f_0': ['<=0.35'], 'f_3': ['<=0.33'], 'f_10': ['<=0.87'], 'f_16': ['<=0.18'], 'f_31': ['<=0.24'], 'f_30': ['<=0.46'], 'f_17': ['<=1.48'], 'f_26': ['<=0.24'], 'f_29': ['<=0.21'], 'f_27': ['<=0.02'], 'f_8': ['<=0.78'], 'f_15': ['<=0.23'], 'f_34': ['<=1.66'], 'f_5': ['<=0.93'], 'f_28': ['<=0.12'], 'f_7': ['<=0.53'], 'f_23': ['<=0.79']}"
