dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
kr-vs-kp,./data/numerical_only/balanced,0.08456203024435217,0.19563937884933746,0.32729812409812414,0.2845372200655718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07708458215028728,0.19412056053278365,0.3069391697191697,0.2627230580635344,0.07540477161283557,0.1947706781481363,0.35416845154845156,0.24432672134617947,0.07794076721002428,0.1932760812604849,0.29723826826768,0.22226592705495465,0.05143523535507731,0.16286384683188382,0.2523319366673127,0.17260208214565925
balance-scale,./data/numerical_only/balanced,0.25001395726575326,0.2802135863090354,0.31963620425158884,0.3154074052286639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28501337901476437,0.2925814585409244,0.5235590620206005,0.25792320062318175,0.2778782649528591,0.3060551780678071,0.7045803199649354,0.19963675354339022,0.3218499621321307,0.28360663817055975,0.7010738549200087,0.19788571512853181,0.2859776501058025,0.30148106429858407,0.4461976769669077,0.2904568017904605
breast-w,./data/numerical_only/balanced,0.011429526861523386,0.08383953775709034,0.0074,0.07828520507307454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16914875086886916,0.22497048964143357,0.4012609523809524,0.33256875172653144,0.1303389870245274,0.19847440119140253,0.3870165079365079,0.2327592048172542,0.14519375176700278,0.19632740839645751,0.4258888888888889,0.21671025783949327,0.13615555714844582,0.19479364868655202,0.3888666666666667,0.2846758412706892
mfeat-morphological,./data/numerical_only/balanced,0.4881626931200933,0.2835703470662322,0.3642407057340895,0.3531802524589904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5250344329686152,0.2808543446295898,0.6395400126023945,0.17505008292710708,0.5469584499909221,0.2670369382855847,0.7270636420919975,0.15271666475075757,0.5975762444104793,0.2486302614392979,0.7593257718966604,0.15295756518073006,0.4895991844595936,0.23338091196904456,0.48648393194706996,0.254204402777098
mfeat-zernike,./data/numerical_only/balanced,0.22930366699686755,0.3942064881679862,0.11848691974691974,0.18193669092196474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2223777492025622,0.39688790172184085,0.13891630931060528,0.17778336717913884,0.2236831056795491,0.3945852838455143,0.22332094559035737,0.15671294939896585,0.2277447817355799,0.3940701145994912,0.157039432388404,0.16002305226239755,0.23889573726272526,0.3890285631031452,0.14387138770394564,0.1716846900206499
cmc,./data/numerical_only/balanced,0.18043635911678024,0.2727153735784804,0.3803593168458033,0.2452377200568282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1818121466754752,0.2689458059779288,0.48700302619221536,0.2534099685579005,0.1619518904428188,0.26653482299494297,0.5299882894477488,0.19941166755506357,0.18969541338748516,0.2603426425961786,0.4694064721091749,0.21620877892765636,0.17968495821709066,0.2304388787236945,0.43898454438994977,0.21967714292315874
credit-approval,./data/numerical_only/balanced,0.11178898316105068,0.18333056358679678,0.3987133333333333,0.41968898542717187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1411050865212047,0.18659083337727697,0.5254533333333333,0.2888805132775036,0.10063640553844941,0.18809549681565849,0.3296088888888889,0.20099639495820068,0.11944168949605222,0.1861161648789993,0.4883999422799423,0.22589016500078835,0.09130518341447202,0.17034678106048604,0.36169270063270065,0.21903841322115003
credit-g,./data/numerical_only/balanced,0.08570756367309298,0.23088863230552004,0.23881685425685428,0.24630333959771725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08780980044055492,0.2301726448628293,0.19707990427185473,0.20899931596747195,0.08231194471987546,0.23117094634187926,0.26402814074814074,0.18601578148754236,0.09029377777081715,0.2293154950637858,0.24195297537000324,0.1734999317870784,0.09931969116546518,0.21615447985418157,0.21914057054057057,0.19724321924098812
diabetes,./data/numerical_only/balanced,0.07945803988555804,0.19088972852872166,0.22556336758608256,0.31694387337633434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11309959147520685,0.2108102706820742,0.45996806510597743,0.23999179377441252,0.09763711438873147,0.2090618604946892,0.443785572639007,0.23681997291077414,0.11217060138798687,0.2080094392173235,0.3873290581781658,0.21206368613747129,0.12147242045510925,0.20583745674831255,0.41848103221818744,0.23561908936480924
tic-tac-toe,./data/numerical_only/balanced,0.09311441599148791,0.2286047616489344,0.2990939822290209,0.20987013461824436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10886177143477381,0.2251023436653283,0.3704791176831629,0.20490827018392752,0.09409256477775296,0.22740719464519327,0.3781285704843111,0.20108652095637486,0.11817209636958656,0.22187243662463094,0.40375626752783206,0.19417426773457022,0.10415538222047183,0.2087565067192979,0.30507351066542027,0.23251724147187208
vehicle,./data/numerical_only/balanced,0.11610923026678893,0.27291430553448204,0.2017325541125541,0.22476948328709428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12099232114702099,0.2695514521956613,0.24959800735212503,0.2002727602530808,0.1199686783705752,0.26889594054866606,0.31348083694083695,0.16697998300754588,0.13853190535487037,0.2644208494987027,0.38239747246217837,0.16005437469359998,0.13452624880293435,0.2720162429341277,0.1615259895659896,0.2154111553943126
satimage,./data/numerical_only/balanced,0.211443464298309,0.3379370505121004,0.07608441558441559,0.17494905817589562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24735185180752353,0.33664442784116466,0.23108925135579644,0.17842933782659298,0.22508171210645886,0.34801746753741886,0.2254315095843269,0.14562228968411847,0.2362709020927878,0.34290457368645266,0.21377686283639036,0.15631071447705552,0.21985607996570355,0.35192846104645453,0.1044338751288686,0.17462791091301938
eucalyptus,./data/numerical_only/balanced,0.13346581372346686,0.3041109664565725,0.26993999999999996,0.21647774647052387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13341153728912727,0.30221782946619213,0.32063248346424816,0.1955862534795013,0.1382573487783197,0.29999573900474047,0.3649679764679765,0.16316513167171273,0.1473256630264931,0.2973736087564963,0.3302866256619198,0.15885916579329856,0.1522629730458372,0.2936967489819348,0.2675490043290043,0.1803345667657854
vowel,./data/numerical_only/balanced,0.3983093846332475,0.3159905332853166,0.3217361904761905,0.23925293198041372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153766488241242,0.30685380121835243,0.5194673015873016,0.1790284063976207,0.4127745609611766,0.3059535116338811,0.5452154401154401,0.16930101249103627,0.4185091087250452,0.30611138456792353,0.5524500721500721,0.1741341204945787,0.4169675244173155,0.3014124894323933,0.4815289754689755,0.17948308456213372
analcatdata_dmft,./data/numerical_only/balanced,0.5225667718573784,0.3163310891141656,0.6180555555555556,0.30452794374000974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5438032000733688,0.3027583324579657,0.7361111111111112,0.18108895570007355,0.5770770745337975,0.28850843234887064,0.8680555555555556,0.14417041313907428,0.5664230105290622,0.29103356062816227,0.7430555555555556,0.18620955108044335,0.4877464933576799,0.2811894369258758,0.7407407407407407,0.20905225749769696
pc4,./data/numerical_only/balanced,0.17923192139931018,0.2901143557807778,0.09345333333333333,0.24646484319945783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21539925763734372,0.3192843790346096,0.3287533910533911,0.39317500715943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18810364529498777,0.2766011401806042,0.30780173826173823,0.2581823956133354
