dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.69,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.97,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.99,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.95,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.63,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.91,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.9,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.64,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.96,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.83,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.97,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.97,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.81,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.97,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
