dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,5.0,3.0,0.0,0.0,3.0,5.0,3.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.69,5.0,3.0,0.0,0.0,4.0,5.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.97,6.0,3.0,0.0,0.0,3.0,5.0,4.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.99,2.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,2.0,1.0,0.0,0.0,2.0,3.0,2.0,7.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,9.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.95,6.0,3.0,0.0,0.0,2.0,3.0,4.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,5.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,2.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.63,11.0,6.0,0.0,0.0,5.0,9.0,7.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.91,5.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.9,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.64,11.0,6.0,0.0,0.0,6.0,5.0,10.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.96,2.0,2.0,0.0,0.0,2.0,2.0,2.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.983729662077597,0.83,6.0,3.0,0.0,0.0,3.0,3.0,3.0,36.0
