dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
kr-vs-kp,./data/num_and_cat/balanced,0.08456203024435217,0.19563937884933746,0.32729812409812414,0.2845372200655718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260422953801992,0.19457793816297186,0.30718510822510825,0.2826167350227888,0.07473116713995731,0.19587013823332194,0.32465327992269166,0.26807528910185213,0.08584184127305709,0.1944318090739201,0.31829271617271615,0.28312270466402784,0.05046565948392061,0.16059522462581133,0.2546758487920291,0.19903510243078607
kr-vs-kp,./data/num_and_cat/balanced,0.08456203024435217,0.19563937884933746,0.32729812409812414,0.2845372200655718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260422953801992,0.19457793816297186,0.30718510822510825,0.2826167350227888,0.07473116713995731,0.19587013823332194,0.32465327992269166,0.26807528910185213,0.08584184127305709,0.1944318090739201,0.31829271617271615,0.28312270466402784,0.05046565948392061,0.16059522462581133,0.2546758487920291,0.19903510243078607
balance-scale,./data/num_and_cat/balanced,0.19060268134808012,0.2712336913793733,0.379,0.31183703008676394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23171425217257977,0.2794672511977896,0.5286,0.24995296446420562,0.2097318154042782,0.28536786238748785,0.6343333333333334,0.21412379596859382,0.254589283634113,0.2737583766287865,0.6354,0.22339590168328713,0.22438098109858126,0.29018276345487076,0.4594666666666667,0.28713400665504213
kr-vs-kp,./data/num_and_cat/balanced,0.08456203024435217,0.19563937884933746,0.32729812409812414,0.2845372200655718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260422953801992,0.19457793816297186,0.30718510822510825,0.2826167350227888,0.07473116713995731,0.19587013823332194,0.32465327992269166,0.26807528910185213,0.08584184127305709,0.1944318090739201,0.31829271617271615,0.28312270466402784,0.05046565948392061,0.16059522462581133,0.2546758487920291,0.19903510243078607
balance-scale,./data/num_and_cat/balanced,0.19060268134808012,0.2712336913793733,0.379,0.31183703008676394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23171425217257977,0.2794672511977896,0.5286,0.24995296446420562,0.2097318154042782,0.28536786238748785,0.6343333333333334,0.21412379596859382,0.254589283634113,0.2737583766287865,0.6354,0.22339590168328713,0.22438098109858126,0.29018276345487076,0.4594666666666667,0.28713400665504213
breast-w,./data/num_and_cat/balanced,0.02028140972059502,0.10360893255053114,0.017106666666666666,0.10753204049646474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14900858476463935,0.23287479368204433,0.3084552380952381,0.2928522897251768,0.11574379899448457,0.19598740018372415,0.3436180952380952,0.2288498261894441,0.16052476750520311,0.20147562823613013,0.42882476190476193,0.24291957506386005,0.1155363451813646,0.17695791644384518,0.4241447619047619,0.2418154242532984
kr-vs-kp,./data/num_and_cat/balanced,0.08456203024435217,0.19563937884933746,0.32729812409812414,0.2845372200655718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260422953801992,0.19457793816297186,0.30718510822510825,0.2826167350227888,0.07473116713995731,0.19587013823332194,0.32465327992269166,0.26807528910185213,0.08584184127305709,0.1944318090739201,0.31829271617271615,0.28312270466402784,0.05046565948392061,0.16059522462581133,0.2546758487920291,0.19903510243078607
balance-scale,./data/num_and_cat/balanced,0.19060268134808012,0.2712336913793733,0.379,0.31183703008676394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23171425217257977,0.2794672511977896,0.5286,0.24995296446420562,0.2097318154042782,0.28536786238748785,0.6343333333333334,0.21412379596859382,0.254589283634113,0.2737583766287865,0.6354,0.22339590168328713,0.22438098109858126,0.29018276345487076,0.4594666666666667,0.28713400665504213
breast-w,./data/num_and_cat/balanced,0.02028140972059502,0.10360893255053114,0.017106666666666666,0.10753204049646474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14900858476463935,0.23287479368204433,0.3084552380952381,0.2928522897251768,0.11574379899448457,0.19598740018372415,0.3436180952380952,0.2288498261894441,0.16052476750520311,0.20147562823613013,0.42882476190476193,0.24291957506386005,0.1155363451813646,0.17695791644384518,0.4241447619047619,0.2418154242532984
mfeat-morphological,./data/num_and_cat/balanced,0.3448860402395034,0.34657331644651257,0.4609333333333333,0.37147815249053046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4392000508689806,0.3349385812129038,0.4525733333333334,0.23852658868795132,0.4635531935848912,0.3151271294570571,0.6387466666666667,0.19121025727949034,0.4333312004079756,0.3192677893881336,0.5287466666666666,0.22520278822035536,0.41953952323412025,0.2825773036462103,0.6107733333333334,0.19538208083422368
