dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.76,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.992,0.0,0.0,0.9980732177263969
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.9915966386554622,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.53,0.8,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.6,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.86,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.993288590604027,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.68,0.9565217391304348,0.0,0.0,0.9975786924939467
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,1.0,0.0,0.0,1.0
