dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.76,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.0,0.0,1.0,0.6,1.0,,1.0,0.0,0.0,1.0,0.6,1.0,0.0,1.0,0.0,0.0,1.0,0.6,1.0,0.0,1.0,0.0,0.0,1.0,0.6,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,0.7323943661971831,1.0,,1.0,0.0,0.0,1.0,0.7323943661971831,1.0,0.0,1.0,0.0,0.0,1.0,0.7323943661971831,1.0,0.0,1.0,0.0,0.0,1.0,0.7323943661971831,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,0.0,0.0,1.0,0.9487179487179487,0.9791666666666666,,1.0,0.0,0.0,1.0,0.9487179487179487,0.9791666666666666,0.0,1.0,0.0,0.0,1.0,0.9487179487179487,0.9791666666666666,0.0,1.0,0.0,0.0,1.0,0.9487179487179487,0.9791666666666666,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.53,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.6,0.9285714285714286,0.0,0.0,1.0,1.0,1.0,,0.9285714285714286,0.0,0.0,1.0,1.0,1.0,0.0,0.9285714285714286,0.0,0.0,1.0,1.0,1.0,0.0,0.9285714285714286,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.86,1.0,0.0,0.0,1.0,0.8823529411764706,0.8823529411764706,,1.0,0.0,0.0,1.0,0.8823529411764706,0.8823529411764706,0.0,1.0,0.0,0.0,1.0,0.8823529411764706,0.8823529411764706,0.0,1.0,0.0,0.0,1.0,0.8823529411764706,0.8823529411764706,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.68,1.0,0.0,0.0,1.0,0.8333333333333334,1.0,,1.0,0.0,0.0,1.0,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,1.0,0.0,1.0,0.0,0.0,1.0,0.8333333333333334,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.9772727272727273,0.0,0.0,1.0,0.9772727272727273,0.9772727272727273,0.6666666666666666,0.9772727272727273,0.0,0.0,1.0,0.9772727272727273,0.9772727272727273,0.6666666666666666,0.9772727272727273,0.0,0.0,1.0,0.9772727272727273,0.9772727272727273,0.6666666666666666,0.9772727272727273,0.0,0.0,1.0,0.9772727272727273,0.9772727272727273,0.6666666666666666
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0,0.9148936170212766,0.9148936170212766,,1.0,0.0,0.0,1.0,0.9148936170212766,0.9148936170212766,0.0,1.0,0.0,0.0,1.0,0.9148936170212766,0.9148936170212766,0.0,1.0,0.0,0.0,1.0,0.9148936170212766,0.9148936170212766,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,1.0,0.0,0.0,1.0,1.0,0.8974358974358975,,1.0,0.0,0.0,1.0,1.0,0.8974358974358975,0.0,1.0,0.0,0.0,1.0,1.0,0.8974358974358975,0.0,1.0,0.0,0.0,1.0,1.0,0.8974358974358975,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.95,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0,1.0,1.0,0.5517241379310345,1.0,0.0,0.0,1.0,1.0,1.0,0.5517241379310345,1.0,0.0,0.0,1.0,1.0,1.0,0.5517241379310345,1.0,0.0,0.0,1.0,1.0,1.0,0.5517241379310345
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.92,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.68,1.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.5,1.0,0.6666666666666666
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.0,0.0,1.0,0.9705882352941176,1.0,,1.0,0.0,0.0,1.0,0.9705882352941176,1.0,0.0,1.0,0.0,0.0,1.0,0.9705882352941176,1.0,0.0,1.0,0.0,0.0,1.0,0.9705882352941176,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.95,1.0,0.0,0.0,1.0,1.0,1.0,0.5357142857142857,1.0,0.0,0.0,1.0,1.0,1.0,0.5357142857142857,1.0,0.0,0.0,1.0,1.0,1.0,0.5357142857142857,1.0,0.0,0.0,1.0,1.0,1.0,0.5357142857142857
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,0.8529411764705882,,1.0,0.0,0.0,1.0,1.0,0.8529411764705882,0.0,1.0,0.0,0.0,1.0,1.0,0.8529411764705882,0.0,1.0,0.0,0.0,1.0,1.0,0.8529411764705882,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.88,1.0,0.0,0.0,1.0,0.92,1.0,0.8372093023255814,1.0,0.0,0.0,1.0,0.92,1.0,0.8372093023255814,1.0,0.0,0.0,1.0,0.92,1.0,0.8372093023255814,1.0,0.0,0.0,1.0,0.92,1.0,0.8372093023255814
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8780487804878049,1.0,0.0,0.0,1.0,1.0,1.0,0.8780487804878049,1.0,0.0,0.0,1.0,1.0,1.0,0.8780487804878049,1.0,0.0,0.0,1.0,1.0,1.0,0.8780487804878049
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,1.0,0.0,0.0,1.0,1.0,1.0,0.8125
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.9,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.91,0.9318181818181818,0.0,0.0,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.7333333333333333,0.9318181818181818,0.0,0.0,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.7333333333333333,0.9318181818181818,0.0,0.0,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.7333333333333333,0.9318181818181818,0.0,0.0,0.9318181818181818,0.9318181818181818,0.9318181818181818,0.7333333333333333
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.0,0.0,1.0,1.0,0.9814814814814815,1.0,1.0,0.0,0.0,1.0,1.0,0.9814814814814815,1.0,1.0,0.0,0.0,1.0,1.0,0.9814814814814815,1.0,1.0,0.0,0.0,1.0,1.0,0.9814814814814815,1.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,0.5,1.0,,1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.0,0.0,1.0,1.0,0.8461538461538461,,1.0,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,1.0,0.0,0.0,1.0,1.0,0.8461538461538461,0.0,1.0,0.0,0.0,1.0,1.0,0.8461538461538461,0.0
