dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,5.0,3.0,0.0,0.0,3.0,10.0,2.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.76,5.0,3.0,0.0,0.0,3.0,5.0,5.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,6.0,3.0,0.0,0.0,3.0,4.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,9.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,6.0,3.0,0.0,0.0,3.0,3.0,3.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,5.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.53,11.0,6.0,0.0,0.0,14.0,10.0,9.0,26.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,5.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.6,11.0,6.0,0.0,0.0,7.0,7.0,11.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,2.0,2.0,0.0,0.0,2.0,4.0,2.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.86,6.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,1.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,1.0,0.0,0.0,1.0,3.0,1.0,9.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,11.0,8.0,0.0,0.0,6.0,10.0,6.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,9.0,3.0,0.0,0.0,3.0,2.0,5.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,3.0,3.0,18.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,9.0,3.0,0.0,0.0,3.0,4.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.68,9.0,4.0,0.0,0.0,3.0,5.0,5.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,5.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,9.0,4.0,0.0,0.0,4.0,3.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,4.0,3.0,0.0,0.0,3.0,4.0,2.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.95,9.0,3.0,0.0,0.0,4.0,3.0,4.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,5.0,2.0,0.0,0.0,2.0,3.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,5.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.92,1.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.68,9.0,2.0,0.0,0.0,3.0,7.0,5.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,27.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,2.0,2.0,0.0,0.0,2.0,1.0,2.0,26.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.95,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,4.0,3.0,0.0,0.0,3.0,4.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.97,2.0,2.0,0.0,0.0,2.0,2.0,2.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.88,9.0,4.0,0.0,0.0,4.0,3.0,6.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,5.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,6.0,3.0,0.0,0.0,3.0,3.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.9,6.0,3.0,0.0,0.0,3.0,9.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.91,9.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,5.0,3.0,0.0,0.0,4.0,4.0,5.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,7.0,4.0,0.0,0.0,3.0,5.0,3.0,12.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,4.0,3.0,0.0,0.0,3.0,4.0,3.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.95,9.0,4.0,0.0,0.0,3.0,3.0,5.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,10.0,2.0,0.0,0.0,3.0,4.0,5.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,5.0,3.0,0.0,0.0,3.0,10.0,2.0,8.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.76,5.0,3.0,0.0,0.0,3.0,5.0,5.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,2.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,25.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,6.0,3.0,0.0,0.0,3.0,4.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,2.0,1.0,0.0,0.0,2.0,2.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,9.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,1.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,6.0,3.0,0.0,0.0,3.0,3.0,3.0,5.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,5.0,3.0,0.0,0.0,3.0,3.0,3.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,6.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.53,11.0,6.0,0.0,0.0,14.0,10.0,9.0,26.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,5.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0
