dataset,num_and_cat,model_score,instance_certainty_clf,dectree_score,ac_score_ablation,ac_score_pure,ac_score_proba,ac_score_shap,ac_score_explan,ac_score_lore,dectree_score_prec,prec_score_ablation,prec_score_pure,prec_score_proba,prec_score_shap,prec_score_explan,prec_score_lore,dectree_score_rec,rec_score_ablation,rec_score_pure,rec_score_proba,rec_score_shap,rec_score_explan,rec_score_lore,dectree_score_f1,f1_score_ablation,f1_score_pure,f1_score_proba,f1_score_shap,f1_score_explan,f1_score_lore
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.9620253164556962,0.9620253164556962,0,0,0.9620253164556962,0.8860759493670886,0.8481012658227848,0.9387755102040817,0.9387755102040817,0,0,0.9387755102040817,1.0,0.9473684210526315,1.0,1.0,0,0,1.0,0.8043478260869565,0.782608695652174,0.968421052631579,0.968421052631579,0,0,0.968421052631579,0.891566265060241,0.8571428571428571
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.76,0.9240506329113924,0.9240506329113924,0,0,0.9367088607594937,0.9240506329113924,0.8354430379746836,0.9272727272727272,0.9607843137254902,0,0,0.98,0.9433962264150944,0.9347826086956522,0.9622641509433962,0.9245283018867925,0,0,0.9245283018867925,0.9433962264150944,0.8113207547169812,0.9444444444444444,0.9423076923076923,0,0,0.9514563106796116,0.9433962264150944,0.8686868686868686
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,0.9620253164556962,0,0,0.9873417721518988,0.6455696202531646,0.9620253164556962,1.0,0.9285714285714286,0,0,0.975,0.582089552238806,0.9285714285714286,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.962962962962963,0,0,0.9873417721518987,0.7358490566037735,0.962962962962963
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.9620253164556962,0,0,1.0,0.759493670886076,0.9493670886075949,1.0,1.0,0,0,1.0,0.7532467532467533,1.0,1.0,0.9482758620689655,0,0,1.0,1.0,0.9310344827586207,1.0,0.9734513274336283,0,0,1.0,0.8592592592592593,0.9642857142857143
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.93,0.9620253164556962,0.9620253164556962,0,0,0.9620253164556962,0.7215189873417721,0.8987341772151899,0.94,0.94,0,0,0.94,0.6984126984126984,0.9534883720930233,1.0,1.0,0,0,1.0,0.9361702127659575,0.8723404255319149,0.9690721649484536,0.9690721649484536,0,0,0.9690721649484536,0.8,0.9111111111111112
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.9873417721518988,0,0,0.9873417721518988,0.9240506329113924,0.9873417721518988,1.0,1.0,0,0,1.0,0.9074074074074074,1.0,1.0,0.98,0,0,0.98,0.98,0.98,1.0,0.98989898989899,0,0,0.98989898989899,0.9423076923076924,0.98989898989899
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.99,1.0,0.9873417721518988,0,0,1.0,1.0,0.9620253164556962,1.0,0.9846153846153847,0,0,1.0,1.0,0.9552238805970149,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.9922480620155039,0,0,1.0,1.0,0.9770992366412213
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,1.0,0.9367088607594937,0,0,0.9367088607594937,0.9240506329113924,0.9240506329113924,1.0,0.9387755102040817,0,0,0.9387755102040817,0.9375,0.9375,1.0,0.9583333333333334,0,0,0.9583333333333334,0.9375,0.9375,1.0,0.9484536082474228,0,0,0.9484536082474228,0.9375,0.9375
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.9746835443037974,0.9746835443037974,0,0,0.9746835443037974,0.9620253164556962,0.9113924050632911,0.984375,0.984375,0,0,0.9696969696969697,0.9841269841269841,1.0,0.984375,0.984375,0,0,1.0,0.96875,0.890625,0.984375,0.984375,0,0,0.9846153846153847,0.9763779527559054,0.9421487603305785
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.96,1.0,1.0,0,0,0.9746835443037974,0.9620253164556962,0.9873417721518988,1.0,1.0,0,0,0.9565217391304348,0.9555555555555556,0.9777777777777777,1.0,1.0,0,0,1.0,0.9772727272727273,1.0,1.0,1.0,0,0,0.9777777777777777,0.9662921348314608,0.9887640449438202
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.98,0.9620253164556962,0.9367088607594937,0,0,0.9493670886075949,0.8987341772151899,0.9240506329113924,0.9642857142857143,0.9629629629629629,0,0,1.0,0.9795918367346939,0.9803921568627451,0.9818181818181818,0.9454545454545454,0,0,0.9272727272727272,0.8727272727272727,0.9090909090909091,0.972972972972973,0.9541284403669724,0,0,0.9622641509433962,0.923076923076923,0.9433962264150944
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,1.0,0.9746835443037974,0.9873417721518988,0,0,0.9367088607594937,0.9493670886075949,0.9113924050632911,0.98,0.9803921568627451,0,0,0.9787234042553191,0.9791666666666666,0.9777777777777777,0.98,1.0,0,0,0.92,0.94,0.88,0.98,0.99009900990099,0,0,0.9484536082474226,0.9591836734693877,0.9263157894736842
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.53,0.9873417721518988,0.9493670886075949,0,0,0.9493670886075949,0.8860759493670886,0.8481012658227848,0.9791666666666666,0.9574468085106383,0,0,0.9777777777777777,0.975,0.972972972972973,1.0,0.9574468085106383,0,0,0.9361702127659575,0.8297872340425532,0.7659574468085106,0.9894736842105264,0.9574468085106385,0,0,0.9565217391304347,0.896551724137931,0.8571428571428571
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.94,0.9873417721518988,0.9746835443037974,0,0,0.9746835443037974,0.9873417721518988,0.8987341772151899,0.9818181818181818,0.9814814814814815,0,0,0.9814814814814815,0.9818181818181818,1.0,1.0,0.9814814814814815,0,0,0.9814814814814815,1.0,0.8518518518518519,0.9908256880733944,0.9814814814814815,0,0,0.9814814814814815,0.9908256880733944,0.92
kr-vs-kp,./data/num_and_cat/balanced,0.986232790988736,0.89,1.0,0.9620253164556962,0,0,0.9620253164556962,0.759493670886076,0.9620253164556962,1.0,0.925,0,0,0.925,1.0,0.925,1.0,1.0,0,0,1.0,0.4864864864864865,1.0,1.0,0.961038961038961,0,0,0.961038961038961,0.6545454545454547,0.961038961038961
