dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
yeast,rfc-nosuite,0.6091644204851752,0.44,0.0,0.0,0.0,1.0,,1.0,0.4594594594594595,0.0,0.0,0.0,1.0,,1.0,0.4594594594594595,0.0,0.0,0.0,1.0,,1.0,0.4594594594594595,0.0,0.0,0.0,1.0,,1.0,0.4594594594594595
yeast,rfc-nosuite,0.6091644204851752,0.8,0.0,0.0,0.0,0.7142857142857143,,0.5925925925925926,0.6486486486486487,0.0,0.0,0.0,0.7142857142857143,,0.5925925925925926,0.6486486486486487,0.0,0.0,0.0,0.7142857142857143,,0.5925925925925926,0.6486486486486487,0.0,0.0,0.0,0.7142857142857143,,0.5925925925925926,0.6486486486486487
yeast,rfc-nosuite,0.6091644204851752,0.69,0.5,0.0,0.0,1.0,,0.6875,0.5675675675675675,0.5,0.0,0.0,1.0,,0.6875,0.5675675675675675,0.5,0.0,0.0,1.0,,0.6875,0.5675675675675675,0.5,0.0,0.0,1.0,,0.6875,0.5675675675675675
yeast,rfc-nosuite,0.6091644204851752,0.76,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543
yeast,rfc-nosuite,0.6091644204851752,0.83,0.8823529411764706,0.0,0.0,0.6,,0.8421052631578947,0.5945945945945946,0.8823529411764706,0.0,0.0,0.6,,0.8421052631578947,0.5945945945945946,0.8823529411764706,0.0,0.0,0.6,,0.8421052631578947,0.5945945945945946,0.8823529411764706,0.0,0.0,0.6,,0.8421052631578947,0.5945945945945946
yeast,rfc-nosuite,0.6091644204851752,0.4,0.8,0.0,0.0,0.0,,0.0,0.10810810810810811,0.8,0.0,0.0,0.0,,0.0,0.10810810810810811,0.8,0.0,0.0,0.0,,0.0,0.10810810810810811,0.8000000000000002,0.0,0.0,0.0,,0.0,0.10810810810810811
yeast,rfc-nosuite,0.6091644204851752,0.7,0.5,0.0,0.0,0.75,,0.7083333333333334,0.4594594594594595,0.5,0.0,0.0,0.75,,0.7083333333333334,0.4594594594594595,0.5,0.0,0.0,0.75,,0.7083333333333334,0.4594594594594595,0.5,0.0,0.0,0.75,,0.7083333333333334,0.4594594594594595
yeast,rfc-nosuite,0.6091644204851752,0.52,0.0,0.0,0.0,0.0,,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,,0.0,0.2972972972972973,0.0,0.0,0.0,0.0,,0.0,0.2972972972972973
yeast,rfc-nosuite,0.6091644204851752,0.53,0.4,0.0,0.0,0.5,,0.5,0.43243243243243246,0.4,0.0,0.0,0.5,,0.5,0.43243243243243246,0.4,0.0,0.0,0.5,,0.5,0.43243243243243246,0.4000000000000001,0.0,0.0,0.5,,0.5,0.43243243243243246
yeast,rfc-nosuite,0.6091644204851752,0.76,0.7,0.0,0.0,1.0,,0.8055555555555556,0.7837837837837838,0.7,0.0,0.0,1.0,,0.8055555555555556,0.7837837837837838,0.7,0.0,0.0,1.0,,0.8055555555555556,0.7837837837837838,0.7,0.0,0.0,1.0,,0.8055555555555556,0.7837837837837838
yeast,rfc-nosuite,0.6091644204851752,0.79,0.9615384615384616,0.0,0.0,1.0,,0.9333333333333333,0.7837837837837838,0.9615384615384616,0.0,0.0,1.0,,0.9333333333333333,0.7837837837837838,0.9615384615384616,0.0,0.0,1.0,,0.9333333333333333,0.7837837837837838,0.9615384615384616,0.0,0.0,1.0,,0.9333333333333333,0.7837837837837838
yeast,rfc-nosuite,0.6091644204851752,0.84,0.7272727272727273,0.0,0.0,0.75,,0.7941176470588235,0.7297297297297297,0.7272727272727273,0.0,0.0,0.75,,0.7941176470588235,0.7297297297297297,0.7272727272727273,0.0,0.0,0.75,,0.7941176470588235,0.7297297297297297,0.7272727272727273,0.0,0.0,0.75,,0.7941176470588235,0.7297297297297297
yeast,rfc-nosuite,0.6091644204851752,0.7,0.6,0.0,0.0,0.7777777777777778,,0.6,0.3783783783783784,0.6,0.0,0.0,0.7777777777777778,,0.6,0.3783783783783784,0.6,0.0,0.0,0.7777777777777778,,0.6,0.3783783783783784,0.6,0.0,0.0,0.7777777777777778,,0.6,0.37837837837837834
yeast,rfc-nosuite,0.6091644204851752,0.47,0.0,0.0,0.0,0.0,,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,,0.0,0.5135135135135135,0.0,0.0,0.0,0.0,,0.0,0.5135135135135135
yeast,rfc-nosuite,0.6091644204851752,0.81,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865
yeast,rfc-nosuite,0.6091644204851752,0.51,0.6666666666666666,0.0,0.0,0.5,,0.6363636363636364,0.4594594594594595,0.6666666666666666,0.0,0.0,0.5,,0.6363636363636364,0.4594594594594595,0.6666666666666666,0.0,0.0,0.5,,0.6363636363636364,0.4594594594594595,0.6666666666666666,0.0,0.0,0.5,,0.6363636363636364,0.4594594594594595
yeast,rfc-nosuite,0.6091644204851752,0.48,1.0,0.0,0.0,0.8333333333333334,,0.8,0.4594594594594595,1.0,0.0,0.0,0.8333333333333334,,0.8,0.4594594594594595,1.0,0.0,0.0,0.8333333333333334,,0.8,0.4594594594594595,1.0,0.0,0.0,0.8333333333333334,,0.8000000000000002,0.4594594594594595
yeast,rfc-nosuite,0.6091644204851752,0.73,0.75,0.0,0.0,0.75,,0.5,0.16216216216216217,0.75,0.0,0.0,0.75,,0.5,0.16216216216216217,0.75,0.0,0.0,0.75,,0.5,0.16216216216216217,0.75,0.0,0.0,0.75,,0.5,0.16216216216216217
yeast,rfc-nosuite,0.6091644204851752,0.59,0.875,0.0,0.0,0.8181818181818182,,0.8,0.2972972972972973,0.875,0.0,0.0,0.8181818181818182,,0.8,0.2972972972972973,0.875,0.0,0.0,0.8181818181818182,,0.8,0.2972972972972973,0.875,0.0,0.0,0.8181818181818182,,0.8000000000000002,0.2972972972972973
yeast,rfc-nosuite,0.6091644204851752,0.64,0.0,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838,0.0,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838,0.0,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838,0.0,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838
yeast,rfc-nosuite,0.6091644204851752,0.78,0.8888888888888888,0.0,0.0,0.75,,0.8333333333333334,0.5405405405405406,0.8888888888888888,0.0,0.0,0.75,,0.8333333333333334,0.5405405405405406,0.8888888888888888,0.0,0.0,0.75,,0.8333333333333334,0.5405405405405406,0.8888888888888888,0.0,0.0,0.75,,0.8333333333333334,0.5405405405405406
yeast,rfc-nosuite,0.6091644204851752,0.77,0.0,0.0,0.0,0.25,,0.5555555555555556,0.40540540540540543,0.0,0.0,0.0,0.25,,0.5555555555555556,0.40540540540540543,0.0,0.0,0.0,0.25,,0.5555555555555556,0.40540540540540543,0.0,0.0,0.0,0.25,,0.5555555555555556,0.40540540540540543
yeast,rfc-nosuite,0.6091644204851752,0.73,0.875,0.0,0.0,0.8888888888888888,,0.8571428571428571,0.6486486486486487,0.875,0.0,0.0,0.8888888888888888,,0.8571428571428571,0.6486486486486487,0.875,0.0,0.0,0.8888888888888888,,0.8571428571428571,0.6486486486486487,0.875,0.0,0.0,0.8888888888888888,,0.8571428571428571,0.6486486486486487
yeast,rfc-nosuite,0.6091644204851752,0.42,0.5,0.0,0.0,1.0,,0.5555555555555556,0.4594594594594595,0.5,0.0,0.0,1.0,,0.5555555555555556,0.4594594594594595,0.5,0.0,0.0,1.0,,0.5555555555555556,0.4594594594594595,0.5,0.0,0.0,1.0,,0.5555555555555556,0.4594594594594595
yeast,rfc-nosuite,0.6091644204851752,0.52,0.8571428571428571,0.0,0.0,1.0,,0.8181818181818182,0.24324324324324326,0.8571428571428571,0.0,0.0,1.0,,0.8181818181818182,0.24324324324324326,0.8571428571428571,0.0,0.0,1.0,,0.8181818181818182,0.24324324324324326,0.8571428571428571,0.0,0.0,1.0,,0.8181818181818182,0.24324324324324326
yeast,rfc-nosuite,0.6091644204851752,0.49,0.3333333333333333,0.0,0.0,0.5,,0.5,0.40540540540540543,0.3333333333333333,0.0,0.0,0.5,,0.5,0.40540540540540543,0.3333333333333333,0.0,0.0,0.5,,0.5,0.40540540540540543,0.3333333333333333,0.0,0.0,0.5,,0.5,0.40540540540540543
