dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
yeast,rfc-nosuite,0.6091644204851752,0.44,0.02425876010781671,0.0,0.0,0.05121293800539083,,0.07277628032345014,1.0
yeast,rfc-nosuite,0.6091644204851752,0.8,0.0215633423180593,0.0,0.0,0.029649595687331536,,0.1293800539083558,1.0
yeast,rfc-nosuite,0.6091644204851752,0.69,0.029649595687331536,0.0,0.0,0.0026954177897574125,,0.0889487870619946,1.0
yeast,rfc-nosuite,0.6091644204851752,0.76,0.11590296495956873,0.0,0.0,0.018867924528301886,,0.14824797843665768,1.0
yeast,rfc-nosuite,0.6091644204851752,0.83,0.08086253369272237,0.0,0.0,0.016172506738544475,,0.1078167115902965,1.0
yeast,rfc-nosuite,0.6091644204851752,0.4,0.04582210242587601,0.0,0.0,0.01078167115902965,,0.0026954177897574125,1.0
yeast,rfc-nosuite,0.6091644204851752,0.7,0.0215633423180593,0.0,0.0,0.016172506738544475,,0.15633423180592992,1.0
yeast,rfc-nosuite,0.6091644204851752,0.52,0.026954177897574125,0.0,0.0,0.013477088948787063,,0.013477088948787063,1.0
yeast,rfc-nosuite,0.6091644204851752,0.53,0.018867924528301886,0.0,0.0,0.008086253369272238,,0.008086253369272238,1.0
yeast,rfc-nosuite,0.6091644204851752,0.76,0.07547169811320754,0.0,0.0,0.08086253369272237,,0.3584905660377358,1.0
yeast,rfc-nosuite,0.6091644204851752,0.79,0.09164420485175202,0.0,0.0,0.01078167115902965,,0.14016172506738545,1.0
yeast,rfc-nosuite,0.6091644204851752,0.84,0.03234501347708895,0.0,0.0,0.016172506738544475,,0.15363881401617252,1.0
yeast,rfc-nosuite,0.6091644204851752,0.7,0.06199460916442048,0.0,0.0,0.0862533692722372,,0.0431266846361186,1.0
yeast,rfc-nosuite,0.6091644204851752,0.47,0.0215633423180593,0.0,0.0,0.005390835579514825,,0.016172506738544475,1.0
yeast,rfc-nosuite,0.6091644204851752,0.81,0.1105121293800539,0.0,0.0,0.0215633423180593,,0.14824797843665768,1.0
yeast,rfc-nosuite,0.6091644204851752,0.51,0.03773584905660377,0.0,0.0,0.005390835579514825,,0.1967654986522911,1.0
yeast,rfc-nosuite,0.6091644204851752,0.48,0.01078167115902965,0.0,0.0,0.05660377358490566,,0.08086253369272237,1.0
yeast,rfc-nosuite,0.6091644204851752,0.73,0.013477088948787063,0.0,0.0,0.01078167115902965,,0.02425876010781671,1.0
