dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,rfc-nosuite,0.3796550410439204,0.25294873929288203,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297088933237035,0.22019254970146962,0.5581085714285714,0.1994759501732118,0.0,0.0,0.0,0.0,0.45466400979257715,0.21186539964439755,0.5589466666666667,0.21937360373853906,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.3796550410439204,0.25294873929288203,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297088933237035,0.22019254970146962,0.5581085714285714,0.1994759501732118,0.0,0.0,0.0,0.0,0.45466400979257715,0.21186539964439755,0.5589466666666667,0.21937360373853906,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.22840200059817573,0.3250750148589935,0.6256,0.3332036014211131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091160842583913,0.31783624024719503,0.67,0.3112876483254676,0.21294579334635944,0.3165802771640165,0.6928,0.30467714059312034,0.20642751233320508,0.320333518416634,0.6412,0.3241335527217138,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.3796550410439204,0.25294873929288203,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297088933237035,0.22019254970146962,0.5581085714285714,0.1994759501732118,0.0,0.0,0.0,0.0,0.45466400979257715,0.21186539964439755,0.5589466666666667,0.21937360373853906,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.22840200059817573,0.3250750148589935,0.6256,0.3332036014211131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091160842583913,0.31783624024719503,0.67,0.3112876483254676,0.21294579334635944,0.3165802771640165,0.6928,0.30467714059312034,0.20642751233320508,0.320333518416634,0.6412,0.3241335527217138,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17544724776107523,0.22247943149385552,0.5028,0.2981851475547067,0.16524122254707474,0.21797296461763713,0.5646666666666667,0.2849296209397838,0.22436587863495489,0.23372011038713428,0.6113333333333333,0.2658830152111597,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.3796550410439204,0.25294873929288203,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4297088933237035,0.22019254970146962,0.5581085714285714,0.1994759501732118,0.0,0.0,0.0,0.0,0.45466400979257715,0.21186539964439755,0.5589466666666667,0.21937360373853906,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.22840200059817573,0.3250750148589935,0.6256,0.3332036014211131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2091160842583913,0.31783624024719503,0.67,0.3112876483254676,0.21294579334635944,0.3165802771640165,0.6928,0.30467714059312034,0.20642751233320508,0.320333518416634,0.6412,0.3241335527217138,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17544724776107523,0.22247943149385552,0.5028,0.2981851475547067,0.16524122254707474,0.21797296461763713,0.5646666666666667,0.2849296209397838,0.22436587863495489,0.23372011038713428,0.6113333333333333,0.2658830152111597,0.0,0.0,0.0,0.0
volcanoes-a2,rfc-nosuite,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529399306437676,0.07941531961438256,0.1848,0.3447447751598275,0.6142479639987453,0.08669280734886166,0.6864,0.2620634698355004,0.5621387775693252,0.09904454181445035,0.3358666666666666,0.4599688685117722,0.0,0.0,0.0,0.0
