dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
yeast,rfc-nosuite,0.6226415094339622,0.43,0.6666666666666666,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.79,1.0,0.0,0.0,0.9937888198757763
yeast,rfc-nosuite,0.6226415094339622,0.7,0.6666666666666666,0.0,0.0,0.9950248756218907
yeast,rfc-nosuite,0.6226415094339622,0.74,0.9523809523809523,0.0,0.0,0.9945652173913043
yeast,rfc-nosuite,0.6226415094339622,0.8,0.9423076923076923,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.42,1.0,0.0,0.0,0.9954128440366972
yeast,rfc-nosuite,0.6226415094339622,0.67,1.0,0.0,0.0,0.9668508287292819
yeast,rfc-nosuite,0.6226415094339622,0.47,0.6666666666666666,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.9411764705882353,0.0,0.0,0.972972972972973
yeast,rfc-nosuite,0.6226415094339622,0.72,0.8148148148148147,0.0,0.0,0.9859649122807017
yeast,rfc-nosuite,0.6226415094339622,0.86,0.9178082191780822,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.86,0.8333333333333334,0.0,0.0,0.9945945945945948
yeast,rfc-nosuite,0.6226415094339622,0.59,0.8571428571428571,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.55,0.9333333333333333,0.0,0.0,0.996415770609319
yeast,rfc-nosuite,0.6226415094339622,0.72,1.0,0.0,0.0,0.9896907216494846
yeast,rfc-nosuite,0.6226415094339622,0.48,0.8,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,1.0,0.0,0.0,0.9849246231155779
yeast,rfc-nosuite,0.6226415094339622,0.73,1.0,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.6,0.8695652173913043,0.0,0.0,0.9827586206896551
yeast,rfc-nosuite,0.6226415094339622,0.64,0.875,0.0,0.0,0.9779179810725551
yeast,rfc-nosuite,0.6226415094339622,0.77,1.0,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.74,1.0,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.9,0.9411764705882353,0.0,0.0,0.9948453608247423
yeast,rfc-nosuite,0.6226415094339622,0.42,0.6666666666666666,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.54,1.0,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.4,0.7692307692307693,0.0,0.0,0.989010989010989
yeast,rfc-nosuite,0.6226415094339622,0.52,1.0,0.0,0.0,0.9390862944162437
yeast,rfc-nosuite,0.6226415094339622,0.51,1.0,0.0,0.0,0.9936305732484076
yeast,rfc-nosuite,0.6226415094339622,0.78,0.9230769230769231,0.0,0.0,0.9959016393442625
yeast,rfc-nosuite,0.6226415094339622,0.64,0.875,0.0,0.0,0.9964285714285716
yeast,rfc-nosuite,0.6226415094339622,0.51,0.8571428571428571,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.75,1.0,0.0,0.0,0.9955156950672646
yeast,rfc-nosuite,0.6226415094339622,0.32,1.0,0.0,0.0,0.9428571428571428
yeast,rfc-nosuite,0.6226415094339622,0.37,1.0,0.0,0.0,0.9930555555555556
yeast,rfc-nosuite,0.6226415094339622,0.63,0.875,0.0,0.0,0.9683098591549296
yeast,rfc-nosuite,0.6226415094339622,0.45,0.8787878787878787,0.0,0.0,0.9683257918552035
yeast,rfc-nosuite,0.6226415094339622,0.42,0.95,0.0,0.0,0.9583333333333334
yeast,rfc-nosuite,0.6226415094339622,0.92,0.9047619047619048,0.0,0.0,0.9951456310679612
yeast,rfc-nosuite,0.6226415094339622,0.73,0.9615384615384615,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.44,0.75,0.0,0.0,0.9860465116279069
yeast,rfc-nosuite,0.6226415094339622,0.64,0.6428571428571429,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.57,0.9444444444444444,0.0,0.0,0.9794520547945206
yeast,rfc-nosuite,0.6226415094339622,0.47,0.875,0.0,0.0,1.0
yeast,rfc-nosuite,0.6226415094339622,0.56,0.9,0.0,0.0,1.0
