dataset,num_and_cat,importance_gain_dtree,importance_gain_ablation,importance_gain_noproba,importance_gain_with_proba,importance_gain_shap,importance_gain_explan,importance_gain_lore,importance_gain_anchor
yeast,rfc-nosuite,0.1841273786147664,0.24354455771289898,0,0,0.1887869700492999,,0.1841273786147664,0.0
yeast,rfc-nosuite,0.16666666666666666,0.16683837671290455,0,0,0.16436830919858686,,0.19813337009129148,0.0
yeast,rfc-nosuite,0.16666666666666663,0.18923216688682756,0,0,0.23219235249385053,,0.23221195293352787,0.0
yeast,rfc-nosuite,0.25113701984908704,0.2554813297187017,0,0,0.2624704579961961,,0.25113701984908704,0.0
yeast,rfc-nosuite,0.16666666666666663,0.3071753675818229,0,0,0.18111111112753514,,0.23346395684554877,0.0
yeast,rfc-nosuite,0.16666666666666666,0.1479189294281899,0,0,0.15058470675809515,,0.16666666666666666,0.0
yeast,rfc-nosuite,0.16666666666666666,0.28309008908548755,0,0,0.207015735811407,,0.21106837195723416,0.0
yeast,rfc-nosuite,0.17804793518491144,0.13631156171115633,0,0,0.16666666666666666,,0.16666666666666666,0.0
yeast,rfc-nosuite,0.07239577004270212,0.18091189362847396,0,0,0.16666666666666666,,0.18091189362847396,0.0
yeast,rfc-nosuite,0.1369388686939062,0.22220855115800162,0,0,0.16521757737136872,,0.1491838622186598,0.0
yeast,rfc-nosuite,0.16666666666666666,0.30497506404985,0,0,0.20970099250461505,,0.21219834313972888,0.0
yeast,rfc-nosuite,0.16666666666666666,0.21013736478423606,0,0,0.19681649661285738,,0.18280499535248348,0.0
yeast,rfc-nosuite,0.1666666666666667,0.12603013744177907,0,0,0.1691192664146442,,0.17120753293701052,0.0
yeast,rfc-nosuite,0.1478697841417415,0.1906572316923928,0,0,0.16351721797382812,,0.1666666666666667,0.0
yeast,rfc-nosuite,0.2824964052210846,0.3496028780334618,0,0,0.2824964052210846,,0.2824964052210846,0.0
yeast,rfc-nosuite,0.1915312012013805,0.3042198941096078,0,0,0.1915312012013805,,0.19531258094300089,0.0
yeast,rfc-nosuite,0.17266280138515416,0.17686093069258263,0,0,0.16244662342541732,,0.1938242387546759,0.0
yeast,rfc-nosuite,0.1837268572393566,0.19633274360833475,0,0,0.21978940992169957,,0.22965857154919575,0.0
yeast,rfc-nosuite,0.2202787250956461,0.26242614438676787,0,0,0.26242614438676787,,0.26242614438676787,0.0
yeast,rfc-nosuite,0.1274964702819832,0.15959275769273587,0,0,0.18887212436415463,,0.1697281358597803,0.0
