dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17923642843817494,0.23307852274499258,0.4924,0.2960818505451191,0.1534737799899587,0.21691470670687613,0.519,0.3182418716776422,0.2116980191785109,0.2279421689432122,0.5845333333333333,0.26807690438877174,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17923642843817494,0.23307852274499258,0.4924,0.2960818505451191,0.1534737799899587,0.21691470670687613,0.519,0.3182418716776422,0.2116980191785109,0.2279421689432122,0.5845333333333333,0.26807690438877174,0.0,0.0,0.0,0.0
volcanoes-a2,rfc-nosuite,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280989603466152,0.07855452237400214,0.18706666666666666,0.34596958119336313,0.621068102087845,0.08721132876627846,0.7058666666666666,0.28716434319044554,0.559894042782354,0.097308289289962,0.3166666666666667,0.4402145941343709,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17923642843817494,0.23307852274499258,0.4924,0.2960818505451191,0.1534737799899587,0.21691470670687613,0.519,0.3182418716776422,0.2116980191785109,0.2279421689432122,0.5845333333333333,0.26807690438877174,0.0,0.0,0.0,0.0
volcanoes-a2,rfc-nosuite,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280989603466152,0.07855452237400214,0.18706666666666666,0.34596958119336313,0.621068102087845,0.08721132876627846,0.7058666666666666,0.28716434319044554,0.559894042782354,0.097308289289962,0.3166666666666667,0.4402145941343709,0.0,0.0,0.0,0.0
volcanoes-a3,rfc-nosuite,0.5086150946061566,0.048623228186020384,0.06266666666666666,0.2149046300106166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267243917657939,0.07464599754011403,0.16786666666666666,0.35477489576725507,0.6349531336154519,0.08655046626090777,0.7736,0.2689666150287058,0.5728824962638811,0.09978556242558208,0.3993333333333333,0.44656665547012997,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17923642843817494,0.23307852274499258,0.4924,0.2960818505451191,0.1534737799899587,0.21691470670687613,0.519,0.3182418716776422,0.2116980191785109,0.2279421689432122,0.5845333333333333,0.26807690438877174,0.0,0.0,0.0,0.0
volcanoes-a2,rfc-nosuite,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280989603466152,0.07855452237400214,0.18706666666666666,0.34596958119336313,0.621068102087845,0.08721132876627846,0.7058666666666666,0.28716434319044554,0.559894042782354,0.097308289289962,0.3166666666666667,0.4402145941343709,0.0,0.0,0.0,0.0
volcanoes-a3,rfc-nosuite,0.5086150946061566,0.048623228186020384,0.06266666666666666,0.2149046300106166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267243917657939,0.07464599754011403,0.16786666666666666,0.35477489576725507,0.6349531336154519,0.08655046626090777,0.7736,0.2689666150287058,0.5728824962638811,0.09978556242558208,0.3993333333333333,0.44656665547012997,0.0,0.0,0.0,0.0
volcanoes-a4,rfc-nosuite,0.538706506969164,0.23467560646076757,0.048666666666666664,0.18793734180424188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5336689702614025,0.24641439794544312,0.07626666666666666,0.22569659082740065,0.6013234208922554,0.26269803268636194,0.7266666666666666,0.3034981237357343,0.5832212999976522,0.26408648840494114,0.4486666666666666,0.4644571502780902,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17923642843817494,0.23307852274499258,0.4924,0.2960818505451191,0.1534737799899587,0.21691470670687613,0.519,0.3182418716776422,0.2116980191785109,0.2279421689432122,0.5845333333333333,0.26807690438877174,0.0,0.0,0.0,0.0
volcanoes-a2,rfc-nosuite,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280989603466152,0.07855452237400214,0.18706666666666666,0.34596958119336313,0.621068102087845,0.08721132876627846,0.7058666666666666,0.28716434319044554,0.559894042782354,0.097308289289962,0.3166666666666667,0.4402145941343709,0.0,0.0,0.0,0.0
volcanoes-a3,rfc-nosuite,0.5086150946061566,0.048623228186020384,0.06266666666666666,0.2149046300106166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5267243917657939,0.07464599754011403,0.16786666666666666,0.35477489576725507,0.6349531336154519,0.08655046626090777,0.7736,0.2689666150287058,0.5728824962638811,0.09978556242558208,0.3993333333333333,0.44656665547012997,0.0,0.0,0.0,0.0
volcanoes-a4,rfc-nosuite,0.538706506969164,0.23467560646076757,0.048666666666666664,0.18793734180424188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5336689702614025,0.24641439794544312,0.07626666666666666,0.22569659082740065,0.6013234208922554,0.26269803268636194,0.7266666666666666,0.3034981237357343,0.5832212999976522,0.26408648840494114,0.4486666666666666,0.4644571502780902,0.0,0.0,0.0,0.0
volcanoes-e1,rfc-nosuite,0.016754933793225835,0.0989232131136798,0.06293333333333333,0.20009846465067033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028149521731441387,0.12276828294266984,0.0896,0.26071409628173153,0.08532614999394883,0.1611082673165518,0.27266666666666667,0.3648250722378238,0.06793839176211856,0.17166715875550867,0.16973333333333332,0.35651326296039354,0.0,0.0,0.0,0.0
yeast,rfc-nosuite,0.37683683187258166,0.25265054138767934,0.42856000000000005,0.23282681632492422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416695595915825,0.23218178134692402,0.5585809523809523,0.20336389844990618,0.0,0.0,0.0,0.0,0.45065804034486473,0.2194591891040263,0.62048,0.2034166841185299,0.0,0.0,0.0,0.0
rmftsa,rfc-nosuite,0.21040167477215704,0.3266314441988138,0.6616,0.31730969099603623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106483636036159,0.3198958523067544,0.6768,0.30909830151587697,0.20697131988928122,0.31176630610016365,0.68,0.3124099870362662,0.21660015160494617,0.31926767288085406,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,rfc-nosuite,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17923642843817494,0.23307852274499258,0.4924,0.2960818505451191,0.1534737799899587,0.21691470670687613,0.519,0.3182418716776422,0.2116980191785109,0.2279421689432122,0.5845333333333333,0.26807690438877174,0.0,0.0,0.0,0.0
volcanoes-a2,rfc-nosuite,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280989603466152,0.07855452237400214,0.18706666666666666,0.34596958119336313,0.621068102087845,0.08721132876627846,0.7058666666666666,0.28716434319044554,0.559894042782354,0.097308289289962,0.3166666666666667,0.4402145941343709,0.0,0.0,0.0,0.0
