dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
yeast,./data/numerical_only/balanced,0.601078167115903,0.51,0.6666666666666666,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,0.6666666666666666,0.0,0.0,0.971830985915493
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.9523809523809523,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.78,0.9423076923076923,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.44,1.0,0.0,0.0,0.8085585585585585
yeast,./data/numerical_only/balanced,0.601078167115903,0.71,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.6666666666666666,0.0,0.0,0.994047619047619
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.9411764705882353,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,0.8148148148148147,0.0,0.0,0.9968051118210862
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,0.9178082191780822,0.0,0.0,0.9960000000000001
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,0.8333333333333334,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.61,0.8571428571428571,0.0,0.0,0.9833333333333332
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.9333333333333333,0.0,0.0,0.9962962962962963
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.8,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,1.0,0.0,0.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,0.8695652173913043,0.0,0.0,0.9911504424778761
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,0.875,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.64,1.0,0.0,0.0,0.9887218045112782
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,0.9411764705882353,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,0.6666666666666666,0.0,0.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,0.7692307692307693,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,1.0,0.0,0.0,0.9931506849315068
yeast,./data/numerical_only/balanced,0.601078167115903,0.63,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.86,0.9230769230769231,0.0,0.0,0.9459459459459459
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,0.875,0.0,0.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.49,0.8571428571428571,0.0,0.0,0.9825327510917031
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,1.0,0.0,0.0,0.9956709956709957
yeast,./data/numerical_only/balanced,0.601078167115903,0.36,1.0,0.0,0.0,0.9393939393939394
yeast,./data/numerical_only/balanced,0.601078167115903,0.38,1.0,0.0,0.0,0.9897959183673469
yeast,./data/numerical_only/balanced,0.601078167115903,0.61,0.875,0.0,0.0,0.970479704797048
yeast,./data/numerical_only/balanced,0.601078167115903,0.42,0.8787878787878787,0.0,0.0,0.9694323144104804
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,0.95,0.0,0.0,0.968421052631579
yeast,./data/numerical_only/balanced,0.601078167115903,0.88,0.9047619047619048,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.78,0.9615384615384615,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.36,0.75,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.66,0.6428571428571429,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.9444444444444444,0.0,0.0,0.9875
yeast,./data/numerical_only/balanced,0.601078167115903,0.35,0.875,0.0,0.0,0.974025974025974
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,0.9,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.72,1.0,0.0,0.0,0.99375
yeast,./data/numerical_only/balanced,0.601078167115903,0.6,0.7972972972972973,0.0,0.0,0.9766536964980543
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,0.6666666666666666,0.0,0.0,0.9959183673469386
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,0.6,0.0,0.0,0.9266409266409268
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,0.9433962264150944,0.0,0.0,0.9519650655021834
yeast,./data/numerical_only/balanced,0.601078167115903,0.85,0.9696969696969697,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,0.8571428571428571,0.0,0.0,0.9911504424778761
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,0.7,0.0,0.0,0.981042654028436
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,0.625,0.0,0.0,0.9846153846153847
yeast,./data/numerical_only/balanced,0.601078167115903,0.42,0.8,0.0,0.0,0.9891304347826086
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.74,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.39,1.0,0.0,0.0,0.9390243902439025
yeast,./data/numerical_only/balanced,0.601078167115903,0.54,0.5238095238095238,0.0,0.0,0.9755102040816327
yeast,./data/numerical_only/balanced,0.601078167115903,0.86,0.888888888888889,0.0,0.0,0.978902953586498
yeast,./data/numerical_only/balanced,0.601078167115903,0.4,0.75,0.0,0.0,0.9920634920634921
yeast,./data/numerical_only/balanced,0.601078167115903,0.85,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.43,0.75,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,0.8,0.0,0.0,0.994949494949495
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,0.9523809523809523,0.0,0.0,0.9960474308300394
yeast,./data/numerical_only/balanced,0.601078167115903,0.69,0.8,0.0,0.0,0.9839743589743589
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,1.0,0.0,0.0,0.9940828402366864
yeast,./data/numerical_only/balanced,0.601078167115903,0.5,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.59,0.62,0.0,0.0,0.9882352941176471
yeast,./data/numerical_only/balanced,0.601078167115903,0.27,0.5,0.0,0.0,0.9908256880733946
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.9259259259259259,0.0,0.0,0.9883720930232558
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.7,1.0,0.0,0.0,0.9347826086956521
yeast,./data/numerical_only/balanced,0.601078167115903,0.88,1.0,0.0,0.0,0.9885931558935361
yeast,./data/numerical_only/balanced,0.601078167115903,0.37,0.5,0.0,0.0,0.6051502145922747
yeast,./data/numerical_only/balanced,0.601078167115903,0.63,0.6,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.38,1.0,0.0,0.0,0.9689922480620154
yeast,./data/numerical_only/balanced,0.601078167115903,0.74,0.625,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.56,0.5,0.0,0.0,0.989010989010989
yeast,./data/numerical_only/balanced,0.601078167115903,0.54,0.909090909090909,0.0,0.0,0.9669421487603305
yeast,./data/numerical_only/balanced,0.601078167115903,0.43,0.75,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.56,1.0,0.0,0.0,0.9948186528497409
yeast,./data/numerical_only/balanced,0.601078167115903,0.3,0.59375,0.0,0.0,0.8173913043478261
yeast,./data/numerical_only/balanced,0.601078167115903,0.49,0.5,0.0,0.0,0.909090909090909
yeast,./data/numerical_only/balanced,0.601078167115903,0.26,0.5,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,0.9375,0.0,0.0,0.9906976744186047
yeast,./data/numerical_only/balanced,0.601078167115903,0.91,0.8596491228070174,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.98,0.8958333333333334,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.34,0.7916666666666666,0.0,0.0,0.9937888198757763
yeast,./data/numerical_only/balanced,0.601078167115903,0.34,0.5,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,1.0,0.0,0.0,0.946236559139785
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,1.0,0.0,0.0,0.9966216216216216
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.38,0.4666666666666667,0.0,0.0,0.8928571428571429
yeast,./data/numerical_only/balanced,0.601078167115903,0.94,1.0,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.33,1.0,0.0,0.0,0.9873417721518989
yeast,./data/numerical_only/balanced,0.601078167115903,0.72,0.9230769230769231,0.0,0.0,0.9908256880733946
yeast,./data/numerical_only/balanced,0.601078167115903,0.29,0.6666666666666666,0.0,0.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,0.8571428571428571,0.0,0.0,0.9944444444444445
yeast,./data/numerical_only/balanced,0.601078167115903,0.42,0.9375,0.0,0.0,0.9807692307692306
rmftsa,./data/numerical_only/balanced,0.5,0.34152380952380945,0.525,0.0,0.0,0.9658536585365853
rmftsa,./data/numerical_only/balanced,0.5,0.4721666666666667,0.48275862068965514,0.0,0.0,0.9080459770114941
rmftsa,./data/numerical_only/balanced,0.5,0.6655,0.5416666666666666,0.0,0.0,0.5302013422818792
rmftsa,./data/numerical_only/balanced,0.5,0.9,0.8333333333333334,0.0,0.0,0.993103448275862
rmftsa,./data/numerical_only/balanced,0.5,0.6321532356532357,1.0,0.0,0.0,0.8387096774193548
rmftsa,./data/numerical_only/balanced,0.5,0.8221843434343431,0.9200000000000002,0.0,0.0,0.8516949152542372
rmftsa,./data/numerical_only/balanced,0.5,0.2767023809523808,0.6578947368421053,0.0,0.0,0.8
rmftsa,./data/numerical_only/balanced,0.5,0.8651381221118061,1.0,0.0,0.0,0.7384105960264901
rmftsa,./data/numerical_only/balanced,0.5,0.7602857142857143,0.6909090909090909,0.0,0.0,0.9759036144578314
rmftsa,./data/numerical_only/balanced,0.5,0.5908650793650794,0.9818181818181818,0.0,0.0,0.9957983193277311
rmftsa,./data/numerical_only/balanced,0.5,1.0,0.9859154929577464,0.0,0.0,0.8783068783068784
rmftsa,./data/numerical_only/balanced,0.5,0.56725,0.888888888888889,0.0,0.0,0.9769230769230768
rmftsa,./data/numerical_only/balanced,0.5,0.7943333333333333,0.75,0.0,0.0,0.7272727272727273
rmftsa,./data/numerical_only/balanced,0.5,0.6441666666666667,0.5,0.0,0.0,0.7333333333333333
rmftsa,./data/numerical_only/balanced,0.5,0.6934919386169388,0.9782608695652174,0.0,0.0,0.615916955017301
rmftsa,./data/numerical_only/balanced,0.5,0.3696428571428571,0.7142857142857143,0.0,0.0,0.6547231270358306
rmftsa,./data/numerical_only/balanced,0.5,0.489547619047619,0.5294117647058824,0.0,0.0,0.7261904761904762
rmftsa,./data/numerical_only/balanced,0.5,0.5908650793650794,0.9818181818181818,0.0,0.0,0.9957081545064378
rmftsa,./data/numerical_only/balanced,0.5,0.61,0.74,0.0,0.0,0.7448275862068966
rmftsa,./data/numerical_only/balanced,0.5,0.9613492063492063,0.8714285714285716,0.0,0.0,0.9736070381231672
rmftsa,./data/numerical_only/balanced,0.5,0.5806590076590077,0.5405405405405406,0.0,0.0,0.7804878048780488
rmftsa,./data/numerical_only/balanced,0.5,0.32083333333333336,0.6557377049180327,0.0,0.0,0.8653846153846153
rmftsa,./data/numerical_only/balanced,0.5,0.575,0.4814814814814815,0.0,0.0,0.7371428571428571
rmftsa,./data/numerical_only/balanced,0.5,0.6658171762877646,0.9722222222222221,0.0,0.0,0.9543726235741445
rmftsa,./data/numerical_only/balanced,0.5,0.7732380952380953,0.5789473684210527,0.0,0.0,0.7689873417721519
rmftsa,./data/numerical_only/balanced,0.5,0.87,0.5384615384615384,0.0,0.0,0.9411764705882353
rmftsa,./data/numerical_only/balanced,0.5,0.47300000000000003,0.4444444444444445,0.0,0.0,0.9795918367346939
rmftsa,./data/numerical_only/balanced,0.5,0.5083333333333333,0.4807692307692307,0.0,0.0,0.9166666666666666
rmftsa,./data/numerical_only/balanced,0.5,0.42064285714285704,0.5,0.0,0.0,0.6666666666666666
