dataset,num_and_cat,model_score,instance_certainty_clf,hits_dectree,hits_lux_ablation,hits_lux_pure,hits_lux_proba,hits_lux_shap,hits_explan,hits_lore,hits_anchor
yeast,./data/numerical_only/balanced,0.601078167115903,0.51,0.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.78,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.44,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.71,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.61,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,1.0,1.0,0.0,0.0,0.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,1.0,0.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.64,1.0,0.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,1.0,0.0,0.0,0.0,0.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,1.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,0.0,1.0,0.0,0.0,1.0,,1.0,0.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,1.0,1.0,0.0,0.0,1.0,,1.0,1.0
