dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
yeast,./data/numerical_only/balanced,0.601078167115903,0.51,0.0,0.0,0.0,0.9090909090909091,,0.9166666666666666,0.4594594594594595,0.0,0.0,0.0,0.9090909090909091,,0.9166666666666666,0.4594594594594595,0.0,0.0,0.0,0.9090909090909091,,0.9166666666666666,0.4594594594594595,0.0,0.0,0.0,0.9090909090909091,,0.9166666666666666,0.4594594594594595
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,0.0,0.0,0.0,0.75,,0.6176470588235294,0.6486486486486487,0.0,0.0,0.0,0.75,,0.6176470588235294,0.6486486486486487,0.0,0.0,0.0,0.75,,0.6176470588235294,0.6486486486486487,0.0,0.0,0.0,0.75,,0.6176470588235294,0.6486486486486487
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,0.5,0.0,0.0,0.625,,0.6875,0.5675675675675675,0.5,0.0,0.0,0.625,,0.6875,0.5675675675675675,0.5,0.0,0.0,0.625,,0.6875,0.5675675675675675,0.5,0.0,0.0,0.625,,0.6875,0.5675675675675675
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543,0.9333333333333333,0.0,0.0,1.0,,0.8333333333333334,0.40540540540540543
yeast,./data/numerical_only/balanced,0.601078167115903,0.78,0.8823529411764706,0.0,0.0,0.6,,0.7586206896551724,0.5945945945945946,0.8823529411764706,0.0,0.0,0.6,,0.7586206896551724,0.5945945945945946,0.8823529411764706,0.0,0.0,0.6,,0.7586206896551724,0.5945945945945946,0.8823529411764706,0.0,0.0,0.6,,0.7586206896551724,0.5945945945945946
yeast,./data/numerical_only/balanced,0.601078167115903,0.44,0.8,0.0,0.0,0.11538461538461539,,0.0,0.10810810810810811,0.8,0.0,0.0,0.11538461538461539,,0.0,0.10810810810810811,0.8,0.0,0.0,0.11538461538461539,,0.0,0.10810810810810811,0.8000000000000002,0.0,0.0,0.11538461538461539,,0.0,0.10810810810810811
yeast,./data/numerical_only/balanced,0.601078167115903,0.71,0.5,0.0,0.0,0.6666666666666666,,0.6923076923076923,0.4594594594594595,0.5,0.0,0.0,0.6666666666666666,,0.6923076923076923,0.4594594594594595,0.5,0.0,0.0,0.6666666666666666,,0.6923076923076923,0.4594594594594595,0.5,0.0,0.0,0.6666666666666666,,0.6923076923076923,0.4594594594594595
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.0,0.0,0.0,0.3333333333333333,,0.2222222222222222,0.2972972972972973,0.0,0.0,0.0,0.3333333333333333,,0.2222222222222222,0.2972972972972973,0.0,0.0,0.0,0.3333333333333333,,0.2222222222222222,0.2972972972972973,0.0,0.0,0.0,0.3333333333333333,,0.2222222222222222,0.2972972972972973
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.4,0.0,0.0,0.25,,0.3333333333333333,0.43243243243243246,0.4,0.0,0.0,0.25,,0.3333333333333333,0.43243243243243246,0.4,0.0,0.0,0.25,,0.3333333333333333,0.43243243243243246,0.4000000000000001,0.0,0.0,0.25,,0.3333333333333333,0.43243243243243246
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,0.7,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838,0.7,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838,0.7,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838,0.7,0.0,0.0,1.0,,0.8181818181818182,0.7837837837837838
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,0.9615384615384616,0.0,0.0,1.0,,0.90625,0.7837837837837838,0.9615384615384616,0.0,0.0,1.0,,0.90625,0.7837837837837838,0.9615384615384616,0.0,0.0,1.0,,0.90625,0.7837837837837838,0.9615384615384616,0.0,0.0,1.0,,0.90625,0.7837837837837838
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,0.7272727272727273,0.0,0.0,0.75,,0.7692307692307693,0.7297297297297297,0.7272727272727273,0.0,0.0,0.75,,0.7692307692307693,0.7297297297297297,0.7272727272727273,0.0,0.0,0.75,,0.7692307692307693,0.7297297297297297,0.7272727272727273,0.0,0.0,0.75,,0.7692307692307693,0.7297297297297297
yeast,./data/numerical_only/balanced,0.601078167115903,0.61,0.6,0.0,0.0,0.3333333333333333,,0.7777777777777778,0.3783783783783784,0.6,0.0,0.0,0.3333333333333333,,0.7777777777777778,0.3783783783783784,0.6,0.0,0.0,0.3333333333333333,,0.7777777777777778,0.3783783783783784,0.6,0.0,0.0,0.3333333333333333,,0.7777777777777778,0.37837837837837834
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.0,0.0,0.0,0.0,,0.4,0.5135135135135135,0.0,0.0,0.0,0.0,,0.4,0.5135135135135135,0.0,0.0,0.0,0.0,,0.4,0.5135135135135135,0.0,0.0,0.0,0.0,,0.4000000000000001,0.5135135135135135
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865,1.0,0.0,0.0,1.0,,0.8571428571428571,0.4864864864864865
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.6666666666666666,0.0,0.0,0.5,,0.6666666666666666,0.4594594594594595,0.6666666666666666,0.0,0.0,0.5,,0.6666666666666666,0.4594594594594595,0.6666666666666666,0.0,0.0,0.5,,0.6666666666666666,0.4594594594594595,0.6666666666666666,0.0,0.0,0.5,,0.6666666666666666,0.4594594594594595
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,1.0,0.0,0.0,0.0,,0.6086956521739131,0.4594594594594595,1.0,0.0,0.0,0.0,,0.6086956521739131,0.4594594594594595,1.0,0.0,0.0,0.0,,0.6086956521739131,0.4594594594594595,1.0,0.0,0.0,0.0,,0.6086956521739131,0.4594594594594595
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,0.75,0.0,0.0,0.5,,0.4,0.16216216216216217,0.75,0.0,0.0,0.5,,0.4,0.16216216216216217,0.75,0.0,0.0,0.5,,0.4,0.16216216216216217,0.75,0.0,0.0,0.5,,0.4000000000000001,0.16216216216216217
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,0.875,0.0,0.0,0.8,,0.8,0.2972972972972973,0.875,0.0,0.0,0.8,,0.8,0.2972972972972973,0.875,0.0,0.0,0.8,,0.8,0.2972972972972973,0.875,0.0,0.0,0.8000000000000002,,0.8000000000000002,0.2972972972972973
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,0.0,0.0,0.0,1.0,,0.8333333333333334,0.7837837837837838,0.0,0.0,0.0,1.0,,0.8333333333333334,0.7837837837837838,0.0,0.0,0.0,1.0,,0.8333333333333334,0.7837837837837838,0.0,0.0,0.0,1.0,,0.8333333333333334,0.7837837837837838
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.8888888888888888,0.0,0.0,0.8888888888888888,,0.8333333333333334,0.5405405405405406,0.8888888888888888,0.0,0.0,0.8888888888888888,,0.8333333333333334,0.5405405405405406,0.8888888888888888,0.0,0.0,0.8888888888888888,,0.8333333333333334,0.5405405405405406,0.8888888888888888,0.0,0.0,0.8888888888888888,,0.8333333333333334,0.5405405405405406
yeast,./data/numerical_only/balanced,0.601078167115903,0.64,0.0,0.0,0.0,0.42857142857142855,,0.42857142857142855,0.40540540540540543,0.0,0.0,0.0,0.42857142857142855,,0.42857142857142855,0.40540540540540543,0.0,0.0,0.0,0.42857142857142855,,0.42857142857142855,0.40540540540540543,0.0,0.0,0.0,0.42857142857142855,,0.42857142857142855,0.40540540540540543
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,0.875,0.0,0.0,0.9285714285714286,,0.7857142857142857,0.6486486486486487,0.875,0.0,0.0,0.9285714285714286,,0.7857142857142857,0.6486486486486487,0.875,0.0,0.0,0.9285714285714286,,0.7857142857142857,0.6486486486486487,0.875,0.0,0.0,0.9285714285714286,,0.7857142857142857,0.6486486486486487
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,0.5,0.0,0.0,0.0,,0.5833333333333334,0.4594594594594595,0.5,0.0,0.0,0.0,,0.5833333333333334,0.4594594594594595,0.5,0.0,0.0,0.0,,0.5833333333333334,0.4594594594594595,0.5,0.0,0.0,0.0,,0.5833333333333334,0.4594594594594595
