dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
yeast,./data/numerical_only/balanced,0.601078167115903,0.51,0.05405405405405406,0.0,0.0,0.2972972972972973,,0.32432432432432434,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,0.02702702702702703,0.0,0.0,0.21621621621621623,,0.918918918918919,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,0.21621621621621623,0.0,0.0,0.21621621621621623,,0.43243243243243246,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.40540540540540543,0.0,0.0,0.08108108108108109,,0.4864864864864865,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.78,0.4594594594594595,0.0,0.0,0.13513513513513514,,0.7837837837837838,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.44,0.13513513513513514,0.0,0.0,0.7027027027027027,,0.02702702702702703,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.71,0.10810810810810811,0.0,0.0,0.16216216216216217,,0.35135135135135137,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.08108108108108109,0.0,0.0,0.08108108108108109,,0.24324324324324326,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.13513513513513514,0.0,0.0,0.10810810810810811,,0.16216216216216217,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,0.2702702702702703,0.0,0.0,0.21621621621621623,,0.5945945945945946,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,0.7027027027027027,0.0,0.0,0.08108108108108109,,0.8648648648648649,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,0.2972972972972973,0.0,0.0,0.10810810810810811,,0.7027027027027027,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.61,0.13513513513513514,0.0,0.0,0.08108108108108109,,0.24324324324324326,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.08108108108108109,0.0,0.0,0.02702702702702703,,0.2702702702702703,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,0.35135135135135137,0.0,0.0,0.08108108108108109,,0.5675675675675675,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,0.08108108108108109,0.0,0.0,0.05405405405405406,,0.32432432432432434,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,0.05405405405405406,0.0,0.0,0.0,,0.6216216216216216,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,0.10810810810810811,0.0,0.0,0.10810810810810811,,0.2702702702702703,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,0.21621621621621623,0.0,0.0,0.2702702702702703,,0.2702702702702703,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,0.16216216216216217,0.0,0.0,0.05405405405405406,,0.6486486486486487,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,0.24324324324324326,0.0,0.0,0.24324324324324326,,0.6486486486486487,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.64,0.05405405405405406,0.0,0.0,0.1891891891891892,,0.1891891891891892,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,0.43243243243243246,0.0,0.0,0.3783783783783784,,0.7567567567567568,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,0.05405405405405406,0.0,0.0,0.0,,0.6486486486486487,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,0.1891891891891892,0.0,0.0,0.05405405405405406,,0.2972972972972973,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.48,0.08108108108108109,0.0,0.0,0.02702702702702703,,0.6216216216216216,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.45,0.10810810810810811,0.0,0.0,0.02702702702702703,,0.05405405405405406,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.63,0.05405405405405406,0.0,0.0,0.05405405405405406,,0.40540540540540543,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.86,0.10810810810810811,0.0,0.0,0.21621621621621623,,0.6216216216216216,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,0.05405405405405406,0.0,0.0,0.0,,0.5675675675675675,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.49,0.1891891891891892,0.0,0.0,0.08108108108108109,,0.5675675675675675,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,0.16216216216216217,0.0,0.0,0.16216216216216217,,0.24324324324324326,1.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.36,0.13513513513513514,0.0,0.0,0.05405405405405406,,0.05405405405405406,1.0
