dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
yeast,./data/numerical_only/balanced,0.601078167115903,0.51,5.0,3.0,0.0,0.0,4.0,,3.0,5.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,6.0,3.0,0.0,0.0,5.0,,4.0,5.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.57,6.0,5.0,0.0,0.0,3.0,,5.0,2.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,3.0,3.0,0.0,0.0,2.0,,3.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.78,6.0,2.0,0.0,0.0,3.0,,4.0,6.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.44,6.0,4.0,0.0,0.0,2.0,,5.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.71,6.0,2.0,0.0,0.0,3.0,,4.0,4.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,4.0,3.0,0.0,0.0,6.0,,5.0,7.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,6.0,5.0,0.0,0.0,6.0,,6.0,4.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.75,6.0,2.0,0.0,0.0,3.0,,5.0,7.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.81,6.0,2.0,0.0,0.0,4.0,,2.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.79,6.0,4.0,0.0,0.0,4.0,,3.0,6.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.61,6.0,3.0,0.0,0.0,5.0,,3.0,3.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.55,6.0,3.0,0.0,0.0,3.0,,5.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.77,3.0,2.0,0.0,0.0,2.0,,3.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.46,5.0,2.0,0.0,0.0,4.0,,4.0,2.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.52,5.0,4.0,0.0,0.0,0.0,,4.0,3.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.73,5.0,5.0,0.0,0.0,4.0,,3.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.67,4.0,3.0,0.0,0.0,4.0,,3.0,8.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.65,6.0,4.0,0.0,0.0,3.0,,4.0,5.0
yeast,./data/numerical_only/balanced,0.601078167115903,0.76,6.0,3.0,0.0,0.0,3.0,,3.0,8.0
