dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
yeast,./data/numerical_only/balanced,0.34030431048051046,0.23272310401633173,0.43912333333333337,0.22888007124061963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34889609839029745,0.231095289185384,0.5233242857142857,0.23732607506242367,0.0,0.0,0.0,0.0,0.38775927720505193,0.22530506764189445,0.5878899999999999,0.20660034553524698,0.0,0.0,0.0,0.0
rmftsa,./data/numerical_only/balanced,0.2031507142932487,0.3182994719870316,0.6708,0.32129014924208305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20727011309310034,0.3037757716693539,0.6664,0.31226757756770074,0.22761580866010825,0.3087835247193268,0.7276,0.293254565181857,0.18957280006269128,0.3004020716311756,0.6384,0.3256461883701389,0.0,0.0,0.0,0.0
banknote-authentication,./data/numerical_only/balanced,0.04656310703634904,0.15029483592958953,0.07586666666666667,0.23790713407639638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17137222029420557,0.2319659244000326,0.4786,0.3064362105089918,0.1603815188206884,0.2136613504220755,0.5400666666666667,0.2994813961945995,0.20018391895164772,0.2255638486681386,0.5511333333333334,0.2832192790048022,0.0,0.0,0.0,0.0
volcanoes-a2,./data/numerical_only/balanced,0.504143298869214,0.03591476409341078,0.027333333333333324,0.14082139988889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5253884643232699,0.07430998412825633,0.1496,0.3270369601946137,0.6315936763137153,0.08933770571089857,0.7653333333333334,0.2654103740750664,0.5786897991300675,0.10488498604713262,0.4121333333333334,0.46536903396957746,0.0,0.0,0.0,0.0
volcanoes-a3,./data/numerical_only/balanced,0.6725035066120016,0.03235849086777528,0.06266666666666666,0.2149046300106166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824381224408812,0.04991393528995793,0.1686666666666667,0.3484511762388272,0.7547114354222035,0.05733882185392139,0.7513333333333333,0.2670172695205728,0.7150638432360203,0.06772577087434394,0.3876,0.4622043992290279,0.0,0.0,0.0,0.0
volcanoes-a4,./data/numerical_only/balanced,0.538706506969164,0.23467560646076757,0.048666666666666664,0.18793734180424188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5493099680669254,0.22788069149923218,0.06306666666666666,0.21134578301920295,0.6146581480087675,0.2528329559397007,0.7769333333333333,0.26431701504905897,0.5776569826467831,0.2561981672185444,0.3452,0.4457618497209768,0.0,0.0,0.0,0.0
volcanoes-e1,./data/numerical_only/balanced,0.009090133351359504,0.05145960043512768,0.06293333333333333,0.20009846465067033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2760300543661405,0.2959300537813378,0.0784,0.24537521381662725,0.02904467519742853,0.07282599096197004,0.1448,0.30490374437407836,0.3394120273184089,0.31474839265023785,0.308,0.4332851255235979,0.0,0.0,0.0,0.0
volcanoes-e2,./data/numerical_only/balanced,0.674067016613575,0.0360936666023825,0.08466666666666667,0.24901673303883282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6732182986274623,0.03277769321948309,0.0552,0.21327515873475122,0.0,0.0,0.0,0.0,0.7032393840711538,0.06267391964626674,0.29346666666666665,0.42038287310498273,0.0,0.0,0.0,0.0
volcanoes-e3,./data/numerical_only/balanced,0.02875175809676005,0.12220194260813028,0.08653333333333332,0.263609104546865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026955549518157887,0.12693552076034903,0.0632,0.24332233765110842,0.0042008485529918295,0.05344865624315681,0.008533333333333332,0.08309608895730293,0.09726750770897565,0.18992124316116188,0.238,0.41346825754826694,0.0,0.0,0.0,0.0
volcanoes-e4,./data/numerical_only/balanced,0.5089760176468777,0.04978164732701187,0.06853333333333332,0.22259296185339433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5158815102602744,0.062241072214386024,0.10693333333333335,0.29281912505845653,0.0012156715811857091,0.021232498046277488,0.004133333333333333,0.056220043875234875,0.5329564801522814,0.08118770938945986,0.1924,0.36667275146466316,0.0,0.0,0.0,0.0
