dataset,num_and_cat,model_score,instance_certainty_clf,lux_conf_ablation,lux_conf_pure,lux_conf_proba,lux_conf_shap
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.69,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.992,0.0,0.0,0.9986979166666666
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.9915966386554622,0.0,0.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,0.9986468200270636
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.71,0.8,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.88,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.83,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.65,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.94,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,1.0,0.0,0.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.85,1.0,0.0,0.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.993288590604027,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.74,0.9565217391304348,0.0,0.0,0.9893475366178428
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.9,1.0,0.0,0.0,0.9922480620155039
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,1.0,0.0,0.0,0.9983525535420099
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.9928571428571429,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.9938271604938272,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.91,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.7,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,1.0,0.0,0.0,1.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,1.0,0.0,0.0,1.0
