dataset,num_and_cat,model_score,instance_certainty_clf,acc_ablation,acc_pure,acc_proba,acc_shap,acc_EXPLAN,acc_LORE,acc_anchor,prec_ablation,prec_pure,prec_proba,prec_shap,prec_EXPLAN,prec_LORE,prec_anchor,rec_ablation,rec_pure,rec_proba,rec_shap,rec_EXPLAN,rec_LORE,rec_anchor,f1_ablation,f1_pure,f1_proba,f1_shap,f1_EXPLAN,f1_LORE,f1_anchor
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.69,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.0,0.0,1.0,1.0,1.0,0.9285714285714286
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,0.0,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,0.0,1.0,0.0,0.0,1.0,0.7906976744186046,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0,0.96,1.0,,1.0,0.0,0.0,1.0,0.96,1.0,0.0,1.0,0.0,0.0,1.0,0.96,1.0,0.0,1.0,0.0,0.0,1.0,0.96,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,1.0,0.0,0.0,1.0,0.9230769230769231,1.0,,1.0,0.0,0.0,1.0,0.9230769230769231,1.0,0.0,1.0,0.0,0.0,1.0,0.9230769230769231,1.0,0.0,1.0,0.0,0.0,1.0,0.9230769230769231,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0,1.0,0.0,0.0,1.0,0.8717948717948718,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0,0.9772727272727273,0.0,0.0,1.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857,0.9375,0.0,0.0,0.9375,0.9375,0.9375,0.6857142857142857
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.9761904761904762,0.0,0.0,0.0,1.0,1.0,,0.9761904761904762,0.0,0.0,0.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,0.0,1.0,1.0,0.0,0.9761904761904762,0.0,0.0,0.0,1.0,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,1.0,0.0,0.0,1.0,0.8285714285714286,1.0,,1.0,0.0,0.0,1.0,0.8285714285714286,1.0,0.0,1.0,0.0,0.0,1.0,0.8285714285714286,1.0,0.0,1.0,0.0,0.0,1.0,0.8285714285714286,1.0,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,0.0,0.0,1.0,0.9487179487179487,1.0,0.95,1.0,0.0,0.0,1.0,0.9487179487179487,1.0,0.95,1.0,0.0,0.0,1.0,0.9487179487179487,1.0,0.95,1.0,0.0,0.0,1.0,0.9487179487179487,1.0,0.9500000000000001
