dataset,num_and_cat,instance_certainty_clf,ac_score_ablation_acc,ac_score_pure_acc,ac_score_proba_acc,ac_score_shap_acc,model_score,dectree_score_acc,ac_score_explan_acc,ac_score_lore_acc
kr-vs-kp,./data/numerical_only/balanced,1.0,1.0,0.0,0.0,1.0,0.9887359198998749,1.0,0.9367088607594937,0.8987341772151899
kr-vs-kp,./data/numerical_only/balanced,0.69,0.9240506329113924,0.0,0.0,0.9367088607594937,0.9887359198998749,0.9746835443037974,0.8354430379746836,0.8734177215189873
kr-vs-kp,./data/numerical_only/balanced,1.0,0.9620253164556962,0.0,0.0,0.9873417721518988,0.9887359198998749,1.0,0.8481012658227848,0.9746835443037974
kr-vs-kp,./data/numerical_only/balanced,1.0,0.9620253164556962,0.0,0.0,1.0,0.9887359198998749,1.0,0.9240506329113924,0.8987341772151899
kr-vs-kp,./data/numerical_only/balanced,0.93,1.0,0.0,0.0,0.9873417721518988,0.9887359198998749,1.0,0.8860759493670886,0.8734177215189873
kr-vs-kp,./data/numerical_only/balanced,0.99,0.9873417721518988,0.0,0.0,0.9873417721518988,0.9887359198998749,1.0,0.9240506329113924,0.9873417721518988
kr-vs-kp,./data/numerical_only/balanced,1.0,0.9873417721518988,0.0,0.0,1.0,0.9887359198998749,1.0,0.9746835443037974,0.9240506329113924
kr-vs-kp,./data/numerical_only/balanced,0.96,0.9367088607594937,0.0,0.0,0.9620253164556962,0.9887359198998749,1.0,0.9493670886075949,0.9240506329113924
kr-vs-kp,./data/numerical_only/balanced,1.0,0.9873417721518988,0.0,0.0,0.0,0.9887359198998749,0.9873417721518988,0.620253164556962,0.8481012658227848
kr-vs-kp,./data/numerical_only/balanced,0.92,1.0,0.0,0.0,0.9746835443037974,0.9887359198998749,1.0,0.8607594936708861,1.0
kr-vs-kp,./data/numerical_only/balanced,1.0,0.9746835443037974,0.0,0.0,1.0,0.9887359198998749,1.0,0.9113924050632911,0.8481012658227848
kr-vs-kp,./data/numerical_only/balanced,1.0,1.0,0.0,0.0,1.0,0.9887359198998749,0.9873417721518988,0.9113924050632911,0.9240506329113924
kr-vs-kp,./data/numerical_only/balanced,0.71,0.9493670886075949,0.0,0.0,0.9746835443037974,0.9887359198998749,0.9873417721518988,0.9873417721518988,0.7721518987341772
kr-vs-kp,./data/numerical_only/balanced,0.88,0.9746835443037974,0.0,0.0,0.9873417721518988,0.9887359198998749,0.9873417721518988,0.9240506329113924,0.8987341772151899
kr-vs-kp,./data/numerical_only/balanced,0.83,0.9620253164556962,0.0,0.0,0.9620253164556962,0.9887359198998749,1.0,0.759493670886076,0.9620253164556962
kr-vs-kp,./data/numerical_only/balanced,0.98,0.9493670886075949,0.0,0.0,1.0,0.9887359198998749,1.0,0.9493670886075949,0.7341772151898734
kr-vs-kp,./data/numerical_only/balanced,0.65,0.9873417721518988,0.0,0.0,0.9113924050632911,0.9887359198998749,0.9873417721518988,0.9746835443037974,0.8607594936708861
kr-vs-kp,./data/numerical_only/balanced,0.99,1.0,0.0,0.0,1.0,0.9887359198998749,1.0,0.9493670886075949,0.9746835443037974
kr-vs-kp,./data/numerical_only/balanced,0.92,0.9746835443037974,0.0,0.0,1.0,0.9887359198998749,1.0,0.9873417721518988,0.9367088607594937
kr-vs-kp,./data/numerical_only/balanced,0.94,0.9367088607594937,0.0,0.0,0.9873417721518988,0.9887359198998749,0.9873417721518988,0.7974683544303798,0.7974683544303798
kr-vs-kp,./data/numerical_only/balanced,0.97,0.9873417721518988,0.0,0.0,0.0,0.9887359198998749,1.0,0.9873417721518988,0.9746835443037974
kr-vs-kp,./data/numerical_only/balanced,0.85,0.9240506329113924,0.0,0.0,0.0,0.9887359198998749,0.9873417721518988,0.9367088607594937,0.9493670886075949
kr-vs-kp,./data/numerical_only/balanced,0.98,0.9873417721518988,0.0,0.0,0.9873417721518988,0.9887359198998749,1.0,0.9873417721518988,0.9746835443037974
kr-vs-kp,./data/numerical_only/balanced,1.0,1.0,0.0,0.0,1.0,0.9887359198998749,1.0,1.0,1.0
