dataset,num_and_cat,model_score,instance_certainty_clf,cov_ablation,cov_pure,cov_proba,cov_shap,cov_EXPLAN,cov_LORE,cov_anchor
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.27848101265822783,0.0,0.0,0.0759493670886076,0.08860759493670886,0.27848101265822783,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.69,0.4430379746835443,0.0,0.0,0.4430379746835443,0.21518987341772153,0.4430379746835443,0.17721518987341772
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.43037974683544306,0.0,0.0,0.43037974683544306,0.5443037974683544,0.43037974683544306,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.4936708860759494,0.0,0.0,0.4936708860759494,0.31645569620253167,0.4936708860759494,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,0.3924050632911392,0.0,0.0,0.06329113924050633,0.3291139240506329,0.3924050632911392,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.43037974683544306,0.0,0.0,0.43037974683544306,0.4936708860759494,0.43037974683544306,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5569620253164557,0.0,0.0,0.5443037974683544,0.12658227848101267,0.5569620253164557,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.6075949367088608,0.0,0.0,0.6075949367088608,0.6075949367088608,0.6075949367088608,0.8860759493670886
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5316455696202531,0.0,0.0,0.0,0.31645569620253167,0.31645569620253167,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,0.4430379746835443,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.43037974683544306,0.0,0.0,0.43037974683544306,0.4936708860759494,0.43037974683544306,0.5063291139240507
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.46835443037974683,0.0,0.0,0.46835443037974683,0.3037974683544304,0.46835443037974683,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.71,0.02531645569620253,0.0,0.0,0.4810126582278481,0.06329113924050633,0.3037974683544304,0.13924050632911392
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.88,0.5443037974683544,0.0,0.0,0.379746835443038,0.5443037974683544,0.5443037974683544,0.5822784810126582
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.83,0.22784810126582278,0.0,0.0,0.22784810126582278,0.22784810126582278,0.22784810126582278,0.26582278481012656
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.46835443037974683,0.0,0.0,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.65,0.17721518987341772,0.0,0.0,0.35443037974683544,0.189873417721519,0.4050632911392405,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.4810126582278481,0.0,0.0,0.4177215189873418,0.35443037974683544,0.4810126582278481,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,0.34177215189873417,0.0,0.0,0.379746835443038,0.27848101265822783,0.34177215189873417,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.94,0.46835443037974683,0.0,0.0,0.46835443037974683,0.46835443037974683,0.46835443037974683,0.16455696202531644
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,0.4430379746835443,0.0,0.0,0.0,0.22784810126582278,0.4430379746835443,0.08860759493670886
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.85,0.05063291139240506,0.0,0.0,0.0,0.08860759493670886,0.0759493670886076,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.569620253164557,0.0,0.0,0.379746835443038,0.569620253164557,0.569620253164557,0.25316455696202533
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.45569620253164556,0.0,0.0,0.45569620253164556,0.46835443037974683,0.45569620253164556,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.6835443037974683,0.0,0.0,0.31645569620253167,0.6835443037974683,0.6835443037974683,0.22784810126582278
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.74,0.13924050632911392,0.0,0.0,0.4177215189873418,0.5316455696202531,0.1518987341772152,0.7341772151898734
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.5569620253164557,0.0,0.0,0.4936708860759494,0.5316455696202531,0.5569620253164557,0.569620253164557
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.9,0.5316455696202531,0.0,0.0,0.5949367088607594,0.5949367088607594,0.5316455696202531,0.8607594936708861
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,0.35443037974683544,0.0,0.0,0.35443037974683544,0.25316455696202533,0.4936708860759494,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5316455696202531,0.0,0.0,0.5316455696202531,0.5316455696202531,0.5316455696202531,0.3291139240506329
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5822784810126582,0.0,0.0,0.3924050632911392,0.5822784810126582,0.5822784810126582,0.4430379746835443
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.6582278481012658,0.0,0.0,0.6835443037974683,0.379746835443038,0.6835443037974683,0.20253164556962025
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.91,0.45569620253164556,0.0,0.0,0.45569620253164556,0.45569620253164556,0.45569620253164556,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.7,0.02531645569620253,0.0,0.0,0.02531645569620253,0.012658227848101266,0.02531645569620253,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.5316455696202531,0.0,0.0,0.5316455696202531,0.5316455696202531,0.5316455696202531,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.4177215189873418,0.0,0.0,0.4177215189873418,0.43037974683544306,0.4177215189873418,0.3924050632911392
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.569620253164557,0.0,0.0,0.569620253164557,0.569620253164557,0.569620253164557,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.24050632911392406,0.0,0.0,0.24050632911392406,0.10126582278481013,0.24050632911392406,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5316455696202531,0.0,0.0,0.3670886075949367,0.3037974683544304,0.5316455696202531,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.89,0.5569620253164557,0.0,0.0,0.5569620253164557,0.45569620253164556,0.5569620253164557,0.5443037974683544
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.5569620253164557,0.0,0.0,0.569620253164557,0.5443037974683544,0.569620253164557,0.5189873417721519
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5822784810126582,0.0,0.0,0.5822784810126582,0.5949367088607594,0.620253164556962,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.4936708860759494,0.0,0.0,0.4936708860759494,0.4936708860759494,0.4936708860759494,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,0.1518987341772152,0.0,0.0,0.1518987341772152,0.10126582278481013,0.1518987341772152,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5569620253164557,0.0,0.0,0.5063291139240507,0.5063291139240507,0.5569620253164557,0.759493670886076
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.4430379746835443,0.0,0.0,0.3670886075949367,0.20253164556962025,0.6835443037974683,0.20253164556962025
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.9,0.1518987341772152,0.0,0.0,0.189873417721519,0.05063291139240506,0.189873417721519,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.95,0.34177215189873417,0.0,0.0,0.0,0.34177215189873417,0.4810126582278481,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,0.5063291139240507,0.0,0.0,0.45569620253164556,0.5063291139240507,0.5063291139240507,0.4936708860759494
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,0.5316455696202531,0.0,0.0,0.5316455696202531,0.5063291139240507,0.5189873417721519,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.94,0.4430379746835443,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.26582278481012656
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.81,0.5443037974683544,0.0,0.0,0.24050632911392406,0.06329113924050633,0.5443037974683544,0.4177215189873418
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5189873417721519,0.0,0.0,0.35443037974683544,0.12658227848101267,0.5189873417721519,0.5316455696202531
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.379746835443038,0.0,0.0,0.379746835443038,0.43037974683544306,0.379746835443038,0.24050632911392406
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5316455696202531,0.0,0.0,0.5316455696202531,0.35443037974683544,0.4430379746835443,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.87,0.379746835443038,0.0,0.0,0.379746835443038,0.17721518987341772,0.379746835443038,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.8,0.1518987341772152,0.0,0.0,0.16455696202531644,0.02531645569620253,0.17721518987341772,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,0.35443037974683544,0.0,0.0,0.35443037974683544,0.4050632911392405,0.35443037974683544,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5189873417721519,0.0,0.0,0.5063291139240507,0.2911392405063291,0.2911392405063291,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,0.4810126582278481,0.0,0.0,0.4936708860759494,0.46835443037974683,0.4810126582278481,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.82,0.22784810126582278,0.0,0.0,0.34177215189873417,0.11392405063291139,0.34177215189873417,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.87,0.4050632911392405,0.0,0.0,0.1518987341772152,0.3670886075949367,0.4430379746835443,0.26582278481012656
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.5822784810126582,0.0,0.0,0.35443037974683544,0.16455696202531644,0.5822784810126582,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.9,0.43037974683544306,0.0,0.0,0.43037974683544306,0.43037974683544306,0.43037974683544306,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.91,0.5443037974683544,0.0,0.0,0.4177215189873418,0.4810126582278481,0.569620253164557,0.31645569620253167
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.5443037974683544,0.0,0.0,0.45569620253164556,0.5189873417721519,0.5316455696202531,0.5063291139240507
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.4050632911392405,0.0,0.0,0.3924050632911392,0.5822784810126582,0.5822784810126582,0.20253164556962025
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5063291139240507,0.0,0.0,0.4936708860759494,0.24050632911392406,0.5063291139240507,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.72,0.12658227848101267,0.0,0.0,0.17721518987341772,0.11392405063291139,0.17721518987341772,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.3291139240506329,0.0,0.0,0.3291139240506329,0.3291139240506329,0.3291139240506329,0.25316455696202533
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,0.25316455696202533,0.0,0.0,0.3924050632911392,0.35443037974683544,0.5189873417721519,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.77,0.0379746835443038,0.0,0.0,0.16455696202531644,0.06329113924050633,0.16455696202531644,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,0.4177215189873418,0.0,0.0,0.4177215189873418,0.5569620253164557,0.6582278481012658,0.34177215189873417
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.3670886075949367,0.0,0.0,0.4177215189873418,0.4177215189873418,0.5189873417721519,0.1518987341772152
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.5189873417721519,0.0,0.0,0.4050632911392405,0.24050632911392406,0.7341772151898734,0.189873417721519
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.67,0.06329113924050633,0.0,0.0,0.0,0.11392405063291139,0.0759493670886076,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5189873417721519,0.0,0.0,0.5189873417721519,0.5189873417721519,0.5189873417721519,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.94,0.5063291139240507,0.0,0.0,0.5063291139240507,0.5063291139240507,0.5063291139240507,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.4430379746835443,0.0,0.0,0.4430379746835443,0.4430379746835443,0.4430379746835443,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.45569620253164556,0.0,0.0,0.379746835443038,0.379746835443038,0.379746835443038,0.5063291139240507
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5189873417721519,0.0,0.0,0.5189873417721519,0.5189873417721519,0.5189873417721519,0.3291139240506329
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.88,0.43037974683544306,0.0,0.0,0.43037974683544306,0.1518987341772152,0.43037974683544306,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.25316455696202533,0.0,0.0,0.1518987341772152,0.13924050632911392,0.25316455696202533,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.4430379746835443,0.0,0.0,0.0,0.4430379746835443,0.4430379746835443,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.4177215189873418,0.0,0.0,0.4810126582278481,0.17721518987341772,0.3670886075949367,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,0.35443037974683544,0.0,0.0,0.35443037974683544,0.24050632911392406,0.35443037974683544,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.4810126582278481,0.0,0.0,0.4810126582278481,0.4810126582278481,0.4810126582278481,0.3291139240506329
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,0.5443037974683544,0.0,0.0,0.31645569620253167,0.21518987341772153,0.5443037974683544,0.6455696202531646
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,0.46835443037974683,0.0,0.0,0.46835443037974683,0.46835443037974683,0.6329113924050633,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.73,0.45569620253164556,0.0,0.0,0.34177215189873417,0.45569620253164556,0.34177215189873417,0.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,0.6329113924050633,0.0,0.0,0.24050632911392406,0.5949367088607594,0.6329113924050633,0.21518987341772153
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.94,0.4936708860759494,0.0,0.0,0.4936708860759494,0.4936708860759494,0.4936708860759494,0.7721518987341772
