dataset,num_and_cat,model_score,instance_certainty_clf,dtree_elen,ablation_lux_elen,pure_lux_elen,proba_lux_elen,shap_lux_elen,explan_elen,lore_elen,anchor_elen
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,5.0,3.0,0.0,0.0,1.0,10.0,2.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.69,5.0,3.0,0.0,0.0,3.0,6.0,5.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,6.0,3.0,0.0,0.0,2.0,5.0,4.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,2.0,2.0,0.0,0.0,2.0,1.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,2.0,1.0,0.0,0.0,2.0,4.0,2.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,9.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,6.0,3.0,0.0,0.0,2.0,4.0,4.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,5.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.71,11.0,6.0,0.0,0.0,7.0,9.0,9.0,9.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.88,5.0,3.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.83,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,1.0,1.0,0.0,0.0,1.0,1.0,1.0,7.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.65,11.0,6.0,0.0,0.0,6.0,6.0,10.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,2.0,2.0,0.0,0.0,2.0,2.0,2.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.92,6.0,3.0,0.0,0.0,3.0,6.0,3.0,6.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.94,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.97,1.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.85,11.0,8.0,0.0,0.0,0.0,7.0,5.0,8.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.98,9.0,3.0,0.0,0.0,3.0,3.0,4.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,8.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,9.0,3.0,0.0,0.0,3.0,3.0,5.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.74,9.0,4.0,0.0,0.0,3.0,6.0,4.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.99,5.0,3.0,0.0,0.0,4.0,4.0,3.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.9,9.0,4.0,0.0,0.0,3.0,3.0,4.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.93,4.0,3.0,0.0,0.0,3.0,6.0,2.0,25.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,9.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,1.0,5.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0
kr-vs-kp,./data/numerical_only/balanced,0.9887359198998749,0.96,5.0,3.0,0.0,0.0,4.0,4.0,2.0,4.0
