dataset,num_and_cat,explain_instance,rule_lux_ablation,rule_lux_pure,rule_lux_proba,rule_lux_shap,rule_EXPLAN,rule_LORE,rule_Anchor
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
  -1.31591183  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108 -4.05764474  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915  -8.18535277  0.21081851
   0.46340829 -4.15485946  0.78159267 -0.76969248  1.65999448 -0.57253291]]","{'f_31': ['<-1.9570887610316277'], 'f_20': ['>=-0.8210033923387527'], 'f_1': ['>=-1.6792986541986465']}",{},{},{'f_28': ['<-4.0315916538238525']},"{'f_32': ['== 0.7815926667863563'], 'f_5': ['== 0.9251926377555241'], 'f_20': ['== 0.4728461281954939'], 'f_14': ['== -0.15348586907379907'], 'f_17': ['== -0.6748136084824498'], 'f_10': ['== 0.871173526430637'], 'f_9': ['== 0.6606091843003894'], 'f_0': ['== 0.3546103537603051'], 'f_34': ['== 1.6599944784923824'], 'f_25': ['== -0.6650099752244416']}","{'f_20': ['>=-0.5804495215415955'], 'f_31': ['<-2.745196580886841']}","{'f_34': ['>-0.60'], 'f_6': ['<=-1.32'], 'f_5': ['>-1.08'], 'f_14': ['<=-0.15'], 'f_23': ['>-1.27'], 'f_4': ['>-1.41']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
  -1.31591183  0.52763624  0.78367175  0.66060918 -1.14787694 -2.91751688
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643  -2.37291074  0.47284613  0.50039108 -4.05764474 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267  1.29922018  1.65999448 -0.57253291]]","{'f_9': ['>=-0.4265725910663605'], 'f_32': ['>=-0.24892309308052063'], 'f_5': ['<-0.07783165574073792']}",{},{},"{'f_9': ['>=-0.4672524034976959'], 'f_32': ['>=-0.2874826043844223'], 'f_5': ['<-0.07783167436718941']}","{'f_32': ['>=-1.088320553302765'], 'f_5': ['<-0.07783165574073792'], 'f_15': ['== 0.22652988649112907'], 'f_20': ['>=0.3572070375084877'], 'f_9': ['>=-0.4265725910663605'], 'f_34': ['>=1.6472444534301758']}","{'f_32': ['>=-0.0812312625348568'], 'f_5': ['<0.04386499524116516'], 'f_15': ['>=-3.223890542984009'], 'f_9': ['>=-0.49420373141765594'], 'f_31': ['>=-1.8818328380584717']}","{'f_32': ['>-1.28'], 'f_9': ['>-1.51'], 'f_5': ['<=-1.08'], 'f_23': ['<=-1.27']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
  -1.31591183  0.52763624  0.78367175 -1.51375431  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_9': ['<-0.42798449099063873'], 'f_20': ['>=-0.8210033923387527']}",{'f_9': ['== -1.5137543100601094']},"{'f_9': ['<-0.4337804615497589'], 'f_20': ['>=-0.797795832157135']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_25': ['<=-0.67'], 'f_17': ['<=-0.67'], 'f_5': ['<=-1.08'], 'f_0': ['<=0.35'], 'f_12': ['<=-1.49'], 'f_14': ['<=-0.15'], 'f_35': ['<=-0.57'], 'f_4': ['>-1.41 ', ' <= 0.71'], 'f_10': ['<=0.87'], 'f_28': ['<=0.12'], 'f_26': ['<=0.24'], 'f_8': ['<=0.78'], 'f_29': ['<=0.21'], 'f_34': ['<=1.66'], 'f_30': ['<=0.46'], 'f_32': ['<=0.78'], 'f_2': ['<=0.20'], 'f_21': ['<=0.50']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248  1.65999448 -0.57253291]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_32': ['<-0.24892307817935944'], 'f_20': ['>=-0.46524883806705475']}","{'f_25': ['== -0.6650099752244416'], 'f_32': ['== -1.279438820877996'], 'f_33': ['<1.2221007943153381']}","{'f_32': ['<0.2359773963689804'], 'f_20': ['>=-0.6883502006530762']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_14': ['<=-0.15'], 'f_10': ['<=-1.15']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108 -4.05764474  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248 -0.60241164 -0.57253291]]","{'f_32': ['<-0.24892309308052063'], 'f_20': ['>=-0.8210033923387527'], 'f_33': ['<0.26476386189460754']}",{},{},"{'f_32': ['<-0.2502614036202431'], 'f_22': ['<-1.9028033018112183']}","{'f_32': ['<-1.1589735746383667'], 'f_20': ['>=0.45323291420936584'], 'f_17': ['<0.4035385251045227'], 'f_11': ['>=-1.2873798608779907'], 'f_9': ['>=-0.4265725910663605']}","{'f_32': ['<-0.2313990294933319'], 'f_20': ['>=-0.9096949100494385'], 'f_17': ['<0.5554169118404388'], 'f_33': ['<0.8485904932022095']}","{'f_32': ['<=-1.28'], 'f_17': ['<=-0.67'], 'f_12': ['<=-1.49'], 'f_9': ['>-1.51'], 'f_33': ['<=-0.77'], 'f_23': ['>-1.27']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267  1.29922018 -0.60241164  1.74662448]]","{'f_9': ['<-0.4265725910663605'], 'f_20': ['>=-0.8210033923387527']}",{},{},"{'f_9': ['<-0.42803776264190674'], 'f_20': ['>=-0.6338891535997391']}",{'f_9': ['== -1.5137543100601094']},"{'f_9': ['<-0.40227197110652924'], 'f_20': ['>=-0.9391795992851257']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_33': ['>-0.77'], 'f_12': ['<=-1.49']}"
kr-vs-kp,./data/numerical_only/balanced,"[[-2.81999662  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
  -1.31591183 -1.89524511 -1.27604446 -1.51375431 -1.14787694  0.34275723
   0.67039772  0.06866949 -0.15348587 -4.41442856  0.17691925 -0.67481361
   0.0905643  -2.37291074  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882  1.29922018  1.65999448 -0.57253291]]",{'f_9': ['<-0.4265725910663605']},{},{},"{'f_9': ['<-0.4265725761651993'], 'f_20': ['>=-0.712256446480751']}","{'f_32': ['<-1.2669134736061096'], 'f_20': ['>=-0.1836206465959549'], 'f_9': ['<-0.4265725910663605'], 'f_33': ['>=0.26476386189460754']}","{'f_32': ['<0.35626664757728577'], 'f_20': ['>=-0.9348461329936981']}","{'f_9': ['<=-1.51'], 'f_6': ['<=-1.32'], 'f_23': ['>-1.27 ', ' <= 0.79'], 'f_17': ['<=-0.67'], 'f_25': ['<=-0.67'], 'f_16': ['<=0.18'], 'f_7': ['<=0.53'], 'f_20': ['<=0.47'], 'f_22': ['<=0.25'], 'f_18': ['<=0.09'], 'f_3': ['<=0.33'], 'f_11': ['<=0.34'], 'f_21': ['<=0.50'], 'f_4': ['<=0.71'], 'f_13': ['<=0.07'], 'f_12': ['<=0.67'], 'f_19': ['<=0.42'], 'f_30': ['<=0.46'], 'f_24': ['<=0.06'], 'f_34': ['<=1.66'], 'f_32': ['<=0.78']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223 -1.41255583  0.92519264
  -1.31591183 -1.89524511 -1.27604446  0.66060918  0.87117353  0.34275723
   0.67039772  0.06866949 -0.15348587  0.22652989  0.17691925  1.48189068
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839 -1.2718202
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203  0.78159267 -0.76969248 -0.60241164 -0.57253291]]","{'f_9': ['>=-0.4265725910663605'], 'f_34': ['<0.5287914276123047'], 'f_32': ['>=-0.24892309308052063']}",{},{},"{'f_9': ['>=-0.42962154746055603'], 'f_34': ['< -0.2946302945908841 * f_7+0.6975900282421106'], 'f_32': ['>=-0.24892307817935944']}","{'f_9': ['>=0.520863488316536'], 'f_34': ['<0.5287914276123047'], 'f_32': ['>=0.7525136470794678']}","{'f_32': ['>=-0.28484562784433365'], 'f_9': ['>=-0.4629623144865036'], 'f_34': ['<0.7962818741798401'], 'f_31': ['>=-1.8451104760169983']}","{'f_32': ['>-1.28'], 'f_9': ['>-1.51'], 'f_25': ['>-0.67']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662  0.92519264
   0.75992934  0.52763624 -1.27604446  0.66060918 -1.14787694  0.34275723
   0.67039772  0.06866949  2.05615754  0.22652989  0.17691925 -0.67481361
   0.0905643  -2.37291074 -2.11485289 -1.99843689  0.24644839 -1.2718202
   0.0587681  -0.66500998  0.24068203  0.0176915   0.12216944  0.21081851
  -2.15792427  0.24068203  0.78159267 -0.76969248  1.65999448 -0.57253291]]",{'f_14': ['>=0.9513358622789383']},{},{},{},{'f_20': ['<0.4356056749820709']},{'f_20': ['<-0.8473902642726898']},"{'f_32': ['>-1.28'], 'f_9': ['>-1.51'], 'f_14': ['>-0.15'], 'f_10': ['<=-1.15']}"
kr-vs-kp,./data/numerical_only/balanced,"[[ 0.35461035  0.27519462  0.19751381  0.33472223  0.70793662 -1.08085599
   0.75992934  0.52763624  0.78367175  0.66060918  0.87117353  0.34275723
  -1.49165185  0.06866949 -0.15348587  0.22652989  0.17691925 -0.67481361
   0.0905643   0.42142335  0.47284613  0.50039108  0.24644839  0.78627466
   0.0587681   1.50373684  0.24068203  0.0176915   0.12216944  0.21081851
   0.46340829  0.24068203 -1.27943882 -0.76969248 -0.60241164 -0.57253291]]","{'f_32': ['<-0.24892309308052063'], 'f_20': ['>=-0.8210033923387527'], 'f_33': ['<0.26476386189460754']}",{},{},"{'f_32': ['<-0.26760026812553406'], 'f_33': ['<0.36820949614048004', '< 0.8921841630007873 * f_20+0.386498304456343']}","{'f_32': ['<-1.2218627333641052'], 'f_9': ['== 0.6606091843003894'], 'f_0': ['== 0.3546103537603051'], 'f_33': ['<0.26476386189460754']}","{'f_32': ['<-0.225402370095253'], 'f_20': ['>=-1.1043143570423126'], 'f_17': ['<1.5875611305236816'], 'f_33': ['<0.5530723035335541']}","{'f_32': ['<=-1.28'], 'f_12': ['<=-1.49'], 'f_9': ['>-1.51 ', ' <= 0.66'], 'f_33': ['<=-0.77'], 'f_5': ['<=-1.08'], 'f_27': ['<=0.02'], 'f_18': ['<=0.09'], 'f_7': ['<=0.53'], 'f_26': ['<=0.24'], 'f_24': ['<=0.06'], 'f_17': ['<=-0.67'], 'f_0': ['<=0.35'], 'f_25': ['<=1.50'], 'f_13': ['<=0.07'], 'f_19': ['<=0.42'], 'f_14': ['<=-0.15'], 'f_1': ['<=0.28'], 'f_2': ['<=0.20'], 'f_20': ['<=0.47'], 'f_31': ['<=0.24'], 'f_15': ['<=0.23'], 'f_28': ['<=0.12']}"
