dataset,num_and_cat,instance_mean_rule_lux_ablation,instance_std_rule_lux_ablation,feature_mean_rule_lux_ablation,feature_std_rule_lux_ablation,instance_mean_rule_lux_pure,instance_std_rule_lux_pure,feature_mean_rule_lux_pure,feature_std_rule_lux_pure,instance_mean_rule_lux_proba,instance_std_rule_lux_proba,feature_mean_rule_lux_proba,feature_std_rule_lux_proba,instance_mean_rule_lux_shap,instance_std_rule_lux_shap,feature_mean_rule_lux_shap,feature_std_rule_lux_shap,instance_mean_rule_EXPLAN,instance_std_rule_EXPLAN,feature_mean_rule_EXPLAN,feature_std_rule_EXPLAN,instance_mean_rule_LORE,instance_std_rule_LORE,feature_mean_rule_LORE,feature_std_rule_LORE,instance_mean_rule_Anchor,instance_std_rule_Anchor,feature_mean_rule_Anchor,feature_std_rule_Anchor
kr-vs-kp,./data/numerical_only/balanced,0.06658202907361263,0.1453073018200674,0.33963476634476636,0.28851192061470693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052586892503353896,0.13911449243261842,0.24037897546897546,0.2729127929472049,0.05798740983047494,0.14422864831475396,0.33363954323454326,0.27075066692492433,0.06785274805042052,0.1433098930364214,0.3223789427239427,0.27937579077001523,0.045028082527388213,0.12316945365022738,0.271728390323582,0.1992278245149371
balance-scale,./data/numerical_only/balanced,0.16175317006132908,0.2643625353878477,0.379,0.31183703008676394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21585061843144393,0.26591420659262066,0.5506,0.24440557367712473,0.1798327881484537,0.27454630733839736,0.661,0.2089287491520069,0.21276820370790125,0.2723630453289998,0.5979333333333333,0.23274486746936726,0.21141767835283112,0.27122035777557724,0.4608666666666666,0.2685283432174546
breast-w,./data/numerical_only/balanced,0.02106310922155164,0.11054046666781145,0.017106666666666666,0.10753204049646474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21606542825697367,0.24441633977965577,0.43022,0.33451074240625694,0.11521599568875686,0.20583526512264963,0.37410190476190475,0.23958249210334417,0.14913413669317427,0.20192337373693947,0.3981476190476191,0.23323630776697477,0.0794701237326921,0.17102450820809262,0.37759968253968257,0.2509099552561867
mfeat-morphological,./data/numerical_only/balanced,0.342762114807597,0.3428652118311937,0.4502666666666667,0.3683505817982525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4326106079524886,0.3290231028770826,0.5238666666666666,0.2582430896139011,0.48735557281270553,0.31331797810172807,0.6542,0.19868882426771994,0.4731471862493863,0.3150708990315925,0.5499466666666667,0.26334936119999314,0.4168817192101173,0.2688453259805881,0.61084,0.18042679328008168
mfeat-zernike,./data/numerical_only/balanced,0.2645155472324855,0.39789215460535793,0.11892999896216616,0.1794971072702523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26110328986462444,0.397657770191557,0.11514479496278204,0.17803194118901658,0.27134014343695845,0.3933162030762525,0.3015786987041167,0.14642616437333988,0.26023221544537956,0.399681832026197,0.1338734488671317,0.1621004655693623,0.2860389670899388,0.38569047662327594,0.293708853114263,0.1832888909904651
cmc,./data/numerical_only/balanced,0.095753560315665,0.23695187038518287,0.49425904761904765,0.2167798620396762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09405619189363314,0.23005459775860126,0.41816666666666663,0.27732856750385726,0.12325166982806346,0.23371196580340345,0.6108222222222223,0.1773809571819182,0.12142557681467442,0.23333551268986263,0.4843146031746031,0.22734707622526923,0.1252684211770672,0.21136064603205673,0.3903355555555556,0.22940019778404955
credit-approval,./data/numerical_only/balanced,0.08070889494611722,0.1934247100388259,0.2797295238095238,0.2874414641685434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11640784927123314,0.18699414705555362,0.4681539682539682,0.2416391981730745,0.1473949939569029,0.18267754970451258,0.48473529581529584,0.32670458646200734,0.15994712948393228,0.1832163958654927,0.6450934199134198,0.34352559062065946,0.08791256139214744,0.16968180265344676,0.3284128205128205,0.19701907900141724
credit-g,./data/numerical_only/balanced,0.10830717001856925,0.2565198693674327,0.23248782106782104,0.20411875208361813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10959416144613156,0.25491596041826725,0.1802871572871573,0.21533372287548785,0.11413668396720668,0.2565424746517545,0.31941916083916083,0.18749482898687786,0.1241956300354553,0.2522936189625392,0.25718447996447996,0.2371061877030915,0.1133028568796371,0.2226830702645613,0.28542117882117884,0.18239284605559708
diabetes,./data/numerical_only/balanced,0.06031218474133179,0.18951941405269138,0.2337476190476191,0.24826501279069454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08502076097210362,0.19560985451436236,0.3596295238095238,0.23432881703585678,0.0927086229676178,0.19365020885374012,0.4533971428571429,0.20444870900338777,0.10951491580286826,0.19414973892039777,0.43227904761904756,0.23062326240408784,0.10904921774606997,0.1909562862821492,0.43918857142857143,0.20366234582632842
tic-tac-toe,./data/numerical_only/balanced,0.0847044364240247,0.20575333951543373,0.29611365079365076,0.2261845336865727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05372492176763409,0.17731884670833908,0.17665619047619047,0.2395411091527917,0.07863120831359274,0.20424049595382923,0.3400330158730159,0.21338251775803205,0.09043606313938773,0.2038423079569757,0.3035428571428571,0.22624434265862653,0.0896662390625186,0.1931050705260293,0.2905593650793651,0.23054592966403914
vehicle,./data/numerical_only/balanced,0.11246162982622057,0.27722910858172,0.17909194805194806,0.21822789043438867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10928974162420196,0.2705771797342249,0.17364081918081917,0.21350935750222744,0.13675233529866093,0.2675836131028007,0.3890549805749805,0.1599060824717653,0.1287351145184105,0.2699740301757079,0.2757019458319458,0.17900772166757328,0.14344897289410696,0.2702693735319878,0.2841994862653686,0.20688453270230517
satimage,./data/numerical_only/balanced,0.2139561928115107,0.3536188211624989,0.1029593450993451,0.18982274290195258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20902849212153637,0.35947335656164986,0.14491260204796258,0.17592863025932567,0.22730487046470224,0.3509397927915969,0.27597015912192385,0.14621857924087803,0.22497176673336797,0.3497775365747971,0.15579509767150632,0.16680862511238412,0.23807418540762137,0.3432322976137987,0.13175155059323565,0.17641381126275565
